system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.12911761,0.69,0.94,2.75,0.1669841,145.35,8.64,0,0.32482728,0.49,57.35,0.19466478,35.39,0.3118284,0.26280057,-0.7687526737008528,1.31,-0.0,220,229,2024-03-23,BHIWANI,219,2024-06-30T00:00:00,8.35,1.7835546,497,493,284,278,0.92740995,2023-07-01T00:00:00,30.61820000000001,Chhapar Rangran(84),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78443756688259,28.849530096791053]}"
1_0,0,0.12911761,0.31,0.66,4.94,0.1669841,145.34,10.36,0,0.32482728,0.58,54.35,0.19466478,24.64,0.3118284,0.26280057,-0.7687526737008528,1.35,-0.0,220,229,2024-03-23,BHIWANI,219,2024-06-30T00:00:00,8.94,1.7835546,497,493,284,278,0.92740995,2023-07-01T00:00:00,30.61820000000001,Chhapar Rangran(84),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78443756688259,28.849530096791053]}"
2_0,0,0.12911761,0.25,0.75,3.39,0.1669841,190.54,8.64,0,0.32482728,0.38,31.45,0.19466478,29.31,0.3118284,0.26280057,-0.7687526737008528,2.91,-0.0,220,229,2024-03-23,BHIWANI,219,2024-06-30T00:00:00,7.35,1.7835546,497,493,284,278,0.92740995,2023-07-01T00:00:00,30.61820000000001,Chhapar Rangran(84),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78443756688259,28.849530096791053]}"
3_0,0,0.12911761,0.34,0.99,4.31,0.1669841,245.54,9.64,0,0.32482728,0.53,54.35,0.19466478,35.11,0.3118284,0.26280057,-0.7687526737008528,2.22,-0.0,220,229,2024-03-27,BHIWANI,219,2024-06-30T00:00:00,7.54,1.7835546,497,493,284,278,0.92740995,2023-07-01T00:00:00,30.61820000000001,Chhapar Rangran(84),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78443756688259,28.849530096791053]}"
4_0,0,0.12911761,0.64,0.35,2.69,0.1669841,161.47,7.3,0,0.32482728,0.53,32.57,0.19466478,31.77,0.3118284,0.26280057,-0.7687526737008528,1.21,-0.0,220,229,2024-03-27,BHIWANI,219,2024-06-30T00:00:00,8.34,1.7835546,497,493,284,278,0.92740995,2023-07-01T00:00:00,30.61820000000001,Chhapar Rangran(84),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78443756688259,28.849530096791053]}"
5_0,0,0.116571024,0.35,0.84,1.91,0.1622284,254.8,8.93,0,0.33592102,0.49,41.45,0.19973011,41.54,0.33748522,0.29516307,-1.8673419101302895,2.12,-0.0,216,223,2024-03-23,BHIWANI,220,2024-06-30T00:00:00,8.31,1.8130434,484,480,301,297,2.7802885,2023-07-01T00:00:00,30.614050000000002,Chhapar Rangran(84),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.80168522033767,28.846835150938695]}"
6_0,0,0.109443426,0.44,0.55,4.78,0.14532171,191.25,6.28,0,0.33171713,0.63,47.68,0.16549772,29.67,0.30603257,0.25361484,-0.901233345286906,2.35,90.0,218,224,2024-03-23,BHIWANI,223,2024-06-30T00:00:00,7.39,1.8130434,485,482,297,294,1.0587744,2023-07-01T00:00:00,30.614050000000002,Chhapar Rangran(84),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.80060724199673,28.84791312927964]}"
7_0,0,0.109443426,0.42,0.54,4.88,0.14532171,164,6.29,0,0.33171713,0.61,42,0.16549772,21.66,0.30603257,0.25361484,-0.901233345286906,2.32,90.0,218,224,2024-03-27,BHIWANI,223,2024-06-30T00:00:00,8.54,1.8130434,485,482,297,294,1.0587744,2023-07-01T00:00:00,30.614050000000002,Chhapar Rangran(84),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.80060724199673,28.84791312927964]}"
8_0,0,0.123857714,0.45,0.23,3.39,0.16043828,203.48,9.41,0,0.30241656,0.56,27.41,0.19045714,31.84,0.3209697,0.27570572,0.7076999186840552,1.53,270.0,220,229,2024-03-23,BHIWANI,211,2024-06-30T00:00:00,8.63,1.7674783,495,491,285,280,1.0590317,2023-07-01T00:00:00,30.606102564102567,Chhapar Rangran(84),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.80168522033767,28.872976125706572]}"
9_0,0,0.13888049,0.67,0.52,2.57,0.17570488,153.67,6.55,0,0.26930732,0.48,28.68,0.20880732,35.66,0.31901708,0.29392928,-2.0394995350682814,2.68,73.71376,259,247,2024-03-24,BHIWANI,221,2024-06-30T00:00:00,8.64,1.6921082,458,465,283,288,3.303649,2023-07-01T00:00:00,30.56664864864866,Dadam(36),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.16388594289467,28.77946150462973]}"
