system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.10878684,0.41,0.67,7.35,0.14486842,234,2.94,0,0.32919472,0.49,7.2,0.15804736,142,0.2921,0.22907895,-1.4677666542539496,0.62,-0.0,259,246,2024-06-05,JIND,228,2024-06-30T00:00:00,7.29,1.8855252,376,385,365,369,1.8543341,2023-07-01T00:00:00,30.237789473684206,Kheri Naguran (84),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.38325453527665,29.46101331069121]}"
1_0,0,0.09764474,0.56,0.79,7.56,0.1324421,199,3.09,0,0.36870527,0.39,8.1,0.13452895,175,0.2817658,0.20535263,-1.606199703991341,0.52,90.0,226,214,2024-06-05,JIND,231,2024-06-30T00:00:00,7.39,1.8855252,399,406,376,381,2.1294522,2023-07-01T00:00:00,30.237789473684206,Kheri Naguran (84),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.376786665231,29.45912684859456]}"
2_0,0,0.08235263,0.61,0.73,7.61,0.11620526,195,2.35,0,0.28351843,0.36,8.3,0.13378948,152,0.24153158,0.19015263,1.7019692460314724,0.74,270.0,229,226,2024-06-05,JIND,227,2024-06-30T00:00:00,7.35,1.8855252,404,405,367,369,3.192255,2023-07-01T00:00:00,30.255578947368434,Kheri Naguran (84),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.36492890348062,29.456431902742203]}"
3_0,0,0.10867838,0.78,0.75,7.91,0.14061081,306,2.48,0,0.27967566,0.22,7.6,0.1432892,169,0.25183785,0.20741622,-1.4682824684142148,0.58,180.0,246,240,2024-03-27,JIND,232,2024-06-30T00:00:00,7.7,1.8665816,389,393,365,367,1.8543341,2023-07-01T00:00:00,30.221179487179498,Katwal (54),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.44955020324467,29.51383424939744]}"
4_0,0,0.0907,1.18,0.64,7.14,0.119510815,220,3.86,0,0.31774595,0.27,9.2,0.12385135,167,0.24411891,0.18760811,-0.7751353272201227,0.78,-0.0,267,259,2024-03-27,JIND,230,2024-06-30T00:00:00,7.42,1.8699272,386,392,346,349,0.92740995,2023-07-01T00:00:00,30.221179487179498,Katwal (54),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.45467060036415,29.51437323856791]}"
5_0,0,0.092054054,1.12,0.77,7.22,0.12437027,140,3.94,0,0.34246486,0.3,7.9,0.12753244,155,0.24192432,0.18121351,-1.19602136816304,0.79,48.96918,267,259,2024-03-27,JIND,230,2024-06-30T00:00:00,7.8,1.8699272,386,392,346,349,1.4125706,2023-07-01T00:00:00,30.221179487179498,Katwal (54),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.45440110577891,29.51437323856791]}"
6_0,0,0.07491081,0.4,0.74,7.42,0.105456755,280,2.56,0,0.30392703,0.25,8.7,0.10461351,120,0.22494325,0.1680081,0.5900501343877824,0.65,90.0,249,239,2024-03-27,JIND,230,2024-06-30T00:00:00,7.74,1.8699272,394,401,357,361,2.1304846,2023-07-01T00:00:00,30.244769230769233,Katwal (54),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.46221644875077,29.50844435769272]}"
7_0,0,0.09907297,0.91,0.62,7.04,0.1348946,146,2.56,0,0.328227,0.31,6,0.13825135,121,0.2577,0.19921081,-1.8891509934978392,0.69,131.0312,274,264,2024-03-27,JIND,232,2024-06-30T00:00:00,7.67,1.8699272,379,385,347,351,2.823404,2023-07-01T00:00:00,30.228256410256407,Katwal (54),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.46302493250647,29.513025765641732]}"
8_0,0,0.10092973,0.98,0.59,7.64,0.12851892,201,3.98,0,0.31637028,0.38,8.8,0.13230811,129,0.24247298,0.18945946,-1.6108853729790489,0.63,29.87933,225,215,2024-06-04,JIND,230,2024-06-30T00:00:00,7.97,1.8665816,390,396,385,389,2.1383586,2023-07-01T00:00:00,30.211263157894724,Katwal (54),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.44038738734666,29.511947787300787]}"
9_0,0,0.08234865,0.69,0.63,7.34,0.1173027,264,3.99,0,0.35088918,0.27,8.1,0.11192432,157,0.23132703,0.16331622,-1.4114424678199278,0.48,142.54599,241,235,2024-06-04,JIND,232,2024-06-30T00:00:00,7.19,1.8665816,388,392,371,373,3.5007095,2023-07-01T00:00:00,30.221179487179498,Katwal (54),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.44658576280708,29.510869808959846]}"
10_0,0,0.08015676,0.68,0.92,7.96,0.11293784,184,2.05,0,0.32753244,0.25,8.4,0.11814865,159,0.23751082,0.17935406,-1.1957886358603824,0.84,48.9649,229,217,2024-06-04,JIND,230,2024-06-30T00:00:00,7.91,1.8807771,392,400,378,384,1.4124494,2023-07-01T00:00:00,30.241846153846154,Katwal (54),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.4452382898809,29.499281541794705]}"
11_0,0,0.08700811,0.54,0.53,7.99,0.11513784,220,2.56,0,0.29066756,0.37,9.7,0.11903784,175,0.22232702,0.17291892,8.066971653327967,0.91,-0.0,229,216,2024-06-04,JIND,230,2024-06-30T00:00:00,7.39,1.8807771,394,401,377,383,1.8543341,2023-07-01T00:00:00,30.255692307692314,Katwal (54),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.4414653656876,29.499281541794705]}"
12_0,0,0.09695676,0.74,0.55,7.46,0.12678918,194,3.38,0,0.30297026,0.37,7.7,0.13218108,132,0.25195134,0.1987054,-1.9420603744747642,0.38,200.95642,225,212,2024-06-04,JIND,231,2024-06-30T00:00:00,7.35,1.8665816,389,396,386,393,2.976881,2023-07-01T00:00:00,30.24328205128205,Katwal (54),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.43634496856812,29.501706993061827]}"
13_0,0,0.10369189,0.48,0.89,7.52,0.1315135,261,2.72,0,0.31125134,0.41,8.1,0.13744055,115,0.25688648,0.20373784,1.2796158879368025,0.78,209.8764,229,210,2024-06-04,JIND,229,2024-06-30T00:00:00,7.35,1.8665816,399,409,372,381,2.1382961,2023-07-01T00:00:00,30.24328205128205,Katwal (54),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.43553648481242,29.50009002555041]}"
