system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.0795439,1.5,0.71,10.96,0.10678781,346,8,0,0.3226878,0.48,5.7603,0.10813902,82.992,0.22338781,0.16352683,2.008649148029301,1.8,-0.0,288,291,2024-04-05,KARNAL,235,2024-06-30T00:00:00,7.8,2.0200434,354,353,357,356,0.0,2023-07-01T00:00:00,30.23570000000001,Bir Bassi (70/1),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.5549225860719,29.562343274739895]}"
1_0,0,0.08825366,1.22,0.74,8.82,0.11583658,348,6.34,0,0.31968048,0.52,4.25376,0.122365855,65.832,0.24771951,0.18570244,-0.8441191002191031,1.44,159.03218,265,271,2024-04-05,KARNAL,236,2024-06-30T00:00:00,8.3,2.0200434,378,376,357,353,2.9771078,2023-07-01T00:00:00,30.21155,Bir Bassi (70/1),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.55788702650949,29.56207378015466]}"
2_0,0,0.07917073,1.74,0.96,12.6,0.10572683,278,9.28,0,0.31106585,0.48,8.418899999999999,0.11114634,71.76,0.23496829,0.17321952,1.1643862730881323,2.06,90.0,263,271,2024-04-12,KARNAL,233,2024-06-30T00:00:00,8.2,2.0200434,388,385,349,344,1.0661697,2023-07-01T00:00:00,30.21155,Bir Bassi (70/1),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.56085146694708,29.56126529639895]}"
3_0,0,0.08495366,1.88,0.34,13.72,0.115063414,296,10.16,0,0.31664878,0.51,6.08524,0.119536586,90.792,0.24289756,0.18386097,-2.2953758281278813,2.26,228.98267,263,270,2024-04-12,KARNAL,236,2024-06-30T00:00:00,7.6,2.0200434,387,384,350,346,4.2320046,2023-07-01T00:00:00,30.21155,Bir Bassi (70/1),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.56139045611755,29.562612769325128]}"
4_0,0,0.07866585,1.76,0.96,12.78,0.104202434,370,9.42,0,0.30436584,0.51,8.44844,0.1097561,120.432,0.22643171,0.16802683,-0.9183324561486959,2.1,29.891365,263,271,2024-04-12,KARNAL,234,2024-06-30T00:00:00,7.6,2.0200434,388,385,349,344,2.1386166,2023-07-01T00:00:00,30.21155,Bir Bassi (70/1),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.56058197236185,29.560995801813714]}"
5_0,0,0.08827317,1.42,0.56,9.46,0.11343414,278,6.96,0,0.28986096,0.36,5.87846,0.116458535,108.888,0.22286342,0.17014877,-1.1967743821998085,1.5,131.01718,247,252,2024-04-12,KARNAL,234,2024-06-30T00:00:00,8.2,2.0200434,393,390,360,358,1.4129571,2023-07-01T00:00:00,30.194949999999995,Bir Bassi (70/1),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.56866680991892,29.5631517584956]}"
6_0,0,0.0834439,1.48,0.36,9.82,0.10978536,296,7.24,0,0.29348293,0.48,4.371919999999999,0.11209756,74.88,0.2269122,0.1738683,-0.08246361554816012,1.56,180.0,247,252,2024-04-12,KARNAL,234,2024-06-30T00:00:00,7.8,2.0200434,393,390,360,358,0.92740995,2023-07-01T00:00:00,30.194949999999995,Bir Bassi (70/1),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.56839731533368,29.562882263910364]}"
7_0,0,0.0815975,1.22,0.46,8.14,0.115685,282,5.94,0,0.31752,0.48,3.9879,0.131725,73.00800000000001,0.25884,0.196235,-0.7914313659061939,1.28,228.98509,261,252,2024-04-12,KARNAL,236,2024-06-30T00:00:00,8.1,1.9689636,368,372,371,376,2.8243256,2023-07-01T00:00:00,30.238049999999998,Bir Bassi (70/1),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.54791572685576,29.571236596052678]}"
8_0,0,0.0841475,1.64,0.33,11.02,0.1200025,270,8.16,0,0.3043675,0.52,7.030519999999999,0.13226,73.944,0.2470825,0.1871575,-0.9152399176404737,1.74,90.0,265,258,2024-04-12,KARNAL,236,2024-06-30T00:00:00,8.3,1.9689636,365,368,370,374,1.0662694,2023-07-01T00:00:00,30.238049999999998,Bir Bassi (70/1),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.54899370519671,29.570697606882206]}"
9_0,0,0.0841475,1.4,0.82,9.34,0.1200025,296,6.86,0,0.3043675,0.48,7.35546,0.13226,76.752,0.2470825,0.1871575,-0.9152399176404737,1.48,90.0,265,258,2024-04-12,KARNAL,236,2024-06-30T00:00:00,8,1.9689636,365,368,370,374,1.0662694,2023-07-01T00:00:00,30.238049999999998,Bir Bassi (70/1),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.54899370519671,29.570697606882206]}"
