system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.1794875,1.98,0.784,4.84,0.223395,199.36,3.42,0,0.3361525,0.06,45.60114,0.25425,40,0.3468675,0.3098225,-1.6003372898503905,1.44,257.5402,247,242,2024-04-25,NUH,190,2024-06-30T00:00:00,8.19,1.5868689,447,452,306,307,4.290779,2023-07-01T00:00:00,30.43971428571428,Barka(234),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.22488612496824,27.891476846277584]}"
1_0,0,0.080816664,0.329253609994379,0.389,2.451023070204637,0.12115,50.337393551385325,1.853803014682145,0,0.30301428,0.332673267326733,6.151010324192203,0.15270953,8.757497726211383,0.30615,0.2607738,2.020836449696704,0.623004352279333,-0.0,303,321,2024-06-12,NUH,285,2024-06-30T00:00:00,8.06,1.4551482,465,447,233,232,0.0,2023-07-01T00:00:00,30.44673684210527,Bhangoh(16),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.99446825459158,28.279549049017216]}"
2_0,0,0.1267314,0.347165923501697,1.786,8.596718705093405,0.15512791,104.36535996813626,2.194412868029373,0,0.23134768,0.262237762237762,7.874367464657772,0.17414536,112.0829131789466,0.25286278,0.21311744,2.492652166579494,0.635278888694104,339.31644,269,245,2024-06-10,NUH,185,2024-06-30T00:00:00,7.96,1.4767077,564,588,167,167,5.92711,2023-07-01T00:00:00,30.516526315789474,Akera (121),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.98665291161974,28.00493406666188]}"
3_0,0,0.110030234,1.28,0.997,6.54,0.13755931,235.2,9.98,0,0.31062442,0.24,24.812385,0.14004418,40,0.26528257,0.20138954,-2.988482836503409,1.4,102.44821,254,266,2024-04-28,NUH,187,2024-06-30T00:00:00,8.52,1.6338549,530,522,216,212,8.541677,2023-07-01T00:00:00,30.487641025641025,Gohana(18),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03111951818366,27.995232261593387]}"
4_0,0,0.14790222,0,1.382,4.36,0.18312444,259.84000000000003,9.88,0,0.3518111,0.06,56.33082,0.20848444,47.112,0.32717332,0.27779555,-1.5916075621613626,0.524,150.50719,231,227,2024-04-15,NUH,201,2024-06-30T00:00:00,8.42,1.557925,528,529,241,243,2.1301584,2023-07-01T00:00:00,30.611567567567565,Nangal Mubarikpur (57),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.96805778523846,27.870456268629187]}"
5_0,0,0.1035225,0,1.174,4.878,0.1377925,318.08000000000004,2.114,0,0.3207,0.21,63.03687,0.1521925,39.312,0.27730998,0.2261425,0.8501310385259259,1.132,-0.0,248,246,2024-05-01,NUH,185,2024-06-30T00:00:00,8.44,1.5667902,451,454,301,300,1.8543341,2023-07-01T00:00:00,30.35761111111111,Sihiri Singal Heri(166),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17179569167676,27.829223597088102]}"
6_0,0,0.08950238,0.274150124136934,0.366,3.431617451664533,0.12589286,86.43294281349733,2.608858830175218,0,0.30248332,0.413586413586414,18.524525792979453,0.15425952,6.39154449296573,0.29912144,0.24806191,-2.721389472695353,0.257005609944758,253.62244,248,268,2024-04-01,NUH,282,2024-06-30T00:00:00,8.04,1.4678868,447,427,305,305,6.550061,2023-07-01T00:00:00,30.451210526315794,Nanuka(58),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.93490995125445,28.155312045223486]}"
7_0,0,0.13144186,1.02,0.426,4.46,0.1655465,360.64,3.06,0,0.33256513,0.285,63.03687,0.18964651,38.72,0.33088836,0.27786744,-2.2837863401883034,0.84,150.52655,238,234,2024-05-05,NUH,215,2024-06-30T00:00:00,8.41,1.6468502,519,515,243,251,4.253635,2023-07-01T00:00:00,30.541783783783785,Ferozepur Jhirka (Rural)(73),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.93949135920346,27.78502648510942]}"
8_0,0,0.088330954,0.283300509655213,0.246,2.535998887404117,0.1231,212.94660420129185,3.012804026539407,0,0.2864762,0.403960396039604,11.183087010856456,0.1358762,5.692659129525129,0.26601666,0.21190952,-0.4828543960948004,0.279731107030657,48.602333,216,229,2024-05-20,NUH,193,2024-06-30T00:00:00,8.12,1.5577652,497,486,288,285,1.4022863,2023-07-01T00:00:00,30.432,Barwa(90),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.02492114272323,28.17067323658193]}"
9_0,0,0.1583925,0,1.137,6.784,0.1984225,237.44000000000003,3.662,0,0.3523575,0.12,55.660215,0.22163625,37.752,0.32951626,0.27956626,-1.664208799417979,0.986,293.85876,272,269,2024-04-19,NUH,187,2024-06-30T00:00:00,8.37,1.5760336,469,475,259,256,2.2918034,2023-07-01T00:00:00,30.522571428571435,Baded(145),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09175579986172,27.803082622320222]}"
