system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.10349,0.78,0.85,6.16,0.12882,360.64,2.46,0,0.325325,0.405,26.4888975,0.1238825,41.92,0.24303,0.18032,-1.6055491856709863,2.26,257.57263,238,243,2024-03-22,PALWAL,192,2024-06-30T00:00:00,7.72,1.7324725,458,452,304,305,4.3017693,2023-07-01T00:00:00,30.355567567567572,Kherli Jita(190),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.18068901298955,28.18118352540613]}"
1_0,0,0.12325128,0.9,0.72,7.14,0.15271282,387.52,2.32,0,0.32618976,0.285,25.2818085,0.16520256,39.68,0.29337692,0.22393334,-1.173774294513508,1.82,131.43849,275,269,2024-03-23,PALWAL,190,2024-06-30T00:00:00,7.72,1.5993783,449,454,276,277,1.4011546,2023-07-01T00:00:00,30.52066666666667,Rupraka(246),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.19658919351846,28.01652233382702]}"
3_0,0,0.12625122,1.18,0.89,8.26,0.1436561,403.2000000000001,5.48,0,0.29959512,0.3375,26.757139500000005,0.13670243,38.4,0.2252,0.16373171,-2.4199394302831028,2.12,40.369293,255,260,2024-04-01,PALWAL,196,2024-06-30T00:00:00,7.44,1.697737,452,451,293,289,4.857777,2023-07-01T00:00:00,30.269942857142855,Chhaju Nagar(153),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.36933522265466,28.090633344766882]}"
4_0,0,0.11194,0.82,0.81,6.04,0.140515,694.4000000000001,2.56,0,0.3048875,0.405,26.0865345,0.15407,38.4,0.2900975,0.230515,5.338108264480756,2.06,-0.0,245,241,2024-03-26,PALWAL,190,2024-06-30T00:00:00,7.84,1.5993783,458,463,297,296,1.8543341,2023-07-01T00:00:00,30.38005714285714,Jalalpur Hathin(270),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.16586681080157,28.02110374177603]}"
5_0,0,0.12284938,1.86,0.72,8.3,0.15074691,369.6,2.18,0,0.30540866,0.375,26.690079,0.1582321,37.76,0.26153332,0.20291358,1.3128102536393227,1.9,90.0,224,238,2024-04-01,PALWAL,190,2024-06-30T00:00:00,7.36,1.7475111,477,471,299,292,1.0498334,2023-07-01T00:00:00,30.37735135135135,Bahin(281),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.28552240664631,27.94887919293282]}"
6_0,0,0.1508875,0.54,0.71,5.12,0.185495,253.12000000000003,3.34,0,0.3315075,0.36,26.019474,0.21047,36.8,0.3263725,0.276955,-1.1720457860827578,0.78,131.4703,262,262,2024-04-14,PALWAL,189,2024-06-30T00:00:00,7.34,1.5868689,447,446,292,292,1.4002743,2023-07-01T00:00:00,30.536424242424246,Nangal Sabha(288),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.24994912139516,27.895519265056123]}"
7_0,0,0.101908535,1.04,0.83,6.96,0.13041097,403.2000000000001,2.96,0,0.27415243,0.345,25.0135665,0.14491951,38.72,0.26515853,0.22083902,-1.1734614147363105,1.62,228.55579,226,241,2024-03-27,PALWAL,192,2024-06-30T00:00:00,7.84,1.8796829,474,466,300,293,1.4009963,2023-07-01T00:00:00,30.408571428571435,Gudhrana(125),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.35801645007474,27.994693272422918]}"
8_0,0,0.09847683,1.12,0.98,8.74,0.13089025,226.24,3.04,0,0.30284512,0.3825,26.220655500000003,0.14012073,38.72,0.26092926,0.20449391,-1.17338159413555,0.88,131.44574,224,244,2024-03-27,PALWAL,193,2024-06-30T00:00:00,7.84,1.8796829,477,466,299,291,1.4009538,2023-07-01T00:00:00,30.4024,Gudhrana(125),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.3569384717338,27.98876439154773]}"
9_0,0,0.142495,1.42,0.87,6.02,0.15026501,280,3.38,0,0.27164,0.3675,28.031289,0.155595,38.4,0.252675,0.203045,-0.7595734843827421,1.82,-0.0,267,271,2024-04-14,PALWAL,189,2024-06-30T00:00:00,7.64,1.747199,444,443,289,286,0.92740995,2023-07-01T00:00:00,30.242684210526317,Karwan(95),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.40841193751385,27.858868001464046]}"
10_0,0,0.0702679,1.68,0.83,9.08,0.10195926,264.32000000000005,4.64,0,0.33625925,0.3675,25.751232,0.08124197,38.4,0.18822221,0.11491358,1.1653757667526914,1.94,159.32433,265,279,2024-03-27,PALWAL,181,2024-06-30T00:00:00,7.82,1.9623221,433,425,301,296,2.9713507,2023-07-01T00:00:00,30.230894736842103,Hassanpur (Rural) (104),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.52079117955721,27.95992847092749]}"
