system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.0940878,1.145088712551323,0.19,14.374228947145214,0.13516586,146.17067237170758,12.931249138745104,0,0.29919025,0.28,14.164316694042611,0.14794879,23.77080248105909,0.2662073,0.21890488,-2.087991519798189,1.642012086305338,217.11484,272,278,2024-03-30,REWARI,242,2024-06-30T00:00:00,7.6,1.5042734,421,409,307,313,3.4850066,2023-07-01T00:00:00,30.611736842105266,Joniawas (296),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.79746771278417,28.234812947868065]}"
1_0,0,0.09178372,1.16246210612266,0.19,15.211066632907368,0.13796976,139.19141203643971,12.22212207925742,0,0.31932792,0.31,14.150107333403453,0.17204884,22.696555456956627,0.31931627,0.27123022,-1.6715276655135183,1.472883768169905,293.77368,274,275,2024-03-30,REWARI,243,2024-06-30T00:00:00,7.9,1.5042734,425,419,301,306,2.2995179,2023-07-01T00:00:00,30.580594594594594,Joniawas (296),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.79207782107945,28.23589092620901]}"
2_0,0,0.101733334,1.12797050111708,0.19,16.5376091559615,0.13928333,136.8715762466717,12.457745815746993,0,0.32709762,0.27,13.547775048406606,0.16023809,21.04280904908053,0.30635238,0.25590953,-1.456196505364754,1.482562491778017,-0.0,269,266,2024-03-30,REWARI,248,2024-06-30T00:00:00,7.5,1.5042734,429,427,302,308,1.8543341,2023-07-01T00:00:00,30.580594594594594,Joniawas (296),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.79207782107945,28.238855366646604]}"
3_0,0,0.09284,1.086433936263493,0.19,12.453556388750686,0.1279225,145.42142626365256,10.242925942428135,0,0.2995125,0.22,16.276348973168272,0.1473625,20.956067755368984,0.291065,0.2435875,6.1837864310840756,1.333195456649966,279.99265,261,263,2024-03-30,REWARI,240,2024-06-30T00:00:00,7.7,1.5042734,426,419,313,318,5.329672,2023-07-01T00:00:00,30.580594594594594,Joniawas (296),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.79692872361369,28.239933344987545]}"
4_0,0,0.0894475,1.164012437926852,0.22,15.199240759225113,0.1255025,193.0017256942869,11.548248994416491,0,0.3023925,0.3,12.11086063913814,0.1416825,28.03098215486994,0.2864875,0.232855,7.026696907808744,1.601525489881309,293.77286,261,263,2024-03-30,REWARI,238,2024-06-30T00:00:00,7.9,1.5042734,426,419,313,318,2.299593,2023-07-01T00:00:00,30.580594594594594,Joniawas (296),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.79665922902846,28.239933344987545]}"
7_0,0,0.0968975,0.699339330108192,0.26,10.825599416462534,0.1341525,71.18739375044898,11.181543055113536,0,0.28938,0.3,10.21415249774486,0.1638625,12.908402456605002,0.313285,0.2606025,-0.902690395818863,1.746074836745266,29.577509,264,269,2024-03-30,REWARI,243,2024-06-30T00:00:00,7.6,1.5533347,421,409,315,322,2.1319418,2023-07-01T00:00:00,30.580594594594594,Joniawas (296),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.80016265863652,28.24101132332849]}"
8_0,0,0.117402434,0.823046368582841,0.19,12.644609144056425,0.15379757,102.71277511177546,16.678168905486544,0,0.3348805,0.3,12.533937120536027,0.17117317,19.22962359544865,0.31476828,0.2647805,0.941685171341519,1.485067834871055,-0.0,272,272,2024-03-30,REWARI,242,2024-06-30T00:00:00,7.9,1.5042734,420,415,308,314,1.8543341,2023-07-01T00:00:00,30.580594594594594,Joniawas (296),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.7939642831761,28.241280817913726]}"
9_0,0,0.09407317,1.134756543619494,0.3,17.08094949951356,0.13054635,186.45716361898783,21.40382554968605,0,0.31816342,0.16,14.4706522133501,0.1406561,27.387112279707523,0.2707805,0.21550976,-1.6716288420249312,2.519572853354799,66.22748,279,284,2024-03-30,REWARI,249,2024-06-30T00:00:00,7.6,1.5533347,422,410,299,306,2.299623,2023-07-01T00:00:00,30.611736842105266,Joniawas (296),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.80339659365936,28.241550312498962]}"
10_0,0,0.09691,1.185599529852377,0.35,14.43689895313809,0.1374125,146.01652079416775,12.68485369548436,0,0.3123375,0.16,13.382145740860024,0.1631,25.40184365425193,0.306475,0.2607775,-1.0894869679011,1.576719408586552,195.843,260,266,2024-03-30,REWARI,244,2024-06-30T00:00:00,7.5,1.5533347,424,411,316,323,3.8506496,2023-07-01T00:00:00,30.557081081081076,Joniawas (296),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.80016265863652,28.241819807084198]}"
11_0,0,0.121439025,1.183949196063373,0.36,13.575978156950471,0.16302195,142.0019875214381,10.37241736386171,0,0.33663416,0.27,14.278285496216236,0.1904439,24.544004320153444,0.33412927,0.28881463,-1.1770334254090034,1.32850707559708,311.3786,269,268,2024-03-30,REWARI,244,2024-06-30T00:00:00,7.7,1.5042734,429,424,302,308,1.4028157,2023-07-01T00:00:00,30.557081081081076,Joniawas (296),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.79342529400563,28.242358796254667]}"
