system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.23,0.14632608,0.1,0.3,0.37,0.23908724,140,0.5,122.4,0.31381914,0.48,6.6,0.24681063,72.3,0.28975746,0.24895532,-1.6139347771078616,0.13,270.0,205,217,2024-04-15,SIRSA,199,2024-06-30T00:00:00,6.2,1.3538015,509,503,285,280,2.1377604,2023-07-01T00:00:00,30.407463414634137,Mithri(304),"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.82907926222147,29.85151096469797]}"
1_0,0.3,0.09979804,0.19,0.61,0.77,0.12803334,36.11,0.6,112,0.31638038,0.55,1.68,0.14192942,11.54,0.2715608,0.21130392,-1.6967613528731544,0.62,293.4826,204,217,2024-03-29,SIRSA,202,2024-06-30T00:00:00,7.9,1.4186603,520,512,276,270,2.3263476,2023-07-01T00:00:00,30.404450000000004,Karamgarh(195),"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.93175669919633,29.66852414132282]}"
2_0,0.29,0.103589796,0.11,0.82,0.83,0.15030204,81.1,0.17,150,0.34011632,0.42,4.7,0.17119592,5.67,0.2945,0.25176123,-0.7735249608270742,0.5,180.0,216,225,2024-04-01,SIRSA,204,2024-06-30T00:00:00,8.3,1.2481849,540,537,244,238,0.92740995,2023-07-01T00:00:00,30.5416,Tarkan Wali(11),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.1659474937663,29.34809507947739]}"
3_0,0.62,0.10710816,0.06,0.39,0.7,0.13212246,43.2,0.3,91.8,0.31147346,0.36,3,0.13787143,5.69,0.24483469,0.18875307,0.609042713226243,0.03,-0.0,193,214,2024-04-24,SIRSA,208,2024-06-30T00:00:00,8.29,1.2800198,508,495,299,291,1.8543341,2023-07-01T00:00:00,30.339149999999997,Malri(172),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.15382023743068,29.729160423000888]}"
4_0,0.41,0.10501313,0.16,0.67,0.45,0.14703232,66.89,0.25,108,0.34094343,0.36,1.76,0.16329697,5.36,0.2937707,0.2413,-0.21831781127372177,0.8,90.0,211,223,2024-03-30,SIRSA,202,2024-06-30T00:00:00,8.15,1.2559564,550,542,240,235,2.127743,2023-07-01T00:00:00,30.496153846153856,Raipur(33),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.03389514700072,29.377469989268096]}"
5_0,0.18,0.1573172,0.19,0.4,0.48,0.18766236,23.9,0.51,111,0.31875053,0.33,1.45,0.20392366,18.27,0.29765055,0.2485527,-1.6141249945722862,0.3,209.9443,207,211,2024-03-22,SIRSA,202,2024-06-30T00:00:00,8.17,1.2509923,533,531,260,258,2.1397529,2023-07-01T00:00:00,30.42965853658537,Goriwala(255),"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.76062763757156,29.77605248083193]}"
6_0,0.38,0.092576474,0.19,0.65,0.88,0.12610981,79.05,0.17,102,0.33094117,0.46,5.32,0.13606079,8.55,0.26320785,0.1988098,-0.08366969088016055,0.09,66.47538,210,217,2024-03-26,SIRSA,207,2024-06-30T00:00:00,8.6,1.2623112,524,520,266,263,2.3224325,2023-07-01T00:00:00,30.466650000000005,Tajia Khera(52),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.14519641070314,29.466133707810695]}"
7_0,0.02,0.09932449,0.05,0.46,0.17,0.14386326,64.67,0.18,95,0.34252653,0.36,1.67,0.16815102,9.07,0.29586938,0.24843776,-1.6902733787411637,0.46,293.5571,216,223,2024-03-28,SIRSA,203,2024-06-30T00:00:00,8.15,1.2550437,527,523,257,254,2.319416,2023-07-01T00:00:00,30.559450000000016,Rampura Dhillon(24),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.10019081496874,29.308748870032954]}"
8_0,0.25,0.124028,0.13,0.46,0.38,0.170436,39.57,0.5,115,0.342554,0.36,1.25,0.200772,4.98,0.332232,0.29196,5.538128672795339,0.05,-0.0,215,206,2024-03-29,SIRSA,201,2024-06-30T00:00:00,8.15,1.355225,570,582,215,212,0.0,2023-07-01T00:00:00,30.616585365853652,Kheri(6),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.11124009296341,29.236524321189744]}"
9_0,0.2,0.095581,0.51,0.52,0.35,0.123857,60.14,0.25,99,0.314258,0.32,5.15,0.126582,9.27,0.239631,0.184167,-1.4694678134411892,0.15,-0.0,183,210,2024-03-30,SIRSA,201,2024-06-30T00:00:00,8.4,1.3810331,524,509,293,281,1.8543341,2023-07-01T00:00:00,30.345100000000002,Panjuana(192),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.00101680760194,29.635915296509282]}"
