system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.050940476,1.51,0,6.348,0.07079048,142.442,1.754,0,0.23871666,0.93,14.336,0.07215476,0,0.22139762,0.14201428,-0.6557539213579353,1.754,348.9828,250,256,2024-02-13,SOLAN,935,2024-06-30T00:00:00,7.81,4.272414,406,402,344,343,5.651039,2023-07-01T00:00:00,29.70140909090909,Lahdi (450),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94838468051624,31.123794901596447]}"
1_0,0,0.059747618,1.622,0,6.812,0.08225238,118.787,1.994,0,0.27445,0.54,10.752,0.07828572,0,0.23735714,0.1567119,-2.34304596663687,2.01,278.12012,246,254,2024-02-13,SOLAN,950,2024-06-30T00:00:00,7.15,4.272414,406,400,348,346,12.909717,2023-07-01T00:00:00,29.70140909090909,Lahdi (450),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94622872383435,31.121099955744086]}"
2_0,0,0.05142093,1.202,0,5.072,0.07264884,259.146,1.094,0,0.24491163,0.99,12.768,0.06863256,0,0.18765348,0.11779535,-3.4152177006093587,1.05,291.26083,248,250,2024-02-13,SOLAN,936,2024-06-30T00:00:00,7.15,4.272414,396,395,355,355,12.582694,2023-07-01T00:00:00,29.723644444444446,Lahdi (450),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.943533777982,31.128376309545455]}"
3_0,0,0.08428095,1.706,0,7.16,0.10290238,171.539,2.174,0,0.23407143,0.84,8.064,0.109466664,0,0.23259048,0.16321667,-2.900140837972266,2.202,276.97205,244,248,2024-02-13,SOLAN,926,2024-06-30T00:00:00,5.93,4.272414,396,394,360,359,7.59609,2023-07-01T00:00:00,29.723644444444446,Lahdi (450),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94326428339676,31.127028836619278]}"
4_0,0,0.07177619,1.412,0,5.942,0.09198333,119.101,1.544,0,0.24461429,0.645,14.56,0.10017381,0,0.24227142,0.17180476,-1.55507513616052,1.53,201.2754,240,250,2024-02-08,SOLAN,908,2024-06-30T00:00:00,7.19,4.272414,407,400,353,350,5.950465,2023-07-01T00:00:00,29.70140909090909,Lahdi (450),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94461175632294,31.12487287993739]}"
5_0,0,0.06504286,1.538,0,6.464,0.08879762,163.363,1.814,0,0.26367858,0.93,13.44,0.094795235,0,0.2261381,0.15168095,1.7276950678636471,1.818,180.0,249,256,2024-02-08,SOLAN,916,2024-06-30T00:00:00,7.11,4.272414,406,401,344,343,10.992985,2023-07-01T00:00:00,29.66704545454546,Lahdi (450),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94649821841959,31.12541186910786]}"
6_0,0,0.108677775,0.922,0,9.664,0.10919111,209.955,6.62,0,0.19978444,0.81,15.68,0.105573334,0,0.21940666,0.17814,-2.741049440020708,2.806,90.0,262,269,2024-03-14,SOLAN,1577,2024-06-30T00:00:00,7.79,4.2847433,360,365,378,366,6.481267,2023-07-01T00:00:00,29.69933333333333,Baga (511),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.93652691876586,31.245336959537816]}"
7_0,0,0.061225,1.58,0,6.638,0.07876591,148.915,1.904,0,0.25912273,0.54,12.096,0.07257273,0,0.19494545,0.12526137,-1.674158632579304,1.914,158.70192,277,283,2024-02-08,SOLAN,1450,2024-06-30T00:00:00,5.94,4.2847433,353,358,370,359,8.88734,2023-07-01T00:00:00,29.657199999999992,DarlaGhat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9359879295954,31.23590464905456]}"
8_0,0,0.076802276,0.512,0,9.316,0.09654773,218.422,3.762,0,0.29659545,0.705,18.816,0.09896591,0,0.23211591,0.15301818,-2.369326691684927,0.23,145.7081,252,265,2024-03-18,SOLAN,1313,2024-06-30T00:00:00,7.85,4.2476373,373,371,374,364,13.231217,2023-07-01T00:00:00,29.65404545454546,Susai (308),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.91469785736176,31.196558439610126]}"
9_0,0,0.058134884,0.562,0,8.95,0.08143488,199.808,0.904,0,0.2907651,0.9,20.16,0.08192558,0,0.23386511,0.15353256,3.3504412083909836,3.172,83.03233,283,288,2024-03-13,SOLAN,1138,2024-06-30T00:00:00,7.85,4.2476373,355,354,362,358,7.6007743,2023-07-01T00:00:00,29.69172727272727,Baghi (302),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.92332168408932,31.186856634541638]}"
11_0,0,0.063563414,0.292,0,6.948,0.081960976,148.915,3.314,0,0.25592926,0.6,2.464,0.077429265,0,0.18248537,0.117975615,0.1551771425363093,0.358,12.001204,277,266,2024-03-18,SOLAN,1227,2024-06-30T00:00:00,7.54,4.2847433,382,389,342,345,10.317391,2023-07-01T00:00:00,29.588954545454552,Banan (309),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.91254190067987,31.207338223019562]}"
12_0,0,0.06480476,0.754,0,8.512,0.0764119,177.408,6.356,0,0.23753095,0.9,17.696,0.07132143,0,0.17475,0.10948333,-2.8533897069194807,2.556,75.253075,261,273,2024-03-14,SOLAN,1325,2024-06-30T00:00:00,7.85,4.2476373,368,366,371,361,14.271903,2023-07-01T00:00:00,29.680418604651162,Surajpur (306),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.91550634111746,31.18847360205305]}"
13_0,0,0.11545814,0.726,0,8.32,0.13412093,220.864,6.312,0,0.28324884,0.96,20.384,0.13795117,0,0.24116512,0.17241628,-3.1188664863686983,2.526,75.8772,261,273,2024-03-14,SOLAN,1325,2024-06-30T00:00:00,7.91,4.2476373,368,366,371,361,18.35147,2023-07-01T00:00:00,29.680418604651162,Surajpur (306),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.91523684653224,31.189551580393996]}"
14_0,0,0.11545814,0.726,0,8.32,0.13412093,220.864,6.312,0,0.28324884,0.96,20.384,0.13795117,0,0.24116512,0.17241628,-3.1188664863686983,2.526,75.8772,261,273,2024-03-14,SOLAN,1325,2024-06-30T00:00:00,7.93,4.2476373,368,366,371,361,18.35147,2023-07-01T00:00:00,29.680418604651162,Surajpur (306),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.91523684653224,31.189551580393996]}"
