system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.05552561,0.22,0.23,6.6,0.08618293,200,4.8,660,0.28710365,0.95,20,0.08985366,9,0.25475731,0.17272805,5.248362323823678,0.7,-0.0,200,200,2024-03-02,RAJOURI,592,2024-06-30T00:00:00,7.9,3.397756,270,270,530,530,1.8543341,2023-07-01T00:00:00,29.833333333333332,Manpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.19441951399102,33.1482382258882]}"
1_0,0,0.040296342,0.34,0.37,7.2,0.060081705,171,4.2,660,0.24289756,0.95,22,0.048310976,11,0.1780061,0.111626826,2.7330765709891134,0.74,129.94818,219,218,2024-03-07,RAJOURI,520,2024-06-30T00:00:00,7.5,3.3002467,292,288,489,493,1.4441711,2023-07-01T00:00:00,29.806666666666665,Dharat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.33509568748414,33.11670735941561]}"
2_0,0,0.0557061,0.2,0.17,6.4,0.078725606,159,4.2,695,0.2409378,1,19,0.09034024,20,0.20938781,0.1577061,-3.092814908906613,0.62,59.16563,266,281,2024-01-05,RAJOURI,842,2024-06-30T00:00:00,6.7,3.7267258,342,335,392,384,8.973568,2023-07-01T00:00:00,29.780755555555547,Sawani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.28119677043698,33.310473966200185]}"
3_0,0,0.08695185,0.5,0.17,9,0.105146915,175,4.6,521,0.2827926,0.75,20,0.109193824,26,0.2204321,0.15898395,-2.6610341715252495,0.66,217.87534,314,326,2024-01-11,RAJOURI,1368,2024-06-30T00:00:00,7.5,4.3201146,301,285,385,389,22.301245,2023-07-01T00:00:00,29.50111111111111,Kanthol,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.52077745671166,33.310743460785424]}"
4_0,0,0.123108044,0.38,0.34,8.6,0.14627011,219,3,445,0.2789977,0.64,24,0.15237357,29,0.25924483,0.20475517,-2.1343130663612615,0.66,105.53661,265,269,2024-03-02,RAJOURI,1558,2024-06-30T00:00:00,7.6,4.2454515,320,310,414,421,3.4584663,2023-07-01T00:00:00,29.534888888888887,Darhal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.40947619300924,33.484028479092075]}"
5_0,0,0.05534819,0.28,0.13,8.4,0.08306145,211,3.6,695,0.29968914,1,25,0.082131326,17,0.23573373,0.15450361,0.8284415625216341,0.6,119.1291,292,308,2024-01-10,RAJOURI,1061,2024-06-30T00:00:00,7.6,4.3293676,305,297,403,395,14.897833,2023-07-01T00:00:00,29.572933333333346,Gadhyog,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.57683233044071,33.291609345233674]}"
6_0,0,0.11707805,0.26,0.29,7.2,0.15064634,215,3.2,626,0.2667695,0.9,10,0.17354146,14,0.26070732,0.2073561,2.328530109061561,0.64,254.39742,245,238,2024-03-15,RAJOURI,632,2024-06-30T00:00:00,6.5,3.2681825,352,354,403,408,6.863761,2023-07-01T00:00:00,29.737956521739132,Prat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.46283612088594,33.095686781767206]}"
7_0,0,0.0930561,0.38,0.17,8.2,0.107812196,202,3.4,507,0.29772317,0.73,12,0.10895122,31,0.21800976,0.15762317,-4.1532137834241745,0.66,102.298676,312,326,2024-01-11,RAJOURI,1366,2024-06-30T00:00:00,6.9,4.3201146,301,286,388,388,24.51189,2023-07-01T00:00:00,29.50111111111111,Kanthol,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.51942998378547,33.31020447161495]}"
8_0,0,0.17809285,0.36,0.14,6.4,0.19508095,213,3.2,459,0.23122619,0.6,18,0.2134,21,0.25066727,0.23622678,-3.052033768232999,0.66,50.130917,272,280,2024-02-13,RAJOURI,1658,2024-06-30T00:00:00,7.1,5.107941,276,270,453,450,16.858402,2023-07-01T00:00:00,29.327244444444446,Hubbi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.51727402710358,33.361947431980234]}"
9_0,0,0.05727805,0.3,0.2,7.4,0.087512195,219,4.2,528,0.3024988,0.76,13,0.08792073,29,0.22800854,0.16548415,-0.451930300399615,0.6,16.647099,260,274,2024-01-30,RAJOURI,890,2024-06-30T00:00:00,7.6,3.4431903,362,359,378,368,3.8663807,2023-07-01T00:00:00,29.837304347826084,Pukharni,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.1130321492498,33.26978028382957]}"
10_0,0,0.03749268,0.28,0.19,7.4,0.062119514,175,4.4,660,0.28397682,0.95,10,0.055487804,13,0.20482561,0.13227195,-2.101598256436243,0.64,97.93391,264,276,2024-01-29,RAJOURI,896,2024-06-30T00:00:00,7.5,3.4431903,358,352,378,372,6.6889033,2023-07-01T00:00:00,29.825434782608706,Rajowa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.11842204095451,33.26034797334631]}"
