system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,4.12,0.08643778,0.65,0.76,4.17,0.09664,322.4,3.16,365,0.21240778,0.47,45.2,0.091342226,104.81,0.17236666,0.121588886,-0.13132629859468553,0.74,180.0,239,238,2024-01-08,SRINAGAR,1580,2024-06-30T00:00:00,7.8,1.7321122,231,228,530,533,1.8543341,2023-07-01T00:00:00,29.251,Bakshipora Tengpora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.73044424402515,34.13270194575478]}"
1_0,1.29,0.10831111,0.26,0.31,5.17,0.12986222,278,3.43,337,0.26919112,0.45,52.9,0.12950334,101.15,0.21710445,0.17019889,1.95970421467075,0.62,-0.0,253,255,2024-01-09,SRINAGAR,1581,2024-06-30T00:00:00,6.8,1.7321122,243,239,503,505,0.0,2023-07-01T00:00:00,29.32195238095239,Bakshipora Tengpora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.71481355808146,34.13890032121521]}"
2_0,3.35,0.106402226,0.58,0.63,3.73,0.12714222,304.4,3.59,304,0.27220112,0.65,35.6,0.120866664,98.96,0.20821889,0.15648444,1.2883268148944995,2.85,90.0,238,238,2024-01-02,SRINAGAR,1579,2024-06-30T00:00:00,6.7,1.5868258,240,236,522,526,1.1207805,2023-07-01T00:00:00,29.243380952380953,Takanwaripora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.70026085047873,34.16396331764214]}"
3_0,4.02,0.12649333,0.86,0.37,4.19,0.13773444,279,3.77,293,0.22916333,0.41,39.8,0.13536778,62.41,0.20545112,0.16332333,-1.2749081081766966,3.55,50.39206,241,243,2024-01-02,SRINAGAR,1585,2024-06-30T00:00:00,7.8,1.5868258,237,232,522,525,1.454505,2023-07-01T00:00:00,29.3265,Takanwaripora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.7037642800868,34.15668696384078]}"
4_0,2.85,0.10445222,0.38,0.47,3.76,0.12298111,284.8,3.74,326,0.22564666,0.72,29.6,0.11922111,94.88,0.18505222,0.14830667,-1.0931260603396526,3.59,112.477196,241,243,2024-01-02,SRINAGAR,1582,2024-06-30T00:00:00,7.9,1.5868258,237,232,522,525,4.840416,2023-07-01T00:00:00,29.3265,Takanwaripora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.70484225842775,34.15776494218172]}"
5_0,4.06,0.10529111,1.32,0.63,3.74,0.122883335,328,4.08,291,0.24972555,0.58,29.6,0.11687,82.98,0.18352666,0.13608222,-1.967943084566888,3.59,50.390114,243,247,2024-01-04,SRINAGAR,1580,2024-06-30T00:00:00,7.9,1.5868258,248,240,509,512,5.799147,2023-07-01T00:00:00,29.22309523809524,Takanwaripora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.71346608515529,34.15075808296559]}"
6_0,1.24,0.11211889,0.93,0.17,3.16,0.13192,319,2.63,287,0.26002446,0.28,46.8,0.12753555,84.68,0.20231667,0.15608555,-0.17609933735091923,0.41,129.61127,250,252,2024-01-19,SRINAGAR,1577,2024-06-30T00:00:00,6.6,1.7321122,240,235,510,513,1.4544028,2023-07-01T00:00:00,29.26452380952382,Takanwaripora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.71750850393383,34.14671566418705]}"
7_0,3.12,0.10050444,1.22,0.28,4.07,0.121316664,237,3.73,315,0.2647322,0.81,29.8,0.11846222,102.81,0.2151689,0.16145666,4.598799898286048,0.61,-0.0,257,258,2024-01-20,SRINAGAR,1580,2024-06-30T00:00:00,8.2,1.7321122,242,239,501,503,0.0,2023-07-01T00:00:00,29.32195238095239,Takanwaripora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.71319659057005,34.135935880777616]}"
8_0,3.39,0.106755555,0.73,0.63,4.36,0.12839,264.8,4.13,297,0.27445555,0.69,37.6,0.12563333,83.69,0.21981777,0.16853778,-1.5176867933320632,3.31,-0.0,252,254,2024-01-03,SRINAGAR,1580,2024-06-30T00:00:00,7.6,1.7321122,243,239,504,506,1.8543341,2023-07-01T00:00:00,29.32195238095239,Takanwaripora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.714274568911,34.1380918374595]}"
9_0,3.26,0.09333111,1.08,0.72,4.19,0.11276222,341.4,4.18,344,0.2712,0.59,38.4,0.108224444,78.19,0.21029112,0.15544778,-2.3999533234955504,3.18,90.0,253,255,2024-01-03,SRINAGAR,1585,2024-06-30T00:00:00,8.2,1.7321122,245,241,503,503,4.4732122,2023-07-01T00:00:00,29.32195238095239,Takanwaripora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.71319659057005,34.1380918374595]}"
