system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.46,0.0881439,5.19,0.22,11.97,0.11256342,199.2,4.97,200,0.28091708,0.36,20.63,0.12024634,10.1,0.2591244,0.18446097,1.9109203364823222,0.47,180.0,338,347,2024-02-12,GARHWA,232,2024-06-30T00:00:00,7.11,2.0724165,202,198,460,455,0.92740995,2023-07-01T00:00:00,30.45420512820513,Birbandha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.83316284953666,24.105616912884273]}"
1_0,0.42,0.0853921,6.74,0.24,9.17,0.109742105,188.9,3.47,215,0.28936052,0.39,18.64,0.11293684,11.5,0.24438421,0.17601316,-0.4537830130833463,0.37,28.710701,327,334,2024-02-12,GARHWA,240,2024-06-30T00:00:00,7.41,2.0352693,198,200,475,466,2.1140487,2023-07-01T00:00:00,30.455550000000006,Birbandha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.82831194700242,24.09591510781578]}"
2_0,0.16,0.10602439,3.29,0.21,14.27,0.13110732,197.3,4.38,266,0.2606829,0.48,16.36,0.14739025,13.3,0.31192926,0.2511,-0.8199979033344311,0.32,90.0,316,349,2024-06-10,GARHWA,186,2024-06-30T00:00:00,8.01,2.0611877,184,176,500,475,2.031975,2023-07-01T00:00:00,30.45340540540541,Datma,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.92937241646587,24.144963122328708]}"
3_0,0.27,0.090085365,1.93,0.23,16.28,0.11442439,189.2,4.35,282,0.2674439,0.58,18.19,0.122531705,14.3,0.2713634,0.20826098,-1.5131336523244177,0.45,270.0,304,340,2024-06-11,GARHWA,192,2024-06-30T00:00:00,7.44,2.0611877,185,176,511,483,2.0319574,2023-07-01T00:00:00,30.45340540540541,Datma,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.92721645978398,24.143885143987763]}"
4_0,0.37,0.13581538,6.53,0.22,16.28,0.15998462,212.6,10.87,276,0.3330795,0.49,18.52,0.16951026,12.4,0.33710256,0.2612487,-0.7286431184622356,0.51,-0.0,300,333,2024-06-08,GARHWA,196,2024-06-30T00:00:00,7.11,2.075329,204,194,496,473,0.92740995,2023-07-01T00:00:00,30.380190476190478,Masuriya Khurd,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.90161447418657,24.169756624170407]}"
5_0,0.47,0.1258,2.85,0.03,11.12,0.14302196,175.76,18.3,32,0.26770002,0.05,19.34,0.14749512,12.6,0.28634635,0.21225366,-1.4579595746496554,0.59,15.323808,346,382,2024-03-28,GARHWA,222,2024-06-30T00:00:00,7.92,2.0591648,182,175,472,443,3.8409595,2023-07-01T00:00:00,30.402769230769227,Khajuri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.75635689274445,24.167061678318046]}"
7_0,0.28,0.103643246,2.72,0.23,13.12,0.12583244,188.3,2.66,243,0.25236216,0.39,19.8,0.14133513,9.7,0.29487297,0.24493243,-0.7279882045075684,0.37,180.0,330,341,2024-02-16,GARHWA,261,2024-06-30T00:00:00,6.72,2.0352693,211,208,459,450,0.92740995,2023-07-01T00:00:00,30.404780487804878,Obra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.81510671232587,24.084596335235876]}"
8_0,0.35,0.0962,3.11,0.24,9.29,0.11514474,132.5,3.18,226,0.29872632,0.34,18.24,0.11207105,9.6,0.25543684,0.17063421,-1.5563160183686398,0.43,331.2115,358,388,2024-03-11,GARHWA,142,2024-06-30T00:00:00,6.53,2.0997925,219,214,424,398,2.1156228,2023-07-01T00:00:00,30.367349999999995,Sonpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.7994760263822,24.504468899033338]}"
9_0,0.41,0.07407436,3.31,0.19,15.81,0.09432564,188.5,6.36,182,0.23678204,0.29,16.81,0.10048462,9.5,0.23914616,0.18188462,-1.1334698422341538,0.44,180.0,330,337,2024-06-08,GARHWA,249,2024-06-30T00:00:00,6.65,2.0352693,198,198,473,466,2.7802885,2023-07-01T00:00:00,30.43215,Kitasoti Kalan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.83397133329238,24.087021786502998]}"
10_0,0.43,0.0925375,3.25,0.29,14.23,0.1151675,214.7,4.65,323,0.25878,0.55,21.33,0.124275,11.4,0.28906,0.2107025,-1.5132253444425445,0.52,90.0,340,374,2024-06-08,GARHWA,202,2024-06-30T00:00:00,7.68,2.0919104,185,176,474,450,2.0320501,2023-07-01T00:00:00,30.433538461538458,Madheya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.85499191094077,24.149814024862952]}"
11_0,0.39,0.1044075,6.28,0.19,15.93,0.1220625,165.5,6.32,316,0.2628475,0.51,18.29,0.123895,10.2,0.25288,0.19778,-0.8203138139791563,0.47,270.0,348,383,2024-06-03,GARHWA,215,2024-06-30T00:00:00,7.19,2.0591648,188,176,464,441,1.0164663,2023-07-01T00:00:00,30.39889473684211,Chiraunjiya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.77576050288144,24.16490572163616]}"
12_0,0.41,0.1184175,3.23,0.16,12.26,0.14488,118.2,4.71,218,0.28261,0.23,14.96,0.1604925,16.1,0.2958925,0.2390375,-1.5134609883826102,0.44,90.0,352,375,2024-06-03,GARHWA,214,2024-06-30T00:00:00,6.74,2.0591648,184,178,464,447,2.032293,2023-07-01T00:00:00,30.367641025641017,Chiraunjiya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.76956212742101,24.16490572163616]}"
13_0,0.51,0.13162683,3.61,0.44,15.82,0.15470244,262.7,4.25,305,0.30089757,0.58,22.65,0.16176097,15.5,0.31162682,0.22686097,3.628169374549464,0.44,331.26376,327,353,2024-04-16,GARHWA,187,2024-06-30T00:00:00,7.29,2.090384,224,213,449,434,2.1145644,2023-07-01T00:00:00,30.427049999999998,Gidha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.83693577372998,24.230931895018944]}"
14_0,0.43,0.124507315,2.27,0.32,15.22,0.14452195,217.3,3.65,372,0.28406343,0.59,19.22,0.15024634,9.5,0.30477074,0.22139512,-0.7286099751149906,0.48,-0.0,348,386,2024-06-10,GARHWA,198,2024-06-30T00:00:00,7.64,2.0878212,190,179,462,435,0.92740995,2023-07-01T00:00:00,30.38502564102565,Madheya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.86523270517974,24.165983699977104]}"
15_0,0.35,0.12618974,3.25,0.16,8.62,0.1449077,154.6,2.19,234,0.26478204,0.29,17.81,0.15643845,9.6,0.29159743,0.24328205,-1.6081258425557263,0.39,245.47987,353,389,2024-03-09,GARHWA,195,2024-06-30T00:00:00,7.28,2.0878212,220,206,427,406,2.2337167,2023-07-01T00:00:00,30.386878048780495,Farathia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.8528359542589,24.17460752670465]}"
16_0,0.47,0.06329474,1.39,0.32,14.18,0.0856,211.5,4.42,315,0.2733842,0.51,21.13,0.0859,10.5,0.2455079,0.18102369,-1.4188115114056585,0.65,180.0,390,408,2024-06-11,GARHWA,458,2024-06-30T00:00:00,7.54,2.3915875,167,162,443,430,1.8543341,2023-07-01T00:00:00,30.303897435897444,Saraidih,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.77953342707474,23.77979795933412]}"
17_0,0.38,0.096914634,2.87,0.24,12.63,0.113143906,219.4,4.49,352,0.2740122,0.56,17.26,0.113543905,11.7,0.2397439,0.1636122,-0.7285565868049166,0.42,180.0,308,342,2024-06-07,GARHWA,194,2024-06-30T00:00:00,7.12,2.075329,193,183,499,475,1.8543341,2023-07-01T00:00:00,30.399365853658544,Kamta,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.9086213334027,24.158707346175735]}"
