system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.10356913,0,0.19,0,0.14020604,336,0,310,0.3132879,0.53,10,0.17270738,2,0.38908187,0.303902,-1.117722364384718,0,227.5226,353,364,2024-04-06,LATEHAR,436,2024-06-30T00:00:00,7.01,2.7246625,217,212,431,424,1.3731884,2023-07-01T00:00:00,30.401243243243243,Sikni,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.62871086515293,23.708112399661385]}"
1_0,0,0.09637,0,0.12,0,0.12378571,202,0,345,0.25047427,0.6,6,0.14687571,3,0.30809858,0.26129428,2.7535707415497286,0,-0.0,355,357,2024-04-15,LATEHAR,675,2024-06-30T00:00:00,6.55,2.9999678,292,295,353,348,0.0,2023-07-01T00:00:00,30.221111111111114,Rud,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.85077440338726,23.536444348866144]}"
2_0,0,0.07259865,0,0.048,0,0.09386892,314,0,349,0.21667838,0.61,10,0.10873784,6,0.22450946,0.18096757,-1.8104508409118814,0,132.48524,389,413,2024-05-25,LATEHAR,425,2024-06-30T00:00:00,5.92,2.5626283,205,196,406,391,2.744392,2023-07-01T00:00:00,30.165692307692307,Samodh Tola,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.2347097815381,23.672269619825016]}"
3_0,0,0.05633581,0,0.27,0,0.078645274,280,0,354,0.28894663,0.62,9,0.08634865,3,0.27182093,0.18132229,-1.885384252831761,0,340.00525,354,374,2024-04-02,LATEHAR,522,2024-06-30T00:00:00,5.67,2.718746,252,244,394,382,2.9583154,2023-07-01T00:00:00,30.13694736842105,Dabri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.33954317519485,23.63939128042624]}"
4_0,0,0.10432381,0,0.06,0,0.13967618,157,0,164,0.31349865,0.24,5,0.18674558,0,0.40472585,0.33101836,-1.1323697715438878,0,180.0,349,362,2024-05-28,LATEHAR,516,2024-06-30T00:00:00,4.9,2.60443,255,250,395,388,2.7802885,2023-07-01T00:00:00,30.403888888888886,Latu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.72734588334924,23.942303194231343]}"
5_0,0,0.07418732,0,0.2,0,0.10187183,235,0,214,0.28839013,0.34,10,0.11756197,5,0.29735917,0.23500423,-1.95888469271967,0,286.95166,318,319,2024-05-10,LATEHAR,597,2024-06-30T00:00:00,6.13,2.686232,292,302,390,379,3.1778188,2023-07-01T00:00:00,30.37594736842105,Rahea,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.86883054059807,23.875738031678086]}"
6_0,0,0.09189014,0,0.22,0,0.1197338,280,0,368,0.28238732,0.65,11,0.14287324,6,0.31665775,0.2557845,-0.6861700544696054,0,121.36717,318,319,2024-05-10,LATEHAR,592,2024-06-30T00:00:00,5.99,2.686232,292,302,390,379,3.5591207,2023-07-01T00:00:00,30.37594736842105,Rahea,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.87071700269472,23.875738031678086]}"
7_0,0,0.08338945,0,0.117,0,0.105658226,280,0,339,0.28154683,0.59,13,0.11167975,8,0.24639536,0.17324051,-1.5029389175183525,0,270.0,340,354,2024-05-27,LATEHAR,1079,2024-06-30T00:00:00,5.47,2.660279,286,282,374,364,2.021547,2023-07-01T00:00:00,30.027052631578943,Netarhat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.2708220559597,23.47634705635855]}"
8_0,0,0.08306905,0,0.053,0,0.11657202,325,0,239,0.2580494,0.39,5,0.13919821,4,0.30159703,0.23149167,-1.1444750264123975,0,349.70737,330,339,2024-05-30,LATEHAR,638,2024-06-30T00:00:00,4.79,2.840797,234,230,437,431,5.6376963,2023-07-01T00:00:00,30.244000000000003,Parhatoli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.12448649617663,23.396576659128733]}"
9_0,0,0.07343433,0,0.19,0,0.10039851,213,0,175,0.2762955,0.26,12,0.11468955,2,0.3101358,0.2219194,-2.1473091909136004,0,164.72884,345,357,2024-05-08,LATEHAR,522,2024-06-30T00:00:00,5.78,2.8829253,266,259,390,384,3.839997,2023-07-01T00:00:00,30.317368421052635,Bhusar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.7548343310433,23.700836045860015]}"
