system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
1_0,0.21,0.081596665,0.71,0.12,7.21,0.095746666,25,5.38,136,0.33863333,0.73,11,0.075166665,18,0.19631334,0.10373667,0.029761730789490574,0.99,-0.0,276,279,2024-01-08,DAKSHINA KANNADA,99,2024-06-30T00:00:00,5.8,9.286538,473,474,251,248,2.7802885,2023-07-01T00:00:00,30.280600000000003,Konalu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.36106157347704,12.836431336661697]}"
2_0,0.47,0.04919074,1.08,0.11,4.3,0.06699444,22,1.32,166,0.3114,0.89,26,0.047446296,26,0.16193704,0.07831111,-2.274460679633411,0.99,45.70431,282,285,2024-06-04,DAKSHINA KANNADA,118,2024-06-30T00:00:00,5.28,9.060113,528,542,191,173,9.216351,2023-07-01T00:00:00,30.25543750000001,Bellare,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.36995489478983,12.653714007871788]}"
3_0,0.15,0.048520688,0.44,0.04,5.58,0.06768966,22,0.88,184,0.34954482,0.99,19,0.04561379,11,0.17955862,0.08173104,-3.572173853533887,0.21,236.96367,287,280,2024-05-21,DAKSHINA KANNADA,175,2024-06-30T00:00:00,5.55,8.938052,538,548,174,172,16.53775,2023-07-01T00:00:00,30.20275,Dolpady,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.41496049052422,12.718392708328393]}"
4_0,0.04,0.04835862,0.43,0.05,5.27,0.0646,31,1.63,166,0.33904138,0.89,14,0.044551723,8,0.15906551,0.07024483,-0.1128724700567841,0.28,347.16623,287,281,2024-05-21,DAKSHINA KANNADA,101,2024-06-30T00:00:00,5.2,8.938052,546,555,167,165,8.498416,2023-07-01T00:00:00,30.221333333333337,Dolpady,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.42142836056988,12.721357148765987]}"
5_0,0.33,0.04530893,0.64,0.05,2.85,0.061901785,18,1.84,155,0.35379642,0.83,9,0.042730357,17,0.1972,0.094467856,-2.0807452226382765,0.68,14.371047,284,283,2024-05-31,DAKSHINA KANNADA,138,2024-06-30T00:00:00,5.26,9.314956,520,529,196,188,7.6144595,2023-07-01T00:00:00,30.238437499999993,Bellare,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.36887691644888,12.64832411616707]}"
6_0,0.11,0.11709687,0.78,0.05,10.2,0.12195937,30,5.11,183,0.29976562,0.98,12,0.10684688,24,0.20531875,0.123759374,-3.5694006024097455,1.02,115.970505,353,363,2024-05-30,DAKSHINA KANNADA,117,2024-06-30T00:00:00,6.43,10.157024,472,471,174,165,16.474472,2023-07-01T00:00:00,30.283379310344827,Hosabettu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.99778287257911,13.045559134804723]}"
7_0,0.34,0.061410714,0.52,0.08,4.84,0.086025,9,4.5,169,0.3181,0.91,19,0.07694643,7,0.27014285,0.15521072,3.4069509979455384,0.63,325.62607,321,336,2024-06-15,DAKSHINA KANNADA,94,2024-06-30T00:00:00,5.8,9.659986,422,411,257,253,3.3672981,2023-07-01T00:00:00,30.267862068965513,Machina,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.21149207867116,12.943151192415097]}"
8_0,0.21,0.059168965,1.29,0.09,6.28,0.074193105,29,3.34,155,0.30503103,0.83,14,0.05190345,19,0.15111035,0.07004828,2.8366760406637264,0.39,198.87471,275,283,2024-01-18,DAKSHINA KANNADA,93,2024-06-30T00:00:00,5.42,9.286538,468,463,257,254,2.938016,2023-07-01T00:00:00,30.32658064516129,Nelyadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3944789020463,12.840743250025472]}"
9_0,0.44,0.11786394,0.98,0.06,8.35,0.13849017,34,5.28,171,0.2953459,0.92,12,0.15932623,16,0.2853246,0.19874918,-2.285712679164635,0.29,250.79475,291,292,2024-06-21,DAKSHINA KANNADA,158,2024-06-30T00:00:00,5.48,10.441057,486,495,223,214,13.823028,2023-07-01T00:00:00,30.205161290322582,Kanyana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.07620579688275,12.7477676181191]}"
10_0,0.29,0.06748276,0.53,0.09,6.74,0.09471379,13,2.35,164,0.2827793,0.88,25,0.11081035,20,0.31761724,0.18366897,-2.3697125806710777,0.4,111.29775,315,330,2024-06-15,DAKSHINA KANNADA,109,2024-06-30T00:00:00,5.85,9.659986,427,416,258,254,5.0936604,2023-07-01T00:00:00,30.267862068965513,Machina,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.21283955159733,12.942342708659389]}"
11_0,0.3,0.06627333,1.14,0.07,6.18,0.087799996,18,1.11,145,0.3088,0.78,18,0.09249667,28,0.26185334,0.15934667,-0.7183271409999071,0.78,256.30643,324,334,2024-06-15,DAKSHINA KANNADA,106,2024-06-30T00:00:00,5.22,9.659986,426,418,250,248,3.9118528,2023-07-01T00:00:00,30.300709677419356,Machina,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.2133785407678,12.9364138277842]}"
