system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.09,0.06675357,0.15,0.03,1.82,0.088114284,134,0.74,60,0.30136785,0.2,1,0.07271786,22.8,0.21008214,0.113885716,-2.5393902649109834,0.74,307.8916,325,329,2024-05-27,UDUPI,31,2024-06-30T00:00:00,4.82,9.977615,445,443,230,228,6.0183864,2023-07-01T00:00:00,30.358064516129026,Bellampalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.82800128388052,13.392937655173741]}"
1_0,0.14,0.097989656,0.18,0.06,0.22,0.12187586,130,0.78,27,0.36726552,0.09,1,0.11238276,5.69,0.25455862,0.15289655,-0.7431855944152135,0.16,72.033936,322,329,2024-05-27,UDUPI,30,2024-06-30T00:00:00,6.2,9.977615,430,432,248,239,3.0041497,2023-07-01T00:00:00,30.333419354838714,Bellampalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.82288088676104,13.395363106440865]}"
2_0,0.27,0.071033336,0.3,0.06,6.53,0.084926315,186,2.5,79,0.33869472,0.35,46,0.06338421,21.1,0.18946315,0.096154384,-2.168733235474058,0.2,207.19472,311,322,2024-05-30,UDUPI,71,2024-06-30T00:00:00,6.05,9.27945,459,466,230,212,4.1636915,2023-07-01T00:00:00,30.233,Shirlal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.04548341416586,13.315862203796286]}"
3_0,0.59,0.122873336,0.62,0.05,9.57,0.14006333,250,2.63,25,0.38221332,0.11,27,0.124076664,3.99,0.25804332,0.14690334,-2.4484561951070005,0.16,120.28223,313,317,2024-02-06,UDUPI,61,2024-06-30T00:00:00,5.41,9.634256,443,443,244,240,5.5009704,2023-07-01T00:00:00,30.296857142857142,Kanajaru,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.88028323341628,13.287834766931757]}"
4_0,0.04,0.090555176,0.38,0.05,6.25,0.106348276,265,4.24,115,0.30405518,0.51,27,0.09679655,14.2,0.2404138,0.14774482,-2.292153771239816,0.53,306.12653,333,339,2024-02-06,UDUPI,53,2024-06-30T00:00:00,6.01,9.634256,410,412,257,249,4.7088623,2023-07-01T00:00:00,30.31013333333334,Kanajaru,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.89025453307,13.287565272346521]}"
5_0,0.06,0.08596333,0.16,0.06,5.27,0.11164333,257,4.67,103,0.36275,0.46,38,0.094453335,20.5,0.24789333,0.13309667,-2.5649102350459714,0.36,166.65341,321,320,2024-01-20,UDUPI,38,2024-06-30T00:00:00,5.22,9.033766,423,444,256,235,12.204096,2023-07-01T00:00:00,30.33115151515152,Mudrady,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.97810976785689,13.421504081208742]}"
6_0,0.68,0.06495,0.65,0.09,8.95,0.08120588,128,4.64,160,0.29100293,0.71,95,0.070241176,29.6,0.21597059,0.12742941,2.726520931980647,0.65,152.75513,300,310,2024-03-11,UDUPI,86,2024-06-30T00:00:00,5.87,8.913347,473,471,227,219,2.085536,2023-07-01T00:00:00,30.497999999999998,Golihole,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.75496825128161,13.826554442818233]}"
7_0,0.35,0.06822069,0.68,0.1,25.9,0.09473793,233,4.19,96,0.38028622,0.43,40,0.083031036,5.7,0.31395862,0.17640689,2.208555749338286,0.74,302.98788,330,341,2024-04-02,UDUPI,23,2024-06-30T00:00:00,5.35,10.529764,425,429,246,230,3.402994,2023-07-01T00:00:00,30.277032258064523,Yellur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.80859767374355,13.179497943666943]}"
8_0,0.08,0.07582459,0.07,0.04,4.18,0.09145246,88,2.28,83,0.2942377,0.37,10,0.083332784,12,0.2349918,0.14935246,-1.8412062823258595,0.33,140.54674,331,328,2024-05-18,UDUPI,29,2024-06-30T00:00:00,5.19,8.757227,425,432,244,241,5.9840984,2023-07-01T00:00:00,30.373225806451615,Yedyadi-Mathyadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.80051283618647,13.568109135577048]}"
9_0,0.06,0.088340625,0.26,0.05,6.48,0.1067625,95,0.78,150,0.268875,0.67,29,0.098359376,13.7,0.23286875,0.15008438,0.8071865592160212,0.47,314.2247,340,354,2024-05-30,UDUPI,50,2024-06-30T00:00:00,5.21,9.212999,463,464,197,182,5.3039384,2023-07-01T00:00:00,30.289937499999997,Hirgana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.99832186174959,13.270587113476662]}"
