system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.7,0.08983953,0.52,0.34,3.26,0.12213023,310,8.65,266,0.33239302,0.69,24,0.1544186,11.3,0.36499304,0.26437208,-0.6808486131898385,0.66,-0.0,353,378,2023-12-25,YADGIR,378,2024-06-30T00:00:00,6.68,2.021963,347,328,300,294,2.7802885,2023-07-01T00:00:00,30.841846153846156,Mustur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.18041951840432,16.702870151040532]}"
1_0,0.36,0.09897907,0.84,0.22,6.24,0.13383721,311,8.69,270,0.29073954,0.7,32,0.1774,14.4,0.40639535,0.3439721,-1.8710779871886978,1.41,287.70694,346,369,2023-12-25,YADGIR,377,2024-06-30T00:00:00,6.64,1.9506581,336,314,318,317,3.0465934,2023-07-01T00:00:00,30.680142857142858,Mustur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17934154006338,16.699905710602938]}"
2_0,0.6,0.08332619,0.52,0.15,8.69,0.12045,380,8.69,255,0.29230237,0.66,31,0.16514286,10.3,0.38315475,0.30269048,-1.300425373912542,0.62,302.55966,342,374,2023-12-26,YADGIR,380,2024-06-30T00:00:00,7.5,2.021963,358,340,300,286,3.4426346,2023-07-01T00:00:00,30.90558974358976,Mustur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.18257547508621,16.703948129381473]}"
3_0,0.41,0.08022619,0.62,0.34,1.41,0.11460238,251,6.9,270,0.29028094,0.7,26,0.1384143,10.5,0.3337619,0.26490477,-0.8949817626087667,0.66,122.5594,333,360,2023-12-25,YADGIR,375,2024-06-30T00:00:00,6.8,2.021963,359,343,308,297,3.4426596,2023-07-01T00:00:00,30.90558974358976,Mustur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.18796536679092,16.705834591478126]}"
4_0,0.41,0.10971667,0.84,0.24,1.38,0.13309762,241,10.3,286,0.26980478,0.74,31,0.15200238,20.3,0.28193334,0.22439048,-0.6808264437613767,1.28,180.0,362,368,2023-12-26,YADGIR,375,2024-06-30T00:00:00,6.84,1.9506581,314,301,324,331,0.92740995,2023-07-01T00:00:00,30.680142857142858,Mustur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17152619709154,16.697210764750576]}"
5_0,0.7,0.08463256,0.69,0.19,2.2,0.11522791,181,8.64,209,0.30139768,0.54,29,0.13533255,10.7,0.32391164,0.2476279,-1.4944849303516377,0.72,152.43452,351,372,2023-12-25,YADGIR,383,2024-06-30T00:00:00,6.97,2.021963,342,322,307,307,2.0915897,2023-07-01T00:00:00,30.90558974358976,Mustur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.18203648591573,16.70098368894388]}"
6_0,0.25,0.10351191,0.5,0.35,6.35,0.13629524,210,9.3,290,0.29159525,0.75,29,0.17560714,13.1,0.3704881,0.29297858,-1.4944575212966125,1,27.564966,364,372,2023-12-25,YADGIR,377,2024-06-30T00:00:00,7.9,1.9506581,321,307,316,321,2.09158,2023-07-01T00:00:00,30.680142857142858,Mustur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17260417543248,16.696941270165343]}"
7_0,0.29,0.08178333,0.69,0.28,2.1,0.12224524,210,8.69,286,0.2963238,0.74,29,0.16403571,14.3,0.35519287,0.2779143,-0.7239075988239325,1.28,90.0,362,370,2023-12-25,YADGIR,374,2024-06-30T00:00:00,6.39,1.9506581,313,301,325,329,0.96822935,2023-07-01T00:00:00,30.680142857142858,Mustur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17395164835865,16.697749753921048]}"
8_0,0.36,0.09637857,0.68,0.18,8.69,0.12742142,380,8.69,270,0.28489763,0.7,29,0.16295476,10.1,0.3655024,0.28919047,-1.5202922626678848,0.84,115.590675,364,372,2023-12-25,YADGIR,378,2024-06-30T00:00:00,6.98,1.9506581,321,307,316,321,2.1462688,2023-07-01T00:00:00,30.680142857142858,Mustur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17260417543248,16.696671775580107]}"
9_0,0.54,0.08359512,0.84,0.29,8.4,0.10947561,211,4.54,266,0.22102195,0.69,31,0.14899024,13.6,0.24431707,0.18634878,-1.4959095460994827,0.84,332.40656,293,368,2023-10-31,YADGIR,598,2024-06-30T00:00:00,6.54,2.2482624,461,388,247,245,2.0921226,2023-07-01T00:00:00,30.893294117647066,Devarahalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30088359800475,16.92655065678629]}"
10_0,0.5,0.04942439,0.95,0.37,5.41,0.07367073,230,5.3,286,0.23585121,0.74,32,0.09886098,20.3,0.23736097,0.17472439,-1.419380048020251,0.65,270.0,305,361,2023-10-31,YADGIR,603,2024-06-30T00:00:00,6.5,2.2482624,447,385,248,254,1.9381768,2023-07-01T00:00:00,30.899111111111115,Devarahalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30708197346517,16.920352281325865]}"
11_0,0.7,0.05878372,0.94,0.12,5.34,0.07850465,240,6.35,266,0.17033954,0.69,29,0.09930465,14.6,0.17236976,0.13813488,0.806763947293524,1.01,332.40808,303,340,2023-11-02,YADGIR,619,2024-06-30T00:00:00,6.53,2.2482624,434,390,263,270,2.0920935,2023-07-01T00:00:00,30.929157894736843,Devarahalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.31166338141418,16.914423400450676]}"
12_0,0.7,0.06580465,0.94,0.21,3.65,0.088672094,310,5.1,290,0.18172558,0.75,32,0.11737442,16.7,0.21920697,0.17064185,-0.8798387954642723,1.08,325.13074,307,334,2023-11-02,YADGIR,612,2024-06-30T00:00:00,7.19,2.2482624,441,403,252,263,3.3874104,2023-07-01T00:00:00,30.92924324324323,Devarahalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.3065429842947,16.91496238962115]}"
13_0,0.74,0.05735,0.83,0.18,7.5,0.07605953,341,5.5,266,0.14633095,0.69,35,0.09641667,11.3,0.16807619,0.13548096,-0.6819400965497785,0.69,-0.0,296,331,2023-11-04,YADGIR,609,2024-06-30T00:00:00,7.68,2.2482624,442,399,262,270,0.92740995,2023-07-01T00:00:00,30.92924324324323,Devarahalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30196157634569,16.912536938354027]}"
14_0,0.7,0.08255349,0.69,0.39,6.3,0.10399535,290,5.4,290,0.23261628,0.75,34,0.14208372,15.2,0.26842093,0.20572326,-0.7635122932666513,0.54,46.26797,291,355,2023-10-31,YADGIR,608,2024-06-30T00:00:00,7.18,2.2482624,462,394,247,251,4.0184627,2023-07-01T00:00:00,30.899111111111115,Devarahalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.31004641390277,16.924125205519168]}"
15_0,0.69,0.05655814,0.7,0.32,5.3,0.081797674,221,8.4,286,0.20371163,0.74,25,0.09675116,14.3,0.19578372,0.14505814,-1.0511203190684733,0.65,313.73355,306,343,2023-10-31,YADGIR,622,2024-06-30T00:00:00,6.78,2.2482624,433,392,261,265,1.341406,2023-07-01T00:00:00,30.929157894736843,Devarahalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.31328034892559,16.91415390586544]}"
16_0,0.39,0.044012196,0.54,0.24,12.3,0.06815122,380,4.91,193,0.24716097,0.5,29,0.075207315,18.6,0.19706342,0.12585853,-0.763525492841261,0.69,226.26797,293,368,2023-11-04,YADGIR,591,2024-06-30T00:00:00,7.19,2.2482624,461,388,247,245,4.0184627,2023-07-01T00:00:00,30.860108108108115,Devarahalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30169208176045,16.924125205519168]}"
17_0,0.6,0.061019514,0.6,0.39,9.6,0.07635122,270,5.4,286,0.1442561,0.74,32,0.09308293,18.3,0.15782683,0.12623414,2.795392265443397,0.74,-0.0,294,363,2023-10-31,YADGIR,609,2024-06-30T00:00:00,6.52,2.2482624,459,391,247,246,0.0,2023-07-01T00:00:00,30.893294117647066,Devarahalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30546500595375,16.92601166761582]}"
18_0,0.54,0.060167443,0.83,0.3,5.4,0.08290698,341,5.3,263,0.2291,0.68,30,0.09814186,18.1,0.23994419,0.16089767,-0.2844577493052278,0.65,90.0,304,354,2023-10-31,YADGIR,590,2024-06-30T00:00:00,7.2,2.2482624,452,394,244,252,8.658841,2023-07-01T00:00:00,30.944941176470593,Devarahalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.31058540307323,16.92547267844535]}"
19_0,0.54,0.09689535,0.84,0.3,7.5,0.12023256,291,5.4,309,0.26533023,0.8,31,0.14863256,15.7,0.2787628,0.20352791,0.7406157667213772,0.65,313.733,300,358,2023-11-04,YADGIR,573,2024-06-30T00:00:00,7.32,2.190958,460,393,241,249,1.3414193,2023-07-01T00:00:00,30.84475675675676,Devarahalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.28956482542483,16.917657335473507]}"
