system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.08477975,1,0.42,24.5,0.108177215,235,36.1,315,0.14880633,0.9,18,0.108468354,0,0.14777341,0.11252405,-1.5307594733433005,1.42,151.71881,443,446,2024-04-03,BALAGHAT,280,2024-06-30T00:00:00,6.84,4.2387547,187,191,371,363,2.1054707,2023-07-01T00:00:00,30.4465294117647,Thanegaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.17935526290893,21.669116367766893]}"
1_0,0,0.060554165,1.68,0.19,21.8,0.08255,369,30.2,240,0.28029585,0.6,9,0.07600417,0,0.22546667,0.14542083,-0.8368858826565442,1.26,208.26677,419,431,2024-06-05,BALAGHAT,284,2024-06-30T00:00:00,7,4.180912,161,159,420,410,2.105186,2023-07-01T00:00:00,30.362054054054052,Lawani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.08988306061062,21.582069616735712]}"
2_0,0,0.06684737,1.21,0.24,19.6,0.094107896,212,27.1,240,0.26598683,0.6,27,0.09181842,0,0.23096053,0.15350789,0.6764651939267556,1.12,180.0,409,434,2024-06-03,BALAGHAT,278,2024-06-30T00:00:00,6.98,4.211084,189,181,403,385,0.92740995,2023-07-01T00:00:00,30.309891891891883,Katori,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.90662674265025,21.5699423604001]}"
3_0,0,0.06242,2.06,0.21,15.8,0.086405,258,19.1,240,0.23716,0.6,27,0.0975525,0,0.2699625,0.18601,-1.8893177315755019,1.84,90.0,451,463,2024-05-18,BALAGHAT,519,2024-06-30T00:00:00,6.22,4.436115,154,151,396,387,3.0017762,2023-07-01T00:00:00,30.375729729729738,Jhangul Basti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.48900454134493,22.166064382941812]}"
4_0,0,0.08287692,0.6,0.41,28.1,0.10307436,242,32.5,240,0.23803847,0.6,9,0.10907949,0,0.20265898,0.14339744,-1.5325291806051595,1.38,331.68375,392,407,2024-05-18,BALAGHAT,304,2024-06-30T00:00:00,6.45,4.3399777,190,184,418,409,2.106164,2023-07-01T00:00:00,30.322410256410265,Mohgaon (Dhapera),"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.17827728456798,21.87932214425086]}"
5_0,0,0.08158158,1.06,0.2,21.8,0.104371056,257,26.4,245,0.2648763,0.6,27,0.10487105,0,0.24096316,0.16322894,2.0745071624899203,0.85,-0.0,418,440,2024-06-01,BALAGHAT,281,2024-06-30T00:00:00,6.65,4.0787907,175,170,407,390,0.0,2023-07-01T00:00:00,30.318210526315784,Katori,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.89908089426363,21.559162576990666]}"
6_0,0,0.10027317,1.22,0.3,27.2,0.12842683,280,31.8,240,0.27227318,0.6,9,0.15352438,0,0.35250244,0.27006584,-1.789595868648834,1.36,227.12395,404,427,2024-06-08,BALAGHAT,345,2024-06-30T00:00:00,7.01,4.13725,154,146,443,427,2.7241976,2023-07-01T00:00:00,30.36486486486486,Bamhani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.86135165233061,21.801168714532462]}"
7_0,0,0.062962964,0.81,0.11,27.5,0.09003951,145,13.5,315,0.2476716,0.9,27,0.095269136,0,0.24520987,0.1745321,-0.7881158664540607,0.96,270.0,454,465,2024-06-09,BALAGHAT,336,2024-06-30T00:00:00,6.98,4.1489735,149,145,397,389,1.0000985,2023-07-01T00:00:00,30.316499999999998,Sihora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.03221121937015,21.98146059205525]}"
8_0,0,0.14174359,1.08,0.15,22.6,0.1685077,415,31.5,315,0.25517693,0.9,27,0.18978974,0,0.2989077,0.2667718,-1.0966715065552497,1.82,47.12811,412,432,2024-05-20,BALAGHAT,303,2024-06-30T00:00:00,6.7,4.371578,183,178,405,390,1.3629756,2023-07-01T00:00:00,30.479411764705873,Dadiya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.20253179723922,21.821919797595623]}"
9_0,0,0.06661795,0.85,0.34,18.5,0.092697434,347,24.1,240,0.2532769,0.6,9,0.080741026,0,0.21440513,0.15948205,-2.1981941710785464,1.36,132.81723,437,447,2024-06-06,BALAGHAT,556,2024-06-30T00:00:00,6.88,4.2982545,152,152,411,400,4.0869617,2023-07-01T00:00:00,30.29557894736842,Katangi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.5534137472163,22.093839834098603]}"
