system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
23_0,0.83,0.102519274,0.52,0.35,4.8,0.12765181,108,4.1,247,0.20596385,0.65,10,0.1517241,16,0.24522048,0.21277831,-1.1292615788253257,0.81,227.73785,306,310,2024-03-18,GUNA,477,2024-06-30T00:00:00,7.3,2.6198757,357,360,338,330,1.378854,2023-07-01T00:00:00,30.663999999999998,Patan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.32190417565315,24.670477563538626]}"
37_0,0.61,0.1173759,0.47,0.41,5.3,0.14090723,129,4,211,0.22398916,0.53,24,0.16398072,13,0.2433,0.20608915,1.4647066436618479,0.66,180.0,308,305,2024-03-26,GUNA,473,2024-06-30T00:00:00,7.8,2.6198757,370,374,321,320,0.92740995,2023-07-01T00:00:00,30.634702702702707,Dongarpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.33430092657399,24.666165650174854]}"
38_0,0.41,0.1173759,0.51,0.32,5.3,0.14090723,105,2.6,260,0.22398916,0.67,16,0.16398072,19,0.2433,0.20608915,1.4647066436618479,0.52,180.0,308,305,2024-03-26,GUNA,473,2024-06-30T00:00:00,7.2,2.6198757,370,374,321,320,0.92740995,2023-07-01T00:00:00,30.634702702702707,Dongarpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.33430092657399,24.666165650174854]}"
39_0,0.51,0.1173759,0.41,0.22,5.5,0.14090723,117,4.7,192,0.22398916,0.43,26,0.16398072,15,0.2433,0.20608915,1.4647066436618479,0.51,180.0,308,305,2024-03-26,GUNA,473,2024-06-30T00:00:00,7.8,2.6198757,370,374,321,320,0.92740995,2023-07-01T00:00:00,30.634702702702707,Dongarpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.33430092657399,24.666165650174854]}"
40_0,0.75,0.13301586,0.42,0.29,6.1,0.15718171,144,4.7,219,0.27014756,0.52,22,0.18084268,14,0.2621951,0.2256,-0.13504761751610053,0.6,270.0,308,305,2024-03-26,GUNA,475,2024-06-30T00:00:00,7.5,2.6198757,370,374,321,320,1.0205113,2023-07-01T00:00:00,30.634702702702707,Dongarpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.33483991574447,24.66643514476009]}"
41_0,0.63,0.1173759,0.36,0.41,7.5,0.14090723,171,2.6,216,0.22398916,0.53,13,0.16398072,12,0.2433,0.20608915,1.4647066436618479,0.73,180.0,308,305,2024-03-26,GUNA,473,2024-06-30T00:00:00,7.4,2.6198757,370,374,321,320,0.92740995,2023-07-01T00:00:00,30.634702702702707,Dongarpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.33430092657399,24.666165650174854]}"
42_0,0.6,0.1173759,0.22,0.31,7.3,0.14090723,119,3.4,216,0.22398916,0.53,13,0.16398072,16,0.2433,0.20608915,1.4647066436618479,0.73,180.0,308,305,2024-03-26,GUNA,473,2024-06-30T00:00:00,7.2,2.6198757,370,374,321,320,0.92740995,2023-07-01T00:00:00,30.634702702702707,Dongarpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.33430092657399,24.666165650174854]}"
43_0,0.58,0.1173759,0.44,0.53,8,0.14090723,149,5.8,268,0.22398916,0.73,21,0.16398072,17,0.2433,0.20608915,1.4647066436618479,0.59,180.0,308,305,2024-03-26,GUNA,473,2024-06-30T00:00:00,7.2,2.6198757,370,374,321,320,0.92740995,2023-07-01T00:00:00,30.634702702702707,Dongarpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.33430092657399,24.666165650174854]}"
44_0,0.5,0.1173759,0.41,0.4,5.9,0.14090723,124,3.9,267,0.22398916,0.72,13,0.16398072,15,0.2433,0.20608915,1.4647066436618479,0.73,180.0,308,305,2024-03-26,GUNA,473,2024-06-30T00:00:00,7.6,2.6198757,370,374,321,320,0.92740995,2023-07-01T00:00:00,30.634702702702707,Dongarpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.33430092657399,24.666165650174854]}"
45_0,0.59,0.1173759,0.4,0.15,5.9,0.14090723,105,5.8,282,0.22398916,0.83,33,0.16398072,13,0.2433,0.20608915,1.4647066436618479,0.48,180.0,308,305,2024-03-26,GUNA,473,2024-06-30T00:00:00,7.6,2.6198757,370,374,321,320,0.92740995,2023-07-01T00:00:00,30.634702702702707,Dongarpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.33430092657399,24.666165650174854]}"
