system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.42,0.1443,0.248,0.6,4.29,0.1707,201,7.248,263,0.25184768,0.7,29,0.1987686,12.95,0.3042593,0.27127442,-1.5706529528228552,0.546,209.07407,294,302,2024-01-24,GWALIOR,205,2024-06-30T00:00:00,7.7,1.8521742,427,420,279,277,2.1214538,2023-07-01T00:00:00,30.430540540540537,Dhahi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.35918883422595,25.936293630391443]}"
1_0,0.63,0.0718384,0.402,0.7,6.234,0.1076016,183,6.218,263,0.267684,0.7,28,0.1437648,14.15,0.31686,0.2562928,-0.9445852983527594,0.79,294.16876,252,263,2024-01-11,GWALIOR,219,2024-06-30T00:00:00,7.6,2.1616144,483,476,265,261,2.264166,2023-07-01T00:00:00,30.499897435897438,Bandha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.30636789551973,26.16536402784192]}"
2_0,0.75,0.077041306,0.258,0.5,6.23,0.11105,201,6.588,244,0.29095653,0.65,29,0.119308695,11.74,0.29152608,0.2193326,0.17343072632085704,0.712,-0.0,308,304,2024-01-24,GWALIOR,323,2024-06-30T00:00:00,7.3,1.9069352,423,422,269,274,1.8543341,2023-07-01T00:00:00,30.47385,Dorar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.79540616191254,25.94060554375522]}"
3_0,0.75,0.0952506,0.288,0.6,6.17,0.13464579,201,6.698,225,0.29052168,0.6,27,0.16288313,13.25,0.32845664,0.28119758,8.847430938412034,0.788,-0.0,255,272,2024-01-15,GWALIOR,192,2024-06-30T00:00:00,7.6,2.1308768,504,502,241,227,0.0,2023-07-01T00:00:00,30.505837837837827,Gajipura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.10020453781429,26.311430093039757]}"
4_0,0.5,0.08415715,0.26,0.2,6.47,0.11595357,200,4.752,263,0.3170262,0.7,29,0.11497976,12.95,0.28870714,0.20354643,-1.5739724026310657,0.614,29.140396,262,270,2024-01-18,GWALIOR,205,2024-06-30T00:00:00,7.7,2.0334713,528,525,209,205,2.1228201,2023-07-01T00:00:00,30.45942105263158,Kuleth,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.07675850889878,26.255105724725464]}"
5_0,0.5,0.08059405,0.322,0.4,7.866,0.11872857,210,7.182,244,0.33544523,0.65,27,0.13768333,13.25,0.29374048,0.21882142,-1.5477386175856522,0.642,270.0,252,270,2024-01-16,GWALIOR,201,2024-06-30T00:00:00,7.7,2.0334713,463,449,285,281,2.0676863,2023-07-01T00:00:00,30.436052631578953,Sigora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.096431613621,26.267232981061078]}"
6_0,0.8,0.09046739,0.3,0.7,8.378,0.118706524,190,7.72,244,0.27266955,0.65,28,0.13144782,13.55,0.2790152,0.21496956,2.0403406834903373,0.57,-0.0,290,309,2024-02-07,GWALIOR,312,2024-06-30T00:00:00,7.5,1.9891151,481,467,228,224,0.0,2023-07-01T00:00:00,30.666210526315783,Dhuwan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.88838179381891,26.06726799881607]}"
7_0,0.45,0.10022442,0.324,0.6,7.344,0.12846512,210,7.39,244,0.28431976,0.65,29,0.14886512,12.35,0.29550233,0.22770348,0.4637990881581,0.712,48.04244,275,295,2024-01-30,GWALIOR,195,2024-06-30T00:00:00,7.6,1.8512337,404,394,321,311,2.7723444,2023-07-01T00:00:00,30.481333333333332,Patariya Pura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.40850634332412,25.96459056184121]}"
8_0,0.53,0.0572325,0.328,0.8,5.31,0.0954075,166,6.382,220,0.367765,0.55,29,0.0797125,13.55,0.246335,0.1494925,-2.379084411420921,0.628,167.4298,250,277,2024-02-01,GWALIOR,202,2024-06-30T00:00:00,7.3,2.119754,538,519,212,204,4.7404976,2023-07-01T00:00:00,30.45265,Simiriya Tanka,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.21581771488047,26.241361500878433]}"
9_0,0.54,0.059940476,0.378,0.6,6.55,0.09159524,166,6.596,263,0.27720714,0.7,28,0.09812381,14.74,0.2478238,0.1798357,-1.6394637203451023,0.632,114.14844,252,272,2024-01-09,GWALIOR,175,2024-06-30T00:00:00,7.8,2.1467438,436,423,312,305,2.2659562,2023-07-01T00:00:00,30.620777777777782,Sunarpura Mafi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.40230796786369,26.275856807788625]}"
