system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
1_0,0.3,0.06875111,0.37,0.32,5.989999999999999,0.09248889,256.5,1.35,338.2,0.23233111,0.49,7.7,0.104373336,11,0.19083555,0.14125556,-0.8242029133603056,1.3,90.0,317,324,2024-05-01,NEEMUCH,453,2024-06-30T00:00:00,6.83,2.5517318,277,280,406,396,1.0184604,2023-07-01T00:00:00,30.772972972972983,Dhakani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.12902673558898,24.413918718394093]}"
3_0,0.4,0.07618554,0.29,1.13,7.13,0.09827952,357.5,4.25,217.2,0.2853783,0.07,2.4,0.1022494,5,0.21564217,0.15685663,-0.038007772905708885,0.9,-0.0,343,344,2024-03-05,NEEMUCH,462,2024-06-30T00:00:00,7.52,2.484122,287,292,370,364,0.92740995,2023-07-01T00:00:00,30.725500000000004,Bardiyajagir,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.04629189792156,24.49341962103867]}"
4_0,0.87,0.07065682,0.28,0.46,8.55,0.100125,167.5,3.15,175.89999999999998,0.26931137,0.5,2.2,0.11797727,8,0.24504773,0.18997045,1.816296755910288,0.67,90.0,361,360,2024-05-01,NEEMUCH,401,2024-06-30T00:00:00,5.78,2.7173772,273,278,366,362,1.0177228,2023-07-01T00:00:00,30.308157894736848,Dangadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.25649767440554,24.3222905594139]}"
5_0,0.35,0.0940087,0.7,0.43,7.260000000000001,0.109163046,113.5,1.63,179,0.22037391,0.42,5.8,0.12226522,7,0.19898261,0.15776521,1.5122867360997678,0.62,132.3091,331,333,2024-05-01,NEEMUCH,437,2024-06-30T00:00:00,7.180000000000001,2.5367599,278,285,391,382,1.3776124,2023-07-01T00:00:00,30.823513513513515,Dangadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.18319514722138,24.46404471124796]}"
6_0,0.7,0.113136955,0.74,0.82,3.16,0.13631088,349.5,3.1,377.6,0.28395218,0.65,9.8,0.14091304,8,0.2470413,0.20228696,-1.5176797911138558,0.9,90.0,309,319,2024-05-01,NEEMUCH,458,2024-06-30T00:00:00,7.26,2.5517318,282,283,409,398,2.0366182,2023-07-01T00:00:00,30.786944444444448,Chukni,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.12201987637285,24.43493929604249]}"
7_0,0.2,0.07384111,0.95,0.54,9.66,0.09740222,197.2,1.5,118.7,0.2825,0.6,6.2,0.09591,9,0.21022223,0.1429589,-1.4231384435958867,0.22,180.0,346,353,2024-05-01,NEEMUCH,406,2024-06-30T00:00:00,7.78,2.7173772,265,264,388,383,1.8543341,2023-07-01T00:00:00,30.548702702702702,Kundla,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.29314893799761,24.344119620818006]}"
8_0,0.22,0.08050111,0.84,0.25,13.8,0.10480111,119.5,2.85,256.1,0.18539667,0.98,3.9,0.10860111,9,0.17444111,0.13186444,-1.9214456602415417,0.4,90.0,360,349,2024-05-01,NEEMUCH,400,2024-06-30T00:00:00,8.13,2.7173772,259,271,381,381,3.050717,2023-07-01T00:00:00,30.31500000000001,Khankhedi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.28883702463384,24.32687196736291]}"
9_0,0.25,0.089054875,1.22,1.01,7.78,0.113471955,396.3,2.85,350.6,0.27515244,0.63,5.1,0.12403659,4,0.24623293,0.18797562,3.1516777873788806,1.15,-0.0,332,335,2024-05-31,NEEMUCH,464,2024-06-30T00:00:00,6.76,2.484122,297,302,370,364,0.0,2023-07-01T00:00:00,30.725500000000004,Bardiyajagir,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.04844785460345,24.497462039817208]}"
10_0,0.68,0.07733104,1.77,0.64,4.2,0.096026435,476,14.94,311.5,0.19875057,0.89,6,0.10962184,8.9,0.2003954,0.16095172,-0.8257995910165244,0.64,270.0,329,327,2024-01-01,NEEMUCH,480,2024-06-30T00:00:00,7.59,2.624198,286,292,386,381,1.0192806,2023-07-01T00:00:00,30.734540540540543,Piplyaraoji,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.0705464105928,24.515248682442774]}"
11_0,0.92,0.07507711,0.87,0.42,6.42,0.09876988,564,12.94,317,0.21200964,0.92,12,0.11238072,10.8,0.2129012,0.16658072,1.4765255813738922,0.72,270.0,341,341,2024-01-01,NEEMUCH,484,2024-06-30T00:00:00,7.64,2.624198,280,285,379,374,1.0194091,2023-07-01T00:00:00,30.74927777777778,Piplyaraoji,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.05275976796723,24.53114886297169]}"
12_0,0.32,0.08017907,0.69,0.39,5.11,0.10515116,260.3,3.5,126.2,0.24769536,0.75,8.3,0.116597675,4,0.28817907,0.2253907,1.05937323413688,0.33,180.0,356,361,2024-05-01,NEEMUCH,468,2024-06-30T00:00:00,7.46,2.3452187,331,337,313,302,0.92740995,2023-07-01T00:00:00,30.556157894736838,Kanjarda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.20232926277313,24.651612942572118]}"
13_0,0.41,0.06579625,2.79,0.35,8.15,0.09008375,315,22.35,260.2,0.26304626,0.69,10.25,0.08965625,7.35,0.23345125,0.1731825,-0.4213651355341261,0.56,270.0,339,347,2024-01-30,NEEMUCH,465,2024-06-30T00:00:00,7.88,2.5238836,289,286,373,367,2.0389807,2023-07-01T00:00:00,30.615675675675675,Sarwaniya Masani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.86707799873973,24.580735866655086]}"
