system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,1.7,0.05987949,0.6,0.59,5.9,0.08294615,378,4.14,231,0.22053333,0.615,12,0.09460256,15,0.17301795,0.12428974,-1.8851749683689423,0.5,340.00876,399,412,2024-01-04,RATLAM,456,2024-06-30T00:00:00,7.5,2.9260297,242,240,359,348,2.9582496,2023-07-01T00:00:00,30.53277777777778,Narani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.35863612220993,23.614328283999306]}"
1_0,1.7,0.070304446,0.7,0.85,5.5,0.10156889,316,2.5,170,0.22677778,0.39,20,0.115264446,16,0.21035111,0.15657778,-1.95710127500263,0.8,286.96667,418,429,2024-01-04,RATLAM,451,2024-06-30T00:00:00,7.9,2.9727874,258,256,324,315,6.3308067,2023-07-01T00:00:00,30.697555555555553,Narani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.53973648348843,23.753926479151477]}"
2_0,0.7,0.070304446,0.5,0.78,5.7,0.10156889,265,4.4,128,0.22677778,0.27,16,0.115264446,13,0.21035111,0.15657778,-1.95710127500263,0.6,286.96667,418,429,2024-01-05,RATLAM,451,2024-06-30T00:00:00,8.1,2.9727874,258,256,324,315,6.3308067,2023-07-01T00:00:00,30.697555555555553,Rajla,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.53973648348843,23.753926479151477]}"
3_0,1.1,0.08112222,0.3,0.52,6.5,0.10588445,269,4.5,218,0.24523555,0.57,20,0.11258222,11,0.22573112,0.17124666,-2.5335735375796635,0.5,169.6796,409,415,2024-01-05,RATLAM,445,2024-06-30T00:00:00,8,2.9727874,265,267,326,318,5.63819,2023-07-01T00:00:00,30.697555555555553,Pipalya Maru,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.53704153763607,23.757968897930017]}"
4_0,0.7,0.057767443,0.8,0.29,6,0.0834907,388,4.89,181,0.22301163,0.405,10,0.10168837,14,0.2190907,0.16280232,-3.0304808660992655,0.9,353.7866,405,402,2024-06-05,RATLAM,377,2024-06-30T00:00:00,7.4,3.474043,243,247,352,351,9.248544,2023-07-01T00:00:00,30.709999999999997,Bayadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.87866626590487,23.290395792545805]}"
5_0,0.6,0.061523255,0.8,0.23,7.4,0.0845,356,3.6,263,0.20621163,0.705,22,0.09752558,13,0.17650466,0.13015117,-0.725697416073639,0.8,180.0,408,423,2024-02-19,RATLAM,480,2024-06-30T00:00:00,8.3,3.2727385,236,234,356,344,0.92740995,2023-07-01T00:00:00,30.63711111111111,Barkhedi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.11097059837817,23.784109872697893]}"
6_0,1.8,0.050615,0.8,0.76,5.5,0.069155,360,4.7,259,0.22238751,0.69,15,0.0684825,10,0.1697675,0.1167575,-1.59658627982355,0.9,294.6583,323,327,2024-01-09,RATLAM,306,2024-06-30T00:00:00,7.9,3.2641444,296,300,381,372,2.221989,2023-07-01T00:00:00,30.71545945945946,Piplipada,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.67304189736991,23.34537268793392]}"
8_0,0.6,0.15517907,0.9,0.27,5,0.1737721,309,4.2,203,0.27371162,0.51,15,0.19038372,16,0.27848372,0.24917907,-1.5436639887591936,1,331.46292,493,509,2024-01-10,RATLAM,473,2024-06-30T00:00:00,7.4,3.233137,162,161,345,330,2.1105587,2023-07-01T00:00:00,30.61822857142857,Sarwad,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.15382023743068,23.151875575734575]}"
9_0,1.1,0.0552641,0.9,0.52,5.8,0.07943846,291,4.1,231,0.2701077,0.615,15,0.086197436,10,0.19810769,0.13393846,-2.1088778810692657,1.1,-0.0,305,310,2024-01-09,RATLAM,317,2024-06-30T00:00:00,7.9,3.3079836,329,326,367,363,3.7047918,2023-07-01T00:00:00,30.724378378378375,Mandaliya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.61456157237373,23.36801023309373]}"
10_0,0.9,0.05664359,0.4,0.34,5.5,0.07952308,372,4,266,0.24908975,0.72,15,0.08791282,16,0.21725385,0.15101539,1.8972698203436826,1.2,146.83984,312,314,2024-03-14,RATLAM,307,2024-06-30T00:00:00,8.1,3.3287408,299,304,389,382,5.5224433,2023-07-01T00:00:00,30.624756756756756,Dungra Muniya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.71912547144524,23.322735142774107]}"
11_0,0.8,0.07786,1.1,0.53,4.9,0.1088825,392,2.4,236,0.2578225,0.63,18,0.133315,11,0.2613525,0.1953275,-2.5496403655708315,1.2,298.85138,433,434,2024-02-07,RATLAM,398,2024-06-30T00:00:00,7.6,3.222602,228,234,339,332,5.7469645,2023-07-01T00:00:00,30.876800000000003,Parnala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.80482474955024,23.33486239910972]}"
13_0,1,0.064935714,0.5,0.32,5.2,0.08613809,376,3.7,181,0.21290952,0.405,20,0.10016667,11,0.17942381,0.13578095,0.29082319977785015,0.8,90.0,468,469,2024-02-15,RATLAM,473,2024-06-30T00:00:00,8.1,3.356478,180,183,351,348,1.0100702,2023-07-01T00:00:00,30.760486486486485,Junwaniya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.99643539965294,23.3429472366668]}"
