system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.081584334,0.7,0.24,10,0.09448795,282.24,8.6,441.25,0.15878072,0.93,13.5,0.10082169,12.23,0.15843253,0.121673495,-1.8113216696191685,0.34,312.4689,393,404,2024-06-19,SAGAR,503,2024-06-30T00:00:00,7.4,2.28934,218,214,389,382,2.745246,2023-07-01T00:00:00,30.491333333333337,Chitoura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.80762782405841,23.746919619935348]}"
1_0,0,0.07785384,0.68,0.24,12.6,0.103053845,49.28,7.8,413.75,0.2483936,0.87,7.2,0.11853718,23.1,0.23793334,0.17280385,-1.5335491363710396,0.54,282.88278,374,387,2024-06-19,SAGAR,501,2024-06-30T00:00:00,7.4,2.3909495,203,201,423,412,4.152662,2023-07-01T00:00:00,30.61922222222222,Chitoura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.53921121716351,23.814562760829546]}"
3_0,0,0.10318846,0.64,0.25,7.6,0.11749102,125.44,13.8,285,0.21331795,0.6,9,0.13441026,19.02,0.258909,0.2187141,-1.419070320624349,0.32,-0.0,360,374,2024-05-31,SAGAR,506,2024-06-30T00:00:00,7.5,2.3909495,203,199,437,426,1.8543341,2023-07-01T00:00:00,30.630000000000003,Chitoura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.54567908720917,23.81375427707384]}"
4_0,0,0.10318846,0.72,0.24,13.4,0.11749102,147.84,9.6,356.25,0.21331795,0.75,7.2,0.13441026,17.66,0.258909,0.2187141,-1.419070320624349,0.66,-0.0,360,374,2024-05-31,SAGAR,506,2024-06-30T00:00:00,7.4,2.3909495,203,199,437,426,1.8543341,2023-07-01T00:00:00,30.630000000000003,Chitoura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.54567908720917,23.81375427707384]}"
5_0,0,0.064405,0.56,0.2,11.4,0.0877975,179.2,7.6,142.5,0.20270126,0.3,11.7,0.0993,24.46,0.17971376,0.13519375,-1.5487415654997247,0.86,28.637941,383,398,2024-06-20,SAGAR,497,2024-06-30T00:00:00,7,2.3156602,213,210,404,392,2.1125822,2023-07-01T00:00:00,30.770324324324335,Sapat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.91704262566418,23.705956442979495]}"
6_0,0,0.10689136,1.48,0.21,3.2,0.12706667,188.16,5.8,356.25,0.19714938,0.75,11.7,0.14762963,10.87,0.2288074,0.20442222,0.26468620488204253,0.94,227.59502,387,396,2024-05-30,SAGAR,471,2024-06-30T00:00:00,7.5,2.3445446,216,218,397,386,1.3750871,2023-07-01T00:00:00,30.674052631578956,Gora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.95962277013145,24.036626299063894]}"
7_0,0,0.095325,1,0.24,8.4,0.11341375,138.88,19.6,114,0.17442624,0.24,9,0.1323375,5.43,0.20991251,0.19011874,-0.1251847678780218,0.96,270.0,387,396,2024-05-28,SAGAR,471,2024-06-30T00:00:00,7.3,2.3445446,216,218,397,386,2.030255,2023-07-01T00:00:00,30.674052631578956,Gora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.95989226471667,24.036356804478658]}"
8_0,0,0.10689136,0.58,0.2,7.6,0.12706667,152.32,5.4,228,0.19714938,0.48,9,0.14762963,10.87,0.2288074,0.20442222,0.26468620488204253,0.88,227.59502,387,396,2024-05-29,SAGAR,471,2024-06-30T00:00:00,7.3,2.3445446,216,218,397,386,1.3750871,2023-07-01T00:00:00,30.674052631578956,Gora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.95962277013145,24.036626299063894]}"
9_0,0,0.10535125,0.6,0.22,15.2,0.127785,129.92,10.8,156.75,0.228085,0.33,9,0.142175,24.46,0.2177925,0.18460125,0.43667691716434137,0.32,106.93211,387,396,2024-05-29,SAGAR,470,2024-06-30T00:00:00,7.8,2.3445446,216,218,397,386,3.1813712,2023-07-01T00:00:00,30.674052631578956,Gora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.95881428637573,24.0336618586263]}"
10_0,0,0.07911875,1.26,0.26,13,0.102095,161.28,3.6,370.5,0.25938,0.78,9,0.10762625,16.3,0.1984,0.146525,-0.813245210779551,0.8,90.0,386,398,2024-06-20,SAGAR,495,2024-06-30T00:00:00,7.3,2.3156602,215,212,399,390,1.0128511,2023-07-01T00:00:00,30.756555555555558,Renwjha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.91865959317559,23.704878464638554]}"
