system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,2.06,0.055663414,2.08,0.7,7.65,0.07645122,292,5.09,225,0.21058048,0.6,17.92,0.082387805,12.89,0.17834878,0.12971951,2.1488191256685165,2.7,47.364647,398,416,2023-09-26,SEHORE,511,2024-06-30T00:00:00,7.2,3.4536867,167,165,435,419,1.3690732,2023-07-01T00:00:00,30.615199999999998,Semlibari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.44955020324467,22.973470160308437]}"
1_0,0.7,0.0742075,1.25,0.7,4.32,0.0993825,288,2.79,315,0.28983,0.9,8.96,0.102655,13.77,0.21331,0.1398575,5.894703372530902,1.22,-0.0,366,377,2023-07-12,SEHORE,305,2024-06-30T00:00:00,7.4,3.2159982,238,236,396,387,0.0,2023-07-01T00:00:00,30.535942857142857,Harmau,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38092348981979,22.76461185675065]}"
2_0,1.46,0.07790975,0.94,0.7,5.28,0.100685365,329,3.69,271,0.22844635,0.75,11.95,0.11844878,11.44,0.23489024,0.18542194,0.5018734849483856,1.52,47.33255,395,409,2023-07-13,SEHORE,330,2024-06-30T00:00:00,7.4,3.0453835,255,252,349,340,2.7349236,2023-07-01T00:00:00,30.7148,Ladkui,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.23566590837767,22.820936225064944]}"
3_0,0.53,0.06861625,0.81,0.7,7.92,0.088735,308,2.14,225,0.23437625,0.6,8.96,0.0917375,10.55,0.20692375,0.144315,1.9161459595932988,1.22,-0.0,367,377,2023-07-17,SEHORE,507,2024-06-30T00:00:00,7.5,2.867463,278,273,354,350,1.8543341,2023-07-01T00:00:00,30.584526315789486,Barkhedi Doraha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.25075760515088,23.414632796339536]}"
4_0,0.59,0.08085064,0.89,0.4,5.14,0.10051795,326,2.7,192,0.25382245,0.45,14.93,0.11087179,10.01,0.22126283,0.16528462,1.3686771873939292,0.95,58.526615,366,378,2023-07-17,SEHORE,479,2024-06-30T00:00:00,7.6,3.0592563,221,222,413,400,3.5483646,2023-07-01T00:00:00,30.6554358974359,Khajuriya Kalan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0464807095421,23.329472507405004]}"
5_0,0.76,0.1132976,1.34,0.4,6.39,0.1347048,356,4.33,315,0.2024728,0.9,11.95,0.1508032,11.44,0.2326272,0.1984008,-1.1142953571767356,1.67,312.54147,367,380,2023-07-19,SEHORE,467,2024-06-30T00:00:00,7.7,3.120185,266,262,367,357,1.3715147,2023-07-01T00:00:00,30.617894736842107,Shyampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08367096230465,23.413015828828122]}"
6_0,0.62,0.06552839,2.54,0.6,7.73,0.082974076,288,3.16,315,0.21434444,0.3,14.93,0.090965435,17.52,0.17222346,0.11549383,-0.8036396902461858,0.58,90.0,397,415,2023-09-26,SEHORE,502,2024-06-30T00:00:00,7.4,3.2354116,187,184,417,400,1.007957,2023-07-01T00:00:00,30.635945945945945,Beda Khedi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.80555255034125,23.062942362606744]}"
7_0,1.54,0.0712125,2.4,0.3,4.93,0.09763,312,2.89,315,0.2542825,0.9,11.95,0.103275,12.16,0.211845,0.150755,-0.7190642583593503,0.37,180.0,410,429,2023-07-23,SEHORE,308,2024-06-30T00:00:00,7.5,3.2767603,209,201,381,370,1.8543341,2023-07-01T00:00:00,30.41805405405405,Jawahar Kheda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.85200002481207,22.887231893032965]}"
8_0,0.67,0.1132976,0.77,0.4,4.23,0.1347048,354,4.41,143,0.2024728,0.3,5.97,0.1508032,13.23,0.2326272,0.1984008,-1.1142953571767356,1.78,312.54147,367,380,2023-07-19,SEHORE,467,2024-06-30T00:00:00,7.8,3.120185,266,262,367,357,1.3715147,2023-07-01T00:00:00,30.617894736842107,Shyampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08367096230465,23.413015828828122]}"
9_0,2.07,0.051137038,1.48,0.3,4.96,0.066962965,262,4.69,144,0.2387,0.3,17.27,0.0627,12.69,0.18347901,0.119307406,-2.435497705557719,2.66,79.60352,371,380,2023-09-26,SEHORE,488,2024-06-30T00:00:00,7.4,2.9115443,291,285,339,335,5.1259127,2023-07-01T00:00:00,30.55099999999999,Hathiya Kheda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.25156608890659,23.457751929977274]}"
10_0,0.61,0.0648325,1.86,0.6,7.54,0.098225,415,4.72,315,0.3220225,0.9,14.93,0.09259,3.23,0.2116525,0.13573,-0.7175223381449675,1.4,-0.0,379,384,2023-09-26,SEHORE,295,2024-06-30T00:00:00,7.2,3.3834994,252,253,368,362,0.92740995,2023-07-01T00:00:00,30.25663157894736,Mardanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47255164879999,22.674061676111403]}"
11_0,1.85,0.06184701,0.82,0.3,5.22,0.08484359,356,5.34,143,0.24141794,0.3,14.93,0.09349487,10.91,0.19921367,0.14598718,-0.720630597451935,1.25,180.0,401,420,2023-09-26,SEHORE,502,2024-06-30T00:00:00,7.6,3.128581,206,201,393,379,1.8543341,2023-07-01T00:00:00,30.64161111111111,Lasudiya Ram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.00497854341577,23.103636044977357]}"
13_0,0.43,0.06701111,1.27,0.4,4.62,0.08775679,323,5.62,271,0.2639642,0.75,11.95,0.08724198,9.3,0.23514691,0.16424938,-1.881173893292455,1.25,160.07567,397,414,2023-09-26,SEHORE,479,2024-06-30T00:00:00,7.7,3.2503023,199,197,405,389,2.9569976,2023-07-01T00:00:00,30.62308108108107,Patariya Goyal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.69074785703077,23.131932976427123]}"
14_0,1.77,0.05832073,1.06,0.5,5.09,0.080758534,215,4.27,271,0.251211,0.65,23.89,0.08535976,10.01,0.20226829,0.14050731,-0.31500433811182127,1.46,-0.0,379,400,2023-09-26,SEHORE,486,2024-06-30T00:00:00,7.6,3.260807,208,203,413,398,1.8543341,2023-07-01T00:00:00,30.589277777777777,Beda Khedi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.77132673801628,23.081267994402783]}"
15_0,0.92,0.06696191,0.56,0.7,7.85,0.08867619,304,3.94,315,0.23830476,0.9,20.9,0.10193333,7.51,0.24056904,0.17295952,5.637385510864113,0.95,270.0,400,405,2023-09-26,SEHORE,487,2024-06-30T00:00:00,7.3,3.297183,181,183,420,412,2.014564,2023-07-01T00:00:00,30.639657142857146,Khajuriya Jawar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.52527818169595,23.01443333726429]}"
16_0,0.67,0.068125926,2.29,0.4,8.42,0.09523704,238,3.55,315,0.27851975,0.9,17.92,0.10395679,13.59,0.21045431,0.14875679,-2.2209433924518636,1.29,282.91995,386,405,2023-09-26,SEHORE,472,2024-06-30T00:00:00,7.3,3.0449748,269,258,344,337,4.1409583,2023-07-01T00:00:00,30.536378378378384,Mahuakheda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.15293107071027,23.423795612237555]}"
17_0,0.55,0.07582439,3.07,0.8,5.66,0.09927317,349,4.89,315,0.22989756,0.9,14.93,0.114614636,12.69,0.21847561,0.16616341,0.8852572929706636,0.34,180.0,382,385,2023-09-26,SEHORE,486,2024-06-30T00:00:00,7.8,2.8423424,291,292,327,324,0.92740995,2023-07-01T00:00:00,30.649150000000013,Mungaoli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.26477132358313,23.582527922941473]}"
