system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.69,0.07541944,0.85,0.29,12.3,0.10112777,320,7.9,143,0.24570277,0.3,10.1,0.1179,10.39,0.33786666,0.25284722,-1.1925502395935883,0.52,160.00009,415,434,2024-05-29,SHAHDOL,437,2024-06-30T00:00:00,6,2.6724207,188,174,397,393,2.9584122,2023-07-01T00:00:00,30.454842105263154,Deori,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.38911645603268,23.676042544018316]}"
1_0,0.54,0.07541944,0.64,0.32,10.45,0.10112777,302,9.35,207,0.24570277,0.45,8.31,0.1179,10.1,0.33786666,0.25284722,-1.1925502395935883,0.65,160.00009,415,434,2024-05-29,SHAHDOL,437,2024-06-30T00:00:00,7,2.6724207,188,174,397,393,2.9584122,2023-07-01T00:00:00,30.454842105263154,Deori,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.38911645603268,23.676042544018316]}"
2_0,0.69,0.054908335,0.59,0.21,10.36,0.0703,325,8.56,143,0.25486112,0.3,11.2,0.071719445,9.35,0.21318333,0.15015833,2.0593452774228314,0.25,-0.0,413,430,2024-05-30,SHAHDOL,443,2024-06-30T00:00:00,6.4,2.6724207,185,172,402,398,0.0,2023-07-01T00:00:00,30.454842105263154,Khand,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.38884696144746,23.67981546821162]}"
3_0,0.58,0.09001666,0.62,0.23,12.3,0.117816664,452,8.65,240,0.25714722,0.6,5.36,0.14195,8,0.34560832,0.2777639,0.7545866195339032,0.36,312.48706,400,420,2024-06-01,SHAHDOL,417,2024-06-30T00:00:00,6.36,2.6364126,191,178,409,402,2.744297,2023-07-01T00:00:00,30.438842105263145,Barha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.3486922682473,23.663915287682702]}"
4_0,0.69,0.054908335,0.67,0.1,13.1,0.0703,295,9.36,207,0.25486112,0.45,8.15,0.071719445,10.78,0.21318333,0.15015833,2.0593452774228314,0.56,-0.0,413,430,2024-05-31,SHAHDOL,443,2024-06-30T00:00:00,5.6,2.6724207,185,172,402,398,0.0,2023-07-01T00:00:00,30.454842105263154,Khand,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.38884696144746,23.67981546821162]}"
5_0,0.69,0.10861111,0.69,0.56,12.36,0.12098611,359,8.6,207,0.23844166,0.45,5.36,0.12545833,10,0.27626666,0.20639999,-1.595835402944818,0.42,114.667366,399,426,2024-05-28,SHAHDOL,467,2024-06-30T00:00:00,6.4,2.6424391,175,164,427,410,2.2212229,2023-07-01T00:00:00,30.397105263157894,Pachgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.3441108602983,23.289587308790097]}"
6_0,0.54,0.093666665,0.64,0.35,10.41,0.13027222,305,8.6,143,0.25961944,0.3,9.5,0.16343889,10.34,0.32058054,0.2666611,-2.3576191437050427,0.45,347.681,413,439,2024-05-29,SHAHDOL,440,2024-06-30T00:00:00,6.5,2.6724207,193,178,394,384,4.735934,2023-07-01T00:00:00,30.454842105263154,Deori,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.39046392895887,23.676851027774024]}"
7_0,0.92,0.089014105,0.7,0.11,10.25,0.110171795,285,10.25,143,0.2702154,0.3,8.63,0.11241923,10.3,0.2426705,0.16243204,1.2072505878983397,0.23,199.96805,390,419,2024-05-30,SHAHDOL,445,2024-06-30T00:00:00,6.2,2.6835206,183,170,427,411,2.957815,2023-07-01T00:00:00,30.397549999999995,Silpari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.43735598678991,23.448589114079255]}"
8_0,0.83,0.054908335,0.45,0.12,11.3,0.0703,342.3,10.5,143,0.25486112,0.3,5.64,0.071719445,12,0.21318333,0.15015833,2.0593452774228314,0.42,-0.0,413,430,2024-05-13,SHAHDOL,443,2024-06-30T00:00:00,5.26,2.6724207,185,172,402,398,0.0,2023-07-01T00:00:00,30.454842105263154,Khand,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.38884696144746,23.67981546821162]}"
9_0,0.9,0.093666665,0.45,0.21,12.5,0.13027222,285,7.36,143,0.25961944,0.3,9.5,0.16343889,12.5,0.32058054,0.2666611,-2.3576191437050427,0.56,347.681,413,439,2024-05-29,SHAHDOL,440,2024-06-30T00:00:00,7,2.6724207,193,178,394,384,4.735934,2023-07-01T00:00:00,30.454842105263154,Pahadiya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.39046392895887,23.676851027774024]}"
10_0,0.74,0.054908335,0.45,0.4,10.23,0.0703,295,10.54,207,0.25486112,0.45,10.5,0.071719445,10.23,0.21318333,0.15015833,2.0593452774228314,0.23,-0.0,413,430,2024-05-31,SHAHDOL,443,2024-06-30T00:00:00,6.1,2.6724207,185,172,402,398,0.0,2023-07-01T00:00:00,30.454842105263154,Khand,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.38884696144746,23.67981546821162]}"
11_0,0.58,0.110924326,0.65,0.14,9.65,0.1441,298,8.35,143,0.29660812,0.3,8.32,0.17236757,12,0.3676838,0.2962027,-1.5483659626298383,0.46,208.63046,400,426,2024-05-13,SHAHDOL,420,2024-06-30T00:00:00,6.7,2.6724207,194,178,406,396,2.1124318,2023-07-01T00:00:00,30.493729729729736,Datari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.38615201559509,23.665262760608883]}"
12_0,0.78,0.09953889,0.8,0.11,10.54,0.12336389,310,9.25,143,0.22999722,0.3,10.6,0.135325,10.45,0.238225,0.1911639,2.056779103900285,0.26,-0.0,359,389,2024-05-28,SHAHDOL,388,2024-06-30T00:00:00,6.4,2.4595714,179,167,462,444,0.0,2023-07-01T00:00:00,30.423899999999996,Basahi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.3794146509642,24.01857016185309]}"
