system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.74,0.103024356,0.74,1.74,6.7,0.12531474,187,2.76,278,0.2533718,0.61,18.54,0.14593205,16.9,0.27051988,0.21076539,-2.8256111023520267,0.75,42.44602,345,359,2024-03-11,SINGRAULI,289,2024-06-30T00:00:00,6.47,2.0956087,258,252,397,389,7.4983563,2023-07-01T00:00:00,30.458512820512816,Kursa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.24583974249748,24.33576528867569]}"
1_0,0.78,0.109046794,0.78,0.98,6.6,0.12889358,267,2.74,292,0.27920833,0.64,16.54,0.14259616,14.4,0.29855704,0.23304038,-1.9656180330188198,0.92,73.104935,322,331,2024-03-11,SINGRAULI,281,2024-06-30T00:00:00,7.51,2.0604596,265,270,413,400,3.1881287,2023-07-01T00:00:00,30.492615384615384,Kursa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.25473306381026,24.33010590238574]}"
2_0,0.59,0.13979873,0.59,1.44,5.9,0.1730557,198,2.71,261,0.2707519,0.59,17.19,0.19491519,11.7,0.28682974,0.23661646,-0.9172762798906955,0.67,65.507324,334,343,2024-03-11,SINGRAULI,276,2024-06-30T00:00:00,7.31,2.0604596,256,260,410,397,2.2360628,2023-07-01T00:00:00,30.466102564102567,Kursa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.25149912878743,24.336034783260928]}"
3_0,0.52,0.115266666,0.44,1.61,8.5,0.13811795,187,2.52,390,0.26545256,0.64,14.54,0.15386154,14.9,0.30986154,0.25604552,-1.8912904443504899,0.71,20.093718,347,354,2024-03-11,SINGRAULI,281,2024-06-30T00:00:00,7.48,2.0604596,252,255,400,392,2.960177,2023-07-01T00:00:00,30.492615384615384,Kursa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.25473306381026,24.330375396970975]}"
4_0,0.48,0.15003735,0.42,1.59,7.9,0.18752216,184,2.49,357,0.28596708,0.62,14.51,0.21905759,14.5,0.30828923,0.26124176,-1.8285426757252694,0.69,180.0,314,327,2024-03-11,SINGRAULI,273,2024-06-30T00:00:00,7.44,2.0604596,271,272,415,401,2.7802885,2023-07-01T00:00:00,30.466102564102567,Kursa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.2520381179579,24.336304277846164]}"
5_0,0.76,0.1290609,0.61,1.47,7.4,0.15607756,159,2.23,371,0.2602186,0.71,14.15,0.18693142,13.7,0.3038045,0.26148975,4.97036693494686,0.64,73.10479,322,331,2024-03-11,SINGRAULI,268,2024-06-30T00:00:00,7.21,2.0604596,265,270,413,400,6.3565865,2023-07-01T00:00:00,30.46368421052632,Kursa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.25661952590691,24.328758429459562]}"
6_0,0.72,0.099630766,0.54,1.44,7.1,0.11986475,152,2.52,350,0.2663186,0.67,17.89,0.13373654,9.4,0.30583334,0.22993654,4.946506542227818,0.89,180.0,309,318,2024-03-11,SINGRAULI,278,2024-06-30T00:00:00,7.16,2.0604596,270,273,421,409,6.464861,2023-07-01T00:00:00,30.46368421052632,Kursa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.25527205298073,24.328488934874326]}"
7_0,0.64,0.10453875,0.96,0.75,6.2,0.13002124,197,2.59,291,0.29460436,0.75,19.1,0.14064187,9.6,0.268075,0.19849062,0.36866895738210165,0.92,-0.0,337,349,2024-03-12,SINGRAULI,268,2024-06-30T00:00:00,7.48,2.0604596,254,252,409,399,0.92740995,2023-07-01T00:00:00,30.466102564102567,Kursa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.25554154756597,24.33926871828376]}"
8_0,0.69,0.1375133,0.6,1.64,6.9,0.1666057,154,2.73,292,0.29086265,0.75,17.1,0.19546328,14.5,0.33503228,0.27531138,0.16411207429152702,0.67,55.652477,333,345,2024-03-13,SINGRAULI,302,2024-06-30T00:00:00,7.61,2.0956087,240,235,427,420,4.9194922,2023-07-01T00:00:00,30.495950000000004,Kursa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.22805309987191,24.333878826579042]}"
9_0,0.69,0.1375133,0.59,1.44,6.7,0.1666057,280,2.49,296,0.29086265,0.62,16.37,0.19546328,14.6,0.33503228,0.27531138,0.16411207429152702,0.96,55.652477,333,345,2024-03-13,SINGRAULI,302,2024-06-30T00:00:00,7.12,2.0956087,240,235,427,420,4.9194922,2023-07-01T00:00:00,30.495950000000004,Kursa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.22805309987191,24.333878826579042]}"
10_0,0.61,0.13239114,0.91,1.64,6.4,0.154619,167,2.78,329,0.27195886,0.69,15.49,0.17893101,19.4,0.27969873,0.22604114,1.0102877940565829,0.97,208.75589,333,345,2024-03-13,SINGRAULI,302,2024-06-30T00:00:00,6.76,2.0956087,240,235,427,420,2.114962,2023-07-01T00:00:00,30.495950000000004,Kursa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.22859208904238,24.334148321164278]}"
11_0,0.74,0.1375133,0.72,0.98,6.4,0.1666057,159,2.18,315,0.29086265,0.74,15.29,0.19546328,19.7,0.33503228,0.27531138,0.16411207429152702,0.89,55.652477,333,345,2024-03-13,SINGRAULI,302,2024-06-30T00:00:00,6.69,2.0956087,240,235,427,420,4.9194922,2023-07-01T00:00:00,30.495950000000004,Kursa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.22805309987191,24.333878826579042]}"
12_0,0.73,0.13572721,0.38,1.76,6.3,0.16154811,174,2.82,325,0.3049228,0.61,17.29,0.18351266,14.8,0.33765125,0.26981583,0.4863662084836906,0.75,58.723892,333,345,2024-03-13,SINGRAULI,301,2024-06-30T00:00:00,7.71,2.0956087,240,235,427,420,3.568405,2023-07-01T00:00:00,30.495950000000004,Kursa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.22805309987191,24.334148321164278]}"
