system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
34_0,0.58,0.0739,0.39,0.88,4.59,0.101431705,178,2.9,147,0.2946878,0.31,14.32,0.112431705,21,0.23937073,0.1703,-1.5318535612988824,0.66,102.893715,370,365,2024-05-29,VIDISHA,412,2024-06-30T00:00:00,6.85,2.5186932,244,252,387,383,4.1492143,2023-07-01T00:00:00,30.45097297297297,Dupariya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.75255652286005,23.700297056689543]}"
35_0,0.87,0.07998333,0.21,0.4,6.18,0.10561667,277,4.13,154,0.27141905,0.33,12.38,0.113871425,30,0.24367143,0.18077856,-2.070156826169198,0.96,238.59848,383,379,2024-05-29,VIDISHA,425,2024-06-30T00:00:00,7.28,2.4566445,258,265,359,355,3.5556333,2023-07-01T00:00:00,30.461555555555563,Shajakhedi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65931139636844,23.70056655127478]}"
39_0,0.67,0.06582195,0.49,0.88,4.67,0.09151951,188,3.14,162,0.27644145,0.35,18.47,0.09181219,17,0.2324439,0.16632684,-0.16886132052204164,0.77,39.280674,382,386,2024-05-18,VIDISHA,430,2024-06-30T00:00:00,7.06,2.8207593,192,193,425,421,4.781769,2023-07-01T00:00:00,30.560594594594587,Jiwajipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.83825580096504,23.51569326580298]}"
40_0,0.71,0.064684615,0.27,0.25,4.78,0.08915641,186,2.62,154,0.29638717,0.33,10.56,0.090715386,16,0.19917949,0.15341538,-1.5988554215250999,0.78,245.36896,381,376,2024-06-07,VIDISHA,425,2024-06-30T00:00:00,7.13,2.8080144,210,217,409,408,2.22429,2023-07-01T00:00:00,30.40042105263157,Karaiya Haweli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.73638684774589,23.511111857853972]}"
41_0,0.53,0.07372927,0.37,0.73,6.23,0.10132439,258,4.71,169,0.29515123,0.37,23.86,0.10819268,8,0.22530732,0.15705122,1.7543716244967094,0.75,270.0,372,373,2024-06-06,VIDISHA,418,2024-06-30T00:00:00,7,2.9004762,206,207,422,419,1.0114889,2023-07-01T00:00:00,30.4272972972973,Sunpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.77249912216749,23.528629005894302]}"
42_0,0.65,0.07457692,0.6,0.59,4.53,0.09698974,274,2.33,173,0.22421795,0.38,16.27,0.10178718,10,0.20363078,0.15296666,-1.8089065663280333,0.94,312.51407,367,373,2024-05-14,VIDISHA,426,2024-06-30T00:00:00,7.67,2.812549,208,207,425,419,2.742887,2023-07-01T00:00:00,30.611846153846155,Mudra Ahmadpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.85550345442013,23.539678283888975]}"
46_0,0.63,0.06971039,0.49,0.49,5.41,0.095498055,214,2.68,278,0.3040039,0.79,13.47,0.097162336,16,0.2166935,0.14279221,-0.4216817245976216,0.69,47.46847,344,362,2024-05-08,VIDISHA,427,2024-06-30T00:00:00,7.09,2.787606,229,218,427,420,1.3717743,2023-07-01T00:00:00,30.526210526315797,Parsukhedi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.96842168563396,23.45909940290345]}"
47_0,0.54,0.06582195,0.36,0.32,4.59,0.09151951,280,2.28,173,0.27644145,0.38,11.38,0.09181219,21,0.2324439,0.16632684,-0.16886132052204164,0.67,39.280674,382,386,2024-05-21,VIDISHA,430,2024-06-30T00:00:00,7.13,2.8207593,192,193,425,421,4.781769,2023-07-01T00:00:00,30.560594594594587,Ikodiya Lashkarpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.83825580096504,23.51569326580298]}"
48_0,0.61,0.08472308,0.81,0.56,4.77,0.109730765,253,2.11,265,0.28305385,0.71,22.38,0.11863846,21,0.25217947,0.18132308,-1.417658324484114,0.75,180.0,382,380,2024-06-26,VIDISHA,421,2024-06-30T00:00:00,7.04,2.6779935,224,230,394,391,1.8543341,2023-07-01T00:00:00,30.634611111111106,Bamuriya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.76118034958759,23.62645554033492]}"
49_0,0.56,0.08472308,0.28,0.3,4.59,0.109730765,258,2.32,190,0.28305385,0.45,12.22,0.11863846,10,0.25217947,0.18132308,-1.417658324484114,0.66,180.0,382,380,2024-06-24,VIDISHA,421,2024-06-30T00:00:00,7.08,2.6779935,224,230,394,391,1.8543341,2023-07-01T00:00:00,30.634611111111106,Bamuriya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.76118034958759,23.62645554033492]}"
50_0,0.68,0.0934122,0.58,0.46,4.95,0.11724878,269,3.22,180,0.26967072,0.4,20.41,0.1278878,23,0.26869756,0.20487073,-0.01833936700501898,0.86,312.4918,366,360,2024-06-20,VIDISHA,425,2024-06-30T00:00:00,7.41,2.6779935,224,233,411,407,1.3728123,2023-07-01T00:00:00,30.58461111111112,Samrasukha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.75659894163857,23.642355720863833]}"
51_0,0.55,0.0934122,0.21,0.46,4.58,0.11724878,247,2.11,272,0.26967072,0.75,11.13,0.1278878,11,0.26869756,0.20487073,-0.01833936700501898,0.69,312.4918,366,360,2024-06-25,VIDISHA,425,2024-06-30T00:00:00,6.95,2.6779935,224,233,411,407,1.3728123,2023-07-01T00:00:00,30.58461111111112,Samrasukha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.75659894163857,23.642355720863833]}"
52_0,0.84,0.0934122,0.24,0.47,4.81,0.11724878,223,2.33,165,0.26967072,0.36,13.46,0.1278878,20,0.26869756,0.20487073,-0.01833936700501898,0.68,312.4918,366,360,2024-06-25,VIDISHA,425,2024-06-30T00:00:00,7.31,2.6779935,224,233,411,407,1.3728123,2023-07-01T00:00:00,30.58461111111112,Samrasukha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.75659894163857,23.642355720863833]}"
53_0,0.55,0.0934122,0.39,0.23,4.87,0.11724878,178,2.34,240,0.26967072,0.64,16.19,0.1278878,16,0.26869756,0.20487073,-0.01833936700501898,0.79,312.4918,366,360,2024-06-25,VIDISHA,425,2024-06-30T00:00:00,7.01,2.6779935,224,233,411,407,1.3728123,2023-07-01T00:00:00,30.58461111111112,Samrasukha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.75659894163857,23.642355720863833]}"
63_0,0.51,0.1391195,0.31,0.27,4.69,0.1592756,236,2.4,196,0.24645366,0.48,14.23,0.17884146,5,0.2852756,0.2538488,1.718646593858788,0.53,-0.0,386,397,2024-06-18,VIDISHA,427,2024-06-30T00:00:00,7.1,2.8207593,189,187,424,416,1.8543341,2023-07-01T00:00:00,30.565052631578954,Karariya Lashkarpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.83475237135697,23.5210831575077]}"
64_0,0.62,0.07170975,0.25,0.53,5.43,0.10060731,295,3.9,223,0.25711462,0.59,16.98,0.11322683,30,0.23671708,0.17225122,-1.416848787787185,0.86,180.0,382,386,2024-06-07,VIDISHA,428,2024-06-30T00:00:00,7.45,2.8207593,192,193,425,421,1.8543341,2023-07-01T00:00:00,30.565052631578954,Boria Khamkheda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.83933377930599,23.518118717070106]}"
65_0,0.64,0.09012439,0.3,0.39,5.11,0.1140439,226,3.22,190,0.31406584,0.45,13.96,0.11745122,11,0.22120732,0.1556561,0.574101748328565,0.7,90.0,374,376,2024-06-10,VIDISHA,439,2024-06-30T00:00:00,7.1,2.7592518,249,255,377,369,1.0123154,2023-07-01T00:00:00,30.5265,Badanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.63613486203815,23.635887850818175]}"
