system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.1137,0.0506025,0.58,0.17,0.94,0.0779675,53.65292800000001,3.46,155.5456,0.282315,0.795,16.5252,0.0787125,9.24,0.206385,0.1310525,-1.38925590591175,0.53,180.0,431,420,2024-04-23,AHMEDNAGAR,503,2024-06-30T00:00:00,8.38,2.2518642,297,309,273,271,1.8543341,2023-07-01T00:00:00,30.527166666666673,Kendal Kh.,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.74445796245742,19.43069434279787]}"
1_0,0.3411,0.08120238,2.17,0.41,0.8,0.10282381,70.868336,8.61,215.7568,0.21032381,0.639000000000001,53.98232000000001,0.11958333,4.04,0.20289524,0.15431666,-0.37835288856380944,0.22,313.34674,418,429,2024-04-07,AHMEDNAGAR,583,2024-06-30T00:00:00,8.3,1.8781646,297,291,285,280,1.350966,2023-07-01T00:00:00,30.652999999999995,Katrad,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.79350597697034,19.283819793844327]}"
2_0,0.82243,0.08426512,1.82,0.46,0.94,0.100067444,121.035936,18.83,102.8608,0.18536976,0.69,30.847040000000007,0.10765116,12.92,0.16887441,0.12693024,2.1889768145260486,0.29,226.60808,390,383,2024-04-08,AHMEDNAGAR,794,2024-06-30T00:00:00,8,1.7518961,332,340,277,277,1.3498392,2023-07-01T00:00:00,30.74866666666666,Parner,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.47280742053967,19.023218529921255]}"
3_0,0.15539,0.04541778,0.81,0.47,0.77,0.06259555,187.785248,12.44,188.16,0.17047334,0.69,17.62688,0.07208,7.501830000000001,0.15914667,0.115946665,3.6348421923591165,0.49,133.45757,488,472,2024-05-09,AHMEDNAGAR,548,2024-06-30T00:00:00,7.75,1.7038885,231,236,281,293,1.3482069,2023-07-01T00:00:00,30.849736842105262,Dhanora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.23871103177997,18.63784127303398]}"
4_0,0.37142,0.09701905,0.71,0.22,1.69,0.12192619,227.60248,11.91,112.896,0.24309523,0.228,91.880112,0.15173334,3.66996,0.27751905,0.20370953,-2.340782242182072,0.19,125.321556,400,405,2024-06-13,AHMEDNAGAR,816,2024-06-30T00:00:00,8.51,1.8838009,338,334,261,261,4.8013253,2023-07-01T00:00:00,30.788628571428582,Khandke,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.909658143207,19.12508748314041]}"
5_0,1.8192,0.07964444,0.76,0.14,0.62,0.105284445,209.43652799999995,10.78,116.65919999999998,0.20884,0.09,46.931568,0.12893334,24.4,0.21684666,0.16442667,-0.8464918759241619,0.51,244.6488,417,431,2024-06-19,AHMEDNAGAR,582,2024-06-30T00:00:00,7.99,1.8095274,264,253,319,316,2.1651664,2023-07-01T00:00:00,30.854540540540544,Dhond Pargaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.31228305354936,18.63325986508497]}"
6_0,0.81864,0.07692927,0.91,0.27,0.98,0.10687073,181.55390400000005,10.58,155.5456,0.25616586,0.228,64.99912,0.121817075,17.21643,0.24561708,0.17746097,-0.003974902521155412,0.36,-0.0,443,441,2024-06-12,AHMEDNAGAR,575,2024-06-30T00:00:00,8.15,2.4707856,263,263,294,296,0.92740995,2023-07-01T00:00:00,30.720388888888888,Velhale,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.18498720350777,19.5977809856441]}"
7_0,0.09096,0.062409755,1,0.11,1.01,0.08736585,34.430816,5.66,164.3264,0.23623171,0.285000000000001,3.525376000000001,0.10146585,0.80955,0.1914683,0.13867073,-1.513685796652299,0.49,152.05634,409,406,2024-04-18,AHMEDNAGAR,502,2024-06-30T00:00:00,8.41,1.9216924,305,315,286,279,2.098861,2023-07-01T00:00:00,30.613189189189185,Karajgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.65687222225576,19.507500299590088]}"
8_0,0.46996,0.072265,0.99,0.24,0.65,0.10154,109.94625600000002,19.16,170.59839999999997,0.2979175,0.108,5.508400000000002,0.089755,16.279999999999998,0.1986975,0.13374,5.7708516774246075,0.33,270.0,436,422,2024-03-22,AHMEDNAGAR,513,2024-06-30T00:00:00,8.33,2.0605898,283,294,281,284,0.9831677,2023-07-01T00:00:00,30.556500000000003,Sonai (Navin),"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.82395886510199,19.390539649597727]}"
9_0,2.70606,0.059519317,0.71,0.12,2.19,0.07860227,168.035056,9.08,114.1504,0.1905159,0.456000000000001,35.68873789775609,0.09060454,15.99554945054944,0.16506363,0.12837614,0.5411962096231095,0.25,46.591393,397,393,2024-04-18,AHMEDNAGAR,593,2024-06-30T00:00:00,8.3,1.9937397,311,313,292,294,1.3494236,2023-07-01T00:00:00,30.653567567567567,Jawala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.31299713149481,18.926200479236346]}"
