system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,1.2,0.06723256,1.74,0.09,1.8,0.08643023,425.63,5.48,213.2,0.2309186,0.74214,67.74,0.08675581,13.49,0.19902325,0.1488093,-1.4454517338911586,0.2,270.0,497,486,2024-06-28,BEED,511,2024-06-30T00:00:00,7.4,2.0644767,239,243,264,271,1.9638225,2023-07-01T00:00:00,30.723589743589738,Aantarwali Bu.,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.49149695273121,19.229381887626683]}"
1_0,1.27,0.047838096,0.85,0.16,1.89,0.06908572,359.41,3.12,159.01,0.21730715,0.55,32.61,0.06776905,46,0.17563571,0.118869044,0.5396571382599847,0.51,313.37918,450,455,2024-06-13,BEED,500,2024-06-30T00:00:00,8.21,2.0971699,281,275,269,270,1.3501568,2023-07-01T00:00:00,30.810205128205126,Aadhingani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.5839335954671,19.097329540861114]}"
2_0,1.93,0.06379048,0.73,0.31,4.49,0.09498809,424.79,2.58,253.51,0.25587142,0.7,18.28,0.109264284,53.36,0.22086428,0.15141904,3.7024193076257363,0.33,-0.0,420,415,2024-06-03,BEED,639,2024-06-30T00:00:00,8.42,2.7152543,284,286,296,299,0.0,2023-07-01T00:00:00,30.84768421052632,Dhanora Kh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.27141428240377,18.612239287436573]}"
3_0,2.31,0.06039268,0.57,0.2,3.33,0.09528781,480.24,4.16,234.69,0.26567805,0.85,18.64,0.102390245,45.93,0.22280976,0.15328293,0.9181279546621868,0.35,180.0,428,413,2024-06-03,BEED,640,2024-06-30T00:00:00,8.26,2.7152543,296,307,275,280,0.92740995,2023-07-01T00:00:00,30.89984210526316,Dhanora Kh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.28488901166557,18.620593619578884]}"
4_0,1.25,0.07912683,0.94,0.1,0.89,0.106641464,298.58,2.7,301.2,0.32812196,0.76,13.62,0.10442195,51.56,0.20526098,0.12628293,-1.5402811669839598,0.24,244.65672,434,436,2024-06-05,BEED,673,2024-06-30T00:00:00,8.37,2.8879664,287,285,279,279,2.1657972,2023-07-01T00:00:00,30.839263157894738,Jogaiwadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.3746307085491,18.693896146763038]}"
5_0,2.78,0.062152382,0.36,0.12,2.51,0.08504762,254.75,3.82,231.3,0.20320714,0.74,24.37,0.09865952,16.37,0.20610714,0.1537762,-1.7898641923911658,0.7,180.0,460,446,2024-06-12,BEED,666,2024-06-30T00:00:00,8.36,2.5282881,263,262,278,292,2.7802885,2023-07-01T00:00:00,30.76620000000001,Malegaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05393215211843,18.609544341584215]}"
6_0,2.86,0.088865854,0.66,0.15,2.77,0.11016586,219.47,3.24,215.86,0.23139025,0.87,21.15,0.12934878,25.75,0.22982927,0.17250487,-2.2010120884946645,0.81,152.17117,437,445,2024-06-06,BEED,681,2024-06-30T00:00:00,8.33,2.6727667,288,283,275,272,4.1876755,2023-07-01T00:00:00,30.80620512820514,Ladegaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.21077800072571,18.70548441392818]}"
7_0,1.92,0.088865854,0.66,0.16,2.78,0.11016586,246.51,3.31,199.55,0.23139025,0.87,28.31,0.12934878,30.44,0.22982927,0.17250487,-2.2010120884946645,0.47,152.17117,437,445,2024-06-06,BEED,681,2024-06-30T00:00:00,8.29,2.6727667,288,283,275,272,4.1876755,2023-07-01T00:00:00,30.80620512820514,Ladegaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.21077800072571,18.70548441392818]}"
8_0,1.82,0.05917619,0.8,0.16,2.68,0.08530952,222.85,3.81,237.2,0.26005,0.41,19,0.08500476,57.14,0.19560714,0.13562381,-0.6921237356112582,0.81,-0.0,454,456,2024-06-07,BEED,711,2024-06-30T00:00:00,8.45,2.4963396,279,278,266,266,1.8543341,2023-07-01T00:00:00,30.742256410256402,Chandansawargaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.1738572425484,18.76019181473106]}"
9_0,2.56,0.07102963,0.15,0.15,1.42,0.10143148,264.46,1.75,187,0.214,0.98,25.09,0.13543518,31.7,0.2681463,0.19644259,-0.7479803559501816,0.45,90.0,440,451,2024-06-06,BEED,651,2024-06-30T00:00:00,8.32,2.4988868,296,292,264,257,0.98005855,2023-07-01T00:00:00,30.864631578947368,Kordewadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.9364325129556,18.867181165069695]}"
