system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.1185,0.070150636,2.86,0.34,4.68,0.09742405,604.8,16.46,148.0192,0.28434938,0.37525,7.573440000000001,0.09981646,6.819375,0.2405329,0.15666708,-1.523349961888711,0.54,28.134542,353,371,2024-05-06,BHANDARA,227,2024-06-30T00:00:00,6.36,4.027873,230,224,417,405,2.1025848,2023-07-01T00:00:00,30.420717948717947,Athali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.86027367398967,20.762267088448237]}"
1_0,0.0948,0.070150636,2.48,0.37,10.42,0.09742405,564.48,11.84,140.4928,0.28434938,0.29625,9.73728,0.09981646,12.274875,0.2405329,0.15666708,-1.523349961888711,0.76,28.134542,353,371,2024-05-06,BHANDARA,227,2024-06-30T00:00:00,5.92,4.027873,230,224,417,405,2.1025848,2023-07-01T00:00:00,30.420717948717947,Athali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.86027367398967,20.762267088448237]}"
2_0,0.0474,0.11684875,3.04,0.34,4.4,0.14209875,510.72,7.26,150.528,0.3033625,0.3555,11.54048,0.16532625,13.63875,0.37176874,0.26968125,0.9937791832060479,0.68,46.920753,384,396,2024-05-06,BHANDARA,229,2024-06-30T00:00:00,5.9,4.027873,222,219,393,385,1.3576937,2023-07-01T00:00:00,30.3898947368421,Athali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.89692493758174,20.754990734646867]}"
3_0,0.28,0.077871054,5.46,0.68,28.84,0.102465786,241,10.78,376,0.23969474,0.91,13,0.11131316,61.37,0.24408159,0.17396316,-1.1701883647665623,0.58,340.37222,362,378,2024-06-01,BHANDARA,235,2024-06-30T00:00:00,5.92,4.0625734,218,214,420,408,2.9515097,2023-07-01T00:00:00,30.3297894736842,Manegaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.88506717583137,20.82452033763772]}"
4_0,0.33,0.08380526,0.31,0.52,8.35,0.110426314,577,2.53,382,0.2635842,0.99,18,0.12836842,44.55,0.29289737,0.21099211,1.3746082008842904,0.63,180.0,357,384,2024-06-16,BHANDARA,235,2024-06-30T00:00:00,6.61,4.0625734,223,216,419,400,0.92740995,2023-07-01T00:00:00,30.3297894736842,Manegaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.88237222997901,20.821555897200124]}"
5_0,0.3,0.089494735,0.33,0.52,8.21,0.11458421,255,3.68,273,0.25105262,0.73,17,0.12954211,37.28,0.29913685,0.2114421,1.307071117645106,0.62,270.0,357,384,2024-06-16,BHANDARA,234,2024-06-30T00:00:00,5.55,4.0625734,223,216,419,400,0.9921955,2023-07-01T00:00:00,30.3297894736842,Manegaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.88291121914949,20.821286402614888]}"
6_0,0.37,0.09741316,0.23,0.65,7.64,0.12425263,537,3.68,365,0.27713948,0.95,14,0.14733158,36.82,0.34691843,0.25012895,-2.62242724483121,0.64,331.8562,357,384,2024-06-16,BHANDARA,244,2024-06-30T00:00:00,5.24,4.0625734,223,216,419,400,6.2857924,2023-07-01T00:00:00,30.3297894736842,Manegaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.88318071373472,20.820747413444415]}"
7_0,0.16,0.0995421,0.22,0.68,7.21,0.13416842,389,2.53,360,0.26591578,0.95,29,0.16778684,23.64,0.34096316,0.26719475,-0.7048487850786392,0.62,-0.0,360,387,2024-06-16,BHANDARA,237,2024-06-30T00:00:00,6.31,4.0625734,222,215,418,398,1.8543341,2023-07-01T00:00:00,30.3297894736842,Manegaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.88021627329712,20.822364380955833]}"
8_0,0.4,0.06951579,0.37,0.33,9.43,0.09523158,309,4.82,333,0.26200527,0.69,31,0.10531842,31.37,0.2491921,0.1711579,3.1824192255343604,0.53,252.69615,361,380,2024-06-16,BHANDARA,230,2024-06-30T00:00:00,6.31,4.0625734,206,203,433,417,3.1151822,2023-07-01T00:00:00,30.34620512820514,Manegaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.86620255486486,20.833683153535738]}"
9_0,0.47,0.08715,0.26,0.43,6.85,0.113405265,322,3.43,347,0.25008947,0.19,29,0.13793685,17.73,0.3127079,0.22541316,-1.5643669144740655,0.58,244.9519,364,384,2024-06-16,BHANDARA,238,2024-06-30T00:00:00,5.82,4.0625734,210,207,426,410,2.1896205,2023-07-01T00:00:00,30.350102564102563,Manegaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.8664720494501,20.826676294319608]}"
