system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
1_0,0.87,0.063510716,1.01,0.14,3.5,0.09360714,462.56,5.13,71.54,0.25318095,0.71,10.63,0.11393214,50.94,0.23405595,0.1706738,-1.9151693729393613,0.87,287.32364,458,448,2024-06-12,BULDHANA,396,2024-06-30T00:00:00,7.8,2.4343872,281,293,261,259,3.1117399,2023-07-01T00:00:00,30.811189189189175,Panhera Khedi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.07225778391448,20.649618351819647]}"
2_0,0.5,0.13068478,1.31,0.23,1.17,0.16072826,253.12,6.88,163.15,0.2758261,0.54,18.73,0.1751587,23.5,0.26675653,0.22597826,-1.781646697636811,0.24,226.97424,481,496,2024-06-18,BULDHANA,295,2024-06-30T00:00:00,7.8,2.48449,277,274,242,230,2.7165732,2023-07-01T00:00:00,30.74436842105262,Palshi Supo,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.52231374125836,21.03580409246263]}"
3_0,0.87,0.067646325,0.73,0.41,0.78,0.08921638,1410.08,11.49,114.21,0.21502316,0.62,7.09,0.09897458,78.95,0.18588531,0.14130056,5.251418627317386,0.77,-0.0,464,452,2024-06-12,BULDHANA,559,2024-06-30T00:00:00,7.7,2.462522,242,251,294,297,0.92740995,2023-07-01T00:00:00,30.707891891891887,Satgaon (mahsala),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.97119731445103,20.354521780986385]}"
4_0,0.81,0.07136667,1.03,0.32,3.75,0.0926119,2181.76,13.15,100.4,0.2043119,0.72,16.45,0.11241905,65.2,0.20635477,0.16349763,1.4034875149474264,0.2,313.15906,536,536,2024-03-18,BULDHANA,575,2024-06-30T00:00:00,8.1,2.6084952,257,257,206,208,1.355676,2023-07-01T00:00:00,30.836512820512826,Dhanori,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.49374731522336,20.328111311633272]}"
5_0,0.65,0.0632593,0.61,0.13,0.69,0.083038956,1496.32,11.4,97.89,0.2852878,0.95,11.58,0.08035058,13.71,0.21357791,0.1371814,-1.8627551987554591,0.56,199.61815,412,396,2024-06-06,BULDHANA,292,2024-06-30T00:00:00,7.8,2.6660712,285,290,303,314,2.951333,2023-07-01T00:00:00,30.71627777777778,Talkhed,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.24096139427212,20.744210951237434]}"
6_0,0.55,0.056761365,1.86,0.21,0.84,0.07733636,908.32,10.54,117.97,0.19145,0.44,21.68,0.09153864,33.29,0.19022727,0.139675,0.5704853366465578,0.88,252.67,437,427,2024-06-28,BULDHANA,304,2024-06-30T00:00:00,7.1,2.4213912,257,259,306,314,3.1106353,2023-07-01T00:00:00,30.824894736842122,Kadamapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.75919948168067,20.59032954306776]}"
7_0,0.91,0.07500233,1.97,0.32,5.13,0.09931628,1080.07,8.5,213.25,0.2699907,0.81,12.07,0.1093093,28,0.2573,0.18104419,-1.0803564171051596,0.35,133.17934,459,462,2024-06-23,BULDHANA,537,2024-06-30T00:00:00,7.94,2.7381315,256,256,285,282,1.355165,2023-07-01T00:00:00,30.688205128205137,Belgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.78291500518142,20.21815752085704]}"
8_0,0.78,0.06129111,1.39,0.1,2.23,0.086671114,475.56,13.35,200.7,0.26439777,0.39,14.54,0.09425111,10.5,0.24254666,0.16248445,2.0989831920496926,0.78,313.20303,473,475,2024-06-23,BULDHANA,518,2024-06-30T00:00:00,8.08,2.7317657,234,233,293,292,1.354568,2023-07-01T00:00:00,30.718324324324325,Bori,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.60477908434052,20.088530625358594]}"
9_0,0.72,0.07548,2.19,0.09,2.2,0.10288444,544.33,7.26,200.7,0.2754622,0.38,14.78,0.11186,46.75,0.24904223,0.17481777,-1.8580419672961541,0.63,19.54024,481,491,2024-06-23,BULDHANA,529,2024-06-30T00:00:00,7.87,2.7317657,237,227,282,282,2.9499085,2023-07-01T00:00:00,30.764378378378375,Bori,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.60046717097676,20.08098477697199]}"
10_0,0.89,0.067496665,1.31,0.13,0.94,0.08838333,1554.56,7.23,50.2,0.24709667,0.75,24.15,0.09094111,11.26,0.19278556,0.13405111,-1.524891947276067,0.58,28.165096,422,430,2024-05-06,BULDHANA,239,2024-06-30T00:00:00,7.2,2.7799199,312,310,265,259,2.1031842,2023-07-01T00:00:00,30.808368421052634,Talaswada,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.2040406360948,20.954955716891874]}"
11_0,0.53,0.06531333,1.73,0.14,2.04,0.08253333,416.64,12.7,122.99,0.21322,0.47,13.31,0.090517774,15.17,0.17943333,0.13042666,1.427449841282028,0.3,270.0,428,425,2024-06-24,BULDHANA,303,2024-06-30T00:00:00,7.4,2.4541352,269,269,302,306,0.99089366,2023-07-01T00:00:00,30.64745000000001,Karegaon Kh.,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.69532926497978,20.622399398710826]}"
12_0,0.7,0.066655055,1.3,0.29,1.03,0.084626965,1230.88,9.92,122.99,0.23464943,0.47,34.74,0.09340786,17.13,0.18838765,0.13724607,-0.7054628919903709,0.77,180.0,385,396,2024-06-09,BULDHANA,247,2024-06-30T00:00:00,7.4,2.6862097,288,283,327,321,0.92740995,2023-07-01T00:00:00,30.83282051282052,Bhalegaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.15876554577518,20.91614849661791]}"
13_0,0.624,0.052785486,1.67103517,0.27,1.31016898,0.07015968,1478.4,9.25641155,188.25408,0.20496613,0.3795,8.8704,0.078635484,23.496,0.17688225,0.1272,-1.5250618119225514,0.196444303,151.83154,416,415,2024-06-21,BULDHANA,255,2024-06-30T00:00:00,7.2,2.4750717,260,262,324,323,2.1032503,2023-07-01T00:00:00,30.754102564102567,Khandvi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.46518088918836,20.976245789125507]}"
14_0,1.75,0.08977619,1.14,0.3,3.8,0.10786667,1182.72,11.77,212.1,0.25297856,0.95,6.33,0.1163,46.35,0.21755476,0.1580381,-0.7666065228747317,0.66,90.0,536,523,2024-06-15,BULDHANA,573,2024-06-30T00:00:00,7.9,2.5620391,250,257,214,220,0.98930925,2023-07-01T00:00:00,30.794820512820507,Karkheda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.46545038377359,20.3771593261462]}"
15_0,0.35,0.12541628,1.76,0.14,1.73,0.14596976,629.44,12.75,69.03,0.2935093,0.72,9.62,0.15730697,17.32,0.25163722,0.17930232,1.936959265861901,0.19,180.0,516,513,2024-06-15,BULDHANA,541,2024-06-30T00:00:00,7.8,2.5585296,253,254,231,232,0.92740995,2023-07-01T00:00:00,30.860153846153842,Kinhi Naik,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.54980218895241,20.397640914624123]}"
16_0,0.58,0.049016856,1.83,0.12,4.44,0.065694384,431.89,13.61,238.34,0.1962045,0.38,11.58,0.06976854,12.75,0.16399775,0.11436404,-0.13807519091240428,0.21,151.84506,443,442,2024-06-27,BULDHANA,248,2024-06-30T00:00:00,7.9,2.6565323,284,282,272,276,2.1029847,2023-07-01T00:00:00,30.74136842105263,Kherda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.33636247744562,20.891085500190975]}"
