system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.42,0.07596087,2.46,0.594,3.87,0.09473478,410,25.93,143,0.2460587,0.28,21.44,0.11186739,21.11,0.21676521,0.15729566,2.077349864533597,0.8,-0.0,356,359,2024-03-28,DHULE,244,2024-06-30T00:00:00,7.8,2.2160213,293,294,352,347,0.0,2023-07-01T00:00:00,30.998756756756745,Rohane,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.70969316096199,21.134978099829425]}"
1_0,0.63,0.07124681,3.46,0.732,5.76,0.101267025,366,14.23,131,0.23894042,0.49,23.35,0.14962341,16.69,0.27798936,0.21754043,-0.39595788159440015,0.49,226.98566,459,462,2024-04-26,DHULE,582,2024-06-30T00:00:00,8,2.5575912,255,251,286,287,1.3593407,2023-07-01T00:00:00,30.795828571428572,Amali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.07179947770871,21.095362395799754]}"
2_0,0.24,0.07891087,3.71,0.827,9.74,0.09836739,411,14.31,261,0.25599566,0.48,18.33,0.10286522,13.51,0.20067608,0.14383914,-0.7801214543252618,0.77,270.0,393,383,2024-05-15,DHULE,157,2024-06-30T00:00:00,7.9,2.4333274,272,284,335,332,0.99607646,2023-07-01T00:00:00,30.80083333333333,Arthe Bk.,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.80617222247642,21.40069976087198]}"
3_0,0.35,0.09774444,2.54,0.574,2.4,0.19053261,389,22.49,127,0.27782175,0.57,19.66,0.21776956,10.35,0.2726,0.22203913,-1.3438375274555985,0.47,238.10126,356,343,2024-05-07,DHULE,282,2024-06-30T00:00:00,7.9,2.0493238,359,365,285,292,3.50605,2023-07-01T00:00:00,31.12517647058823,Dhandane,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.74634442455407,20.993223947995364]}"
4_0,0.7,0.09323404,3.19,0.64,2.88,0.10883191,317,7.55,151,0.27999574,0.46,23.88,0.103157446,16.14,0.1998915,0.1335149,6.770455229902088,0.92,-0.0,403,386,2024-05-27,DHULE,349,2024-06-30T00:00:00,7.9,2.4346712,332,341,264,274,0.0,2023-07-01T00:00:00,30.858842105263157,Chaugaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.5881511030206,20.874107341321118]}"
5_0,0.75,0.10575217,2.91,0.52,5.18,0.11238478,375,11.4,185,0.21790217,0.53,22.67,0.121884786,19.31,0.19952174,0.14947608,-1.3465066021826717,0.26,121.85849,384,380,2024-03-05,DHULE,156,2024-06-30T00:00:00,7.7,2.2301352,301,309,314,310,3.510003,2023-07-01T00:00:00,30.826526315789472,Vadode,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.92906175334397,21.22579777505391]}"
6_0,0.87,0.070871115,1.87,0.593,3.38,0.09071778,374,16.16,233,0.21619223,0.27,24.16,0.107472226,17.38,0.23381779,0.17935556,-1.5288848712592902,0.36,208.24408,420,425,2024-02-29,DHULE,303,2024-06-30T00:00:00,7.5,2.3795283,279,275,301,300,2.1047382,2023-07-01T00:00:00,30.905675675675674,Khambale,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.06839045391091,21.443818894509718]}"
7_0,0.54,0.06241591,1.55,0.634,7.52,0.08081364,360,7.76,182,0.19380227,0.46,16.9,0.09441818,6.71,0.19712614,0.14575681,4.718930942480208,0.72,-0.0,433,414,2024-03-15,DHULE,375,2024-06-30T00:00:00,7.7,2.433769,268,280,298,306,0.0,2023-07-01T00:00:00,31.09144444444445,Moghan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.75389027294067,20.74636690791932]}"
8_0,1.13,0.061631914,2.5,0.42,6.15,0.0863234,423,13.6,122,0.22620638,0.34,16.54,0.10438723,16.11,0.22508085,0.1666234,-1.5663895955532585,0.28,115.02348,386,408,2024-03-20,DHULE,368,2024-06-30T00:00:00,7.7,2.196278,302,287,312,305,2.191634,2023-07-01T00:00:00,31.047111111111107,Shirdhane Pr.Ner,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.50622474910891,20.99484091550678]}"
9_0,0.81,0.07393,3.37,0.675,6.25,0.1036325,382,15.81,132,0.2352775,0.22,20.71,0.134275,16.2,0.2400625,0.1867075,-1.5628540454710436,0.15,244.93343,425,401,2024-03-28,DHULE,353,2024-06-30T00:00:00,8,2.3658135,272,286,303,313,2.1881132,2023-07-01T00:00:00,31.15694444444444,Mandal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.7864991177542,20.69974434467352]}"
10_0,0.55,0.0860383,2.62,0.712,2.28,0.12154468,524,11.87,120,0.25078085,0.25,12.53,0.15080425,12.98,0.2478617,0.19931063,0.29826707981991274,0.34,133.0347,401,402,2024-04-12,DHULE,416,2024-06-30T00:00:00,7.9,2.3090475,281,279,318,319,1.3588233,2023-07-01T00:00:00,31.012270270270275,Mahir,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.41055417135019,20.98918152921683]}"
11_0,0.46,0.061663043,3.89,0.535,3.92,0.083793476,324,15.56,171,0.23677608,0.54,22.26,0.10000218,10.63,0.23631087,0.17799565,-1.4737090726374604,0.56,270.0,384,377,2024-04-16,DHULE,172,2024-06-30T00:00:00,7.8,2.439058,288,293,328,330,1.9919902,2023-07-01T00:00:00,30.792914285714296,June Bhampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.77140742098099,21.433039111100282]}"
12_0,0.76,0.061663043,1.75,0.619,9.28,0.083793476,581,16.82,176,0.23677608,0.56,15.39,0.10000218,5.59,0.23631087,0.17799565,-1.4737090726374604,0.78,270.0,384,377,2024-04-16,DHULE,172,2024-06-30T00:00:00,7.9,2.439058,288,293,328,330,1.9919902,2023-07-01T00:00:00,30.792914285714296,June Bhampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.77140742098099,21.433039111100282]}"
13_0,0.56,0.055344682,2.43,0.622,7.25,0.07815957,394,19.94,243,0.18602766,0.56,24.68,0.102061704,10.87,0.18327446,0.1486532,-0.2558761939425502,0.55,19.660566,365,360,2024-04-15,DHULE,278,2024-06-30T00:00:00,7.8,2.110731,331,330,304,310,2.9521115,2023-07-01T00:00:00,31.05427777777777,Rudane,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.56928648205411,21.094823406629285]}"
14_0,0.32,0.10399783,1.27,0.654,8.44,0.10998261,453,17.55,263,0.21876739,0.46,14.37,0.12347391,9.5,0.18723696,0.1335413,0.3775755183195055,0.8,65.000305,356,351,2024-03-28,DHULE,188,2024-06-30T00:00:00,7.6,2.1743839,276,280,368,369,2.1935833,2023-07-01T00:00:00,31.002105263157894,Kalmadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.83635561602284,21.155729182892586]}"
15_0,0.58,0.080592856,2.73,0.373,7.48,0.09933333,566,14.87,166,0.22918572,0.3,17.78,0.11553095,16.75,0.19130953,0.14005953,1.3705520324396787,0.7,-0.0,396,419,2024-05-03,DHULE,269,2024-06-30T00:00:00,7.7,2.5025244,260,252,344,329,0.92740995,2023-07-01T00:00:00,30.885944444444444,Vadle Kh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.16244406415822,21.430074670662687]}"
16_0,0.86,0.06022174,1.6,0.421,2.11,0.08628913,524,19.46,240,0.17739348,0.54,8.83,0.11955217,15.09,0.20060217,0.1592326,7.7303353762881395,0.8,160.35327,465,465,2024-04-12,DHULE,496,2024-06-30T00:00:00,7.7,2.5571058,226,228,309,307,2.951857,2023-07-01T00:00:00,30.801894736842115,Rohan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.14402402655192,20.98109669165975]}"
17_0,0.2,0.10100869,2.67,0.565,4.34,0.12515,384,13.97,241,0.2135174,0.27,16.62,0.15601957,17.03,0.24876304,0.20224783,-1.089631324521295,0.93,313.0044,419,413,2024-04-04,DHULE,512,2024-06-30T00:00:00,7.8,2.081344,272,271,309,316,1.3595937,2023-07-01T00:00:00,30.86248648648649,Bhortek,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.21193666203136,21.146835861579802]}"
18_0,0.93,0.064213045,1.89,0.856,8.62,0.08651739,411,14.36,210,0.2089826,0.33,25.97,0.106934786,7.61,0.18266086,0.13989565,-2.1298757035618716,0.68,15.0313835,404,398,2024-05-27,DHULE,169,2024-06-30T00:00:00,7.7,2.4333274,280,290,316,312,3.8356612,2023-07-01T00:00:00,30.810166666666664,Arthe Bk.,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.81398756544826,21.41309651179283]}"
19_0,0.39,0.086301066,3.29,0.87,7.7,0.10823404,355,14.54,270,0.21519469,0.58,27.34,0.14021064,16.64,0.2447532,0.19792233,-1.8747633132645773,0.71,90.0,424,421,2024-05-27,DHULE,582,2024-06-30T00:00:00,7.8,2.2579563,271,271,306,309,2.9798565,2023-07-01T00:00:00,30.873371428571428,Kharadbari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.12246445973305,21.105603190038718]}"
