system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.49,0.060159523,2.16,0.15,5.04,0.07814286,993.84,3.5,151,0.18675476,0.21,8.99,0.08697857,7.42,0.17746666,0.13165238,-0.8139274289968891,0.62,27.813227,442,442,2024-01-05,LATUR,615,2024-06-30T00:00:00,8.26,2.9762127,278,281,280,277,2.096337,2023-07-01T00:00:00,30.873459459459458,Motegaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.41586338009019,18.5936441610553]}"
1_0,0.26,0.10682222,5,0.21,2.84,0.12070247,338.33,9.66,138,0.20234568,0.24,8.33,0.14058025,5.49,0.21868272,0.18518272,-0.7458363476265462,0.46,270.0,418,415,2024-06-12,LATUR,537,2024-06-30T00:00:00,7.18,3.375528,300,297,282,288,0.9789997,2023-07-01T00:00:00,30.908410256410253,Malegaon Kh.,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95027114261289,18.685002825450255]}"
2_0,0.31,0.10682222,5.98,0.15,3.3,0.12070247,306.61,8.28,125,0.20234568,0.32,6.58,0.14058025,6.13,0.21868272,0.18518272,-0.7458363476265462,1.06,270.0,418,415,2024-06-12,LATUR,537,2024-06-30T00:00:00,7.37,3.375528,300,297,282,288,0.9789997,2023-07-01T00:00:00,30.908410256410253,Malegaon Kh.,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95027114261289,18.685002825450255]}"
3_0,0.26,0.10682222,3.26,0.2,3.58,0.12070247,866.97,7.82,163,0.20234568,0.36,7.24,0.14058025,7.48,0.21868272,0.18518272,-0.7458363476265462,0.54,270.0,418,415,2024-06-12,LATUR,537,2024-06-30T00:00:00,8.25,3.375528,300,297,282,288,0.9789997,2023-07-01T00:00:00,30.908410256410253,Malegaon Kh.,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95027114261289,18.685002825450255]}"
4_0,0.46,0.06845732,4.1,0.24,3.88,0.089504875,972.7,8.56,138,0.23240244,0.41,8.99,0.09209024,3.08,0.20315365,0.14019756,2.4438076347274347,0.64,180.0,417,415,2024-06-12,LATUR,529,2024-06-30T00:00:00,8.2,3.3650303,301,296,281,289,0.92740995,2023-07-01T00:00:00,30.908410256410253,Malegaon Kh.,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94757619676054,18.685541814620727]}"
5_0,0.36,0.06708452,2.66,0.18,6.34,0.08576547,401.77,19.5,125,0.22638452,0.3,15.35,0.09145119,7.63,0.20097381,0.14073572,0.0014917059924815527,0.8,-0.0,406,399,2024-06-12,LATUR,527,2024-06-30T00:00:00,8.3,3.375528,307,304,287,297,0.92740995,2023-07-01T00:00:00,30.952894736842108,Malegaon Kh.,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.96051193685186,18.679073944575066]}"
6_0,0.41,0.06708452,4.36,0.19,3.06,0.08576547,676.66,8.78,125,0.22638452,0.29,6.8,0.09145119,6.43,0.20097381,0.14073572,0.0014917059924815527,0.54,-0.0,406,399,2024-06-12,LATUR,527,2024-06-30T00:00:00,8.18,3.375528,307,304,287,297,0.92740995,2023-07-01T00:00:00,30.952894736842108,Malegaon Kh.,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.96051193685186,18.679073944575066]}"
7_0,0.31,0.06039881,4.78,0.27,2.9,0.089505956,359.48,9.72,188,0.20808214,0.36,9.21,0.10591548,5.73,0.19807261,0.14597262,-1.9913808233053765,0.64,35.134716,400,400,2024-06-12,LATUR,530,2024-06-30T00:00:00,8.11,3.375528,315,309,284,291,3.3983922,2023-07-01T00:00:00,30.923650000000002,Malegaon Kh.,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9645543556304,18.675031525796527]}"
8_0,0.31,0.06708452,3.74,0.15,3.84,0.08576547,412.34,10.16,113,0.22638452,0.39,6.8,0.09145119,6.49,0.20097381,0.14073572,0.0014917059924815527,0.78,-0.0,406,399,2024-06-12,LATUR,527,2024-06-30T00:00:00,8.16,3.375528,307,304,287,297,0.92740995,2023-07-01T00:00:00,30.952894736842108,Malegaon Kh.,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.96051193685186,18.679073944575066]}"
9_0,0.36,0.04824186,2.88,0.53,3.28,0.07009302,475.78,9.14,151,0.20354651,0.35,10.09,0.08027442,4.22,0.20739302,0.14369535,-1.151726484400741,0.76,270.0,404,421,2024-06-12,LATUR,496,2024-06-30T00:00:00,8.14,3.5198128,316,308,280,271,2.935341,2023-07-01T00:00:00,30.718000000000004,Mogha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.02357366979705,18.72111509987186]}"
11_0,0.36,0.03747805,3.86,0.45,2.56,0.059621952,359.48,8.68,125,0.23389512,0.36,7.02,0.06780732,5.97,0.18202683,0.1178561,-1.43395892649625,0.6,270.0,362,372,2024-06-15,LATUR,644,2024-06-30T00:00:00,7.2,2.9318867,316,302,321,326,1.952475,2023-07-01T00:00:00,30.889621621621625,Mahadeowadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.61178594355665,18.25003856487958]}"
12_0,0.31,0.03747805,2.44,0.31,2.22,0.059621952,972.7,4.62,125,0.23389512,0.32,8.55,0.06780732,7.09,0.18202683,0.1178561,-1.43395892649625,0.34,270.0,362,372,2024-06-15,LATUR,644,2024-06-30T00:00:00,7.98,2.9318867,316,302,321,326,1.952475,2023-07-01T00:00:00,30.889621621621625,Mahadeowadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.61178594355665,18.25003856487958]}"
13_0,0.36,0.05601951,3.84,0.41,2.88,0.079112194,1025.56,22.42,125,0.19554879,0.3,13.38,0.10067805,7.09,0.19306585,0.14429513,0.003949854142418097,0.62,180.0,362,372,2024-06-15,LATUR,644,2024-06-30T00:00:00,7.83,2.9318867,316,302,321,326,1.8543341,2023-07-01T00:00:00,30.889621621621625,Mahadeowadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.61124695438619,18.250308059464817]}"
14_0,0.31,0.05601951,3.74,0.3,2.32,0.079112194,507.49,17.1,151,0.19554879,0.05,8.99,0.10067805,8.54,0.19306585,0.14429513,0.003949854142418097,0.66,180.0,362,372,2024-06-15,LATUR,644,2024-06-30T00:00:00,7.2,2.9318867,316,302,321,326,1.8543341,2023-07-01T00:00:00,30.889621621621625,Mahadeowadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.61124695438619,18.250308059464817]}"
15_0,0.41,0.042746343,3.3,0.42,2.42,0.06232439,348.9,9.3,151,0.15743902,0.2,8.55,0.07774634,6.97,0.15359512,0.11236341,-1.8394256518452887,0.54,270.0,362,372,2024-06-15,LATUR,644,2024-06-30T00:00:00,7.81,2.9318867,316,302,321,326,2.9273016,2023-07-01T00:00:00,30.889621621621625,Mahadeowadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.61178594355665,18.250308059464817]}"
16_0,0.36,0.057212196,2.48,0.24,1.6,0.08349268,422.91,19.84,125,0.21998292,0.29,12.5,0.09473903,8.9,0.1870317,0.1362561,-0.6892283113314819,0.98,-0.0,373,375,2024-06-15,LATUR,647,2024-06-30T00:00:00,7.9,2.9318867,314,306,313,318,0.92740995,2023-07-01T00:00:00,30.908864864864864,Mahadeowadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.61421139482378,18.254619972828593]}"
17_0,0.46,0.06653903,4.04,0.46,1.78,0.09484634,338.33,20.06,138,0.21627073,0.36,7.89,0.12061951,9.08,0.20833415,0.15952682,-2.1090209961808535,0.6,194.7484,373,375,2024-06-15,LATUR,645,2024-06-30T00:00:00,8.01,2.9318867,314,306,313,318,3.8306422,2023-07-01T00:00:00,30.908864864864864,Mahadeowadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.61394190023854,18.254350478243357]}"
18_0,0.36,0.057841465,2.4,0.28,1.7,0.0848561,306.61,8.56,138,0.20787561,0.41,11.62,0.10478537,8.03,0.19112682,0.14408293,-2.0755190951816944,0.94,180.0,373,375,2024-06-15,LATUR,646,2024-06-30T00:00:00,7.82,2.9318867,314,306,313,318,3.7047918,2023-07-01T00:00:00,30.908864864864864,Mahadeowadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.61421139482378,18.254350478243357]}"
19_0,0.26,0.050502438,1.94,0.24,1.6,0.07057561,866.97,6.66,151,0.19534147,0.2,11.18,0.08269756,6.85,0.17084147,0.12164878,-1.5356852999956991,0.74,295.39993,374,373,2024-06-15,LATUR,642,2024-06-30T00:00:00,7.92,2.9318867,312,307,314,320,2.1612897,2023-07-01T00:00:00,30.889621621621625,Mahadeowadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.61394190023854,18.25596744575477]}"
20_0,0.41,0.07995,2.42,0.25,1.5,0.09178095,338.33,8.74,125,0.18420239,0.24,10.31,0.10065714,8.21,0.17770715,0.13354285,-1.504762139158109,0.88,152.23228,398,393,2024-06-15,LATUR,645,2024-06-30T00:00:00,7.87,2.9318867,297,296,305,311,2.0954604,2023-07-01T00:00:00,30.894432432432428,Mahadeowadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.62229623238086,18.26243531580043]}"
