system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.03519,0.052646343,4.32,0.6,2.58,0.07498049,224,12.48,211.9936,0.22693902,0.1085,14.58688,0.07925366,1.98122,0.1679,0.111563414,-1.4636517446644997,1.38,46.40082,368,398,2024-06-05,SATARA,694,2024-06-30T00:00:00,7.8,2.9347444,340,324,292,278,4.028205,2023-07-01T00:00:00,30.746777777777783,Limb,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.9958020046722,17.77545860027924]}"
1_0,0.02754,0.0741561,5.06,0.64,1.26,0.093131706,459.2,17.6,298.5472,0.2289439,0.26474,6.70208,0.08963902,3.10104,0.19820976,0.13819024,1.1773763219722362,1.7,115.461685,380,404,2024-06-05,SATARA,713,2024-06-30T00:00:00,7.9,2.9347444,332,317,288,279,2.1564012,2023-07-01T00:00:00,30.844342857142856,Limb,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.9912205967232,17.766026289795985]}"
2_0,0.05202,0.052646343,2.4,0.52,0.76,0.07498049,459.2,17.62,338.688,0.22693902,0.31248,14.58688,0.07925366,0.30149,0.1679,0.111563414,-1.4636517446644997,0.92,46.40082,368,398,2024-06-05,SATARA,694,2024-06-30T00:00:00,7.8,2.9347444,340,324,292,278,4.028205,2023-07-01T00:00:00,30.746777777777783,Limb,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.9958020046722,17.77545860027924]}"
3_0,0.00765,0.052646343,2.4,0.47,0.5,0.07498049,347.2,2.18,234.5728,0.22693902,0.13888,27.99104,0.07925366,1.2921,0.1679,0.111563414,-1.4636517446644997,0.46,46.40082,368,398,2024-05-28,SATARA,694,2024-06-30T00:00:00,7.8,2.9347444,340,324,292,278,4.028205,2023-07-01T00:00:00,30.746777777777783,Limb,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.9958020046722,17.77545860027924]}"
4_0,0.01377,0.052646343,1.62,0.44,0.24,0.07498049,526.4,1.38,240.8448,0.22693902,0.16926,20.10624,0.07925366,3.10104,0.1679,0.111563414,-1.4636517446644997,1.64,46.40082,368,398,2024-06-05,SATARA,694,2024-06-30T00:00:00,7.6,2.9347444,340,324,292,278,4.028205,2023-07-01T00:00:00,30.746777777777783,Limb,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.9958020046722,17.77545860027924]}"
5_0,0.01224,0.07107805,1.76,0.48,1.08,0.092136584,414.4,2.94,270.9504,0.18791951,0.24087,10.64448,0.1068561,1.98122,0.18912439,0.14515123,-0.43218893608038284,0.44,64.53963,393,423,2024-06-05,SATARA,708,2024-06-30T00:00:00,7.7,2.9347444,329,313,278,264,2.1565049,2023-07-01T00:00:00,30.835942857142857,Limb,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.98663918877418,17.77653657862018]}"
6_0,0.01989,0.061685,5.62,0.23,2.22,0.0833175,324.79999999999995,17.36,263.424,0.2593725,0.217,23.6544,0.07935,1.93815,0.1738375,0.1077125,1.361326297984844,0.44,115.48239,375,397,2024-06-06,SATARA,724,2024-06-30T00:00:00,6.8,3.3135567,339,331,287,272,2.154768,2023-07-01T00:00:00,30.660628571428568,Asangaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.94459803347739,17.598939646949752]}"
7_0,0.01989,0.06669756,4.06,0.33,6.38,0.090585366,470.4,10.86,238.336,0.22723658,0.18228,18.52928,0.10890732,1.59359,0.22509757,0.1588122,-1.3443853326903552,0.16,133.6274,371,394,2024-06-06,SATARA,739,2024-06-30T00:00:00,6.8,3.3135567,341,334,288,272,5.361323,2023-07-01T00:00:00,30.72716666666666,Asangaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.94028612011361,17.59840065777928]}"
8_0,0.01836,0.09401952,4.82,0.36,8.98,0.11582927,616,14.76,282.24,0.26164147,0.27342,7.8848,0.13631952,0.64605,0.25019756,0.17984146,-0.9030361390574877,0.14,57.56434,399,431,2024-06-06,SATARA,753,2024-06-30T00:00:00,6.6,3.3135567,349,336,251,234,6.883716,2023-07-01T00:00:00,30.618888888888883,Asangaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.93462673382366,17.590854809392678]}"
9_0,0.02142,0.08837073,4.36,0.33,5.04,0.10933902,414.4,13.58,171.85279999999997,0.29103413,0.0651,11.43296,0.109341465,1.80894,0.20005853,0.13365854,-2.1933718253973313,0.14,332.32162,399,431,2024-06-06,SATARA,747,2024-06-30T00:00:00,6.7,3.3135567,349,336,251,234,4.1819143,2023-07-01T00:00:00,30.72716666666666,Asangaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.93462673382366,17.591932787733622]}"
