system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.063374326,0.668,0.048,9.364,0.07486081,120.9,3.168,326.1,0.29519594,0.57,21.95,0.055844594,0,0.18244325,0.09022703,-2.8910903023832084,0.538,83.34025,289,301,2024-01-24,SOUTH GARO HILLS,219,2024-06-30T00:00:00,4.9,9.230969,412,401,299,298,29.175873,2023-07-01T00:00:00,29.945235294117644,Dambuk Aga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.72818181279605,25.19060211304383]}"
1_0,0.581,0.050181083,0.67,0.062,13.92,0.06453243,160.1,4.15,476.6,0.23928514,0.93,14.78,0.054868918,6.05,0.18613108,0.10537973,-2.384405186673654,0.1,140.34824,266,274,2024-03-18,SOUTH GARO HILLS,78,2024-06-30T00:00:00,5.7,8.958778,407,397,327,328,9.54769,2023-07-01T00:00:00,29.970903225806452,Matchakol,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.77561285979756,25.186290199680055]}"
2_0,0.441,0.07451415,0.402,0.081,8.87,0.08431604,135.5,5.12,376.32,0.26962075,0.78,10.75,0.06947359,5.82,0.19510283,0.11110189,-2.029411074530009,0.402,245.66817,256,290,2024-03-11,SOUTH GARO HILLS,52,2024-06-30T00:00:00,4.8,8.155514,404,383,340,327,6.722223,2023-07-01T00:00:00,29.927351351351348,Samangittim,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.69961538676105,25.261209694375623]}"
3_0,0.515,0.104884416,0.22,0.061,11.904,0.11583766,150,2.056,526.8,0.22237273,0.9,12.09,0.11368571,8.74,0.2115948,0.1528052,-3.5720529801832055,0.69,183.71945,271,302,2024-03-17,SOUTH GARO HILLS,40,2024-06-30T00:00:00,5.7,8.683273,404,383,325,314,15.417418,2023-07-01T00:00:00,29.903000000000006,Gulpani Bibra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.64517748054341,25.19464453182237]}"
4_0,0.3,0.10762321,0.22,0.09,8.756,0.116780356,134.4,4.024,501.7,0.29309464,0.9,9.4,0.10525,12.1,0.24375178,0.15835,-1.9433046352308352,0.69,221.51042,244,265,2024-03-15,SOUTH GARO HILLS,39,2024-06-30T00:00:00,6,8.258737,377,375,379,360,6.168942,2023-07-01T00:00:00,29.945696969696968,Bolsal Ading,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.40586628885397,25.32400193273558]}"
5_0,0.016,0.12205714,0.83,0.03,15.16,0.14084107,134.4,1.04,476.6,0.35004643,0.9,9.85,0.13445714,7.33,0.36685893,0.2551018,-1.4309943307794104,0.578,-0.0,278,303,2024-03-15,SOUTH GARO HILLS,58,2024-06-30T00:00:00,5.2,7.8027406,375,372,347,325,1.8543341,2023-07-01T00:00:00,30.051812499999997,Agolgre,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.28486322008307,25.33370373780407]}"
6_0,0.323,0.054562163,0.49,0.039,13.24,0.070077024,148.9,5.02,476.6,0.26447433,0.99,12.09,0.06008108,8.67,0.19950135,0.11884595,-3.656296606288001,0.33,166.20311,266,274,2024-03-18,SOUTH GARO HILLS,77,2024-06-30T00:00:00,5.8,8.958778,407,397,327,328,16.701178,2023-07-01T00:00:00,29.970903225806452,Matchakol,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.77372639770091,25.184942726753878]}"
7_0,0.346,0.16905944,0.603,0.069,12.13,0.20759812,119.8,6.13,250.88,0.3213764,0.57,13.44,0.25703964,7.62,0.4691264,0.43449244,-0.7371989079164454,0.713,180.0,281,303,2024-03-11,SOUTH GARO HILLS,24,2024-06-30T00:00:00,4.9,8.155514,382,372,337,324,0.92740995,2023-07-01T00:00:00,29.948216216216217,Rongru Asim,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.67751683077172,25.25312485681855]}"
8_0,0.321,0.065417565,0.089,0.092,12.01,0.090393245,190.4,4.872,401.4,0.2065027,0.9,11.64,0.076483786,7.32,0.19564189,0.11629054,3.619751473423907,0.366,198.7817,277,310,2024-03-11,SOUTH GARO HILLS,29,2024-06-30T00:00:00,5.5,8.613816,406,384,317,306,12.531786,2023-07-01T00:00:00,29.87211764705883,Karwani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.64868091015148,25.205154820646566]}"
9_0,0.253,0.07143929,0.22,0.078,12.752,0.086935714,134.4,2.448,376.3,0.2456875,0.69,9.4,0.07940357,2.89,0.21995357,0.14323036,-2.5821226940847706,0.944,142.24527,233,255,2024-03-15,SOUTH GARO HILLS,43,2024-06-30T00:00:00,6.1,8.258737,392,390,374,355,11.570987,2023-07-01T00:00:00,29.926400000000005,Bolsal Ading,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.40182387007543,25.323462943565108]}"
10_0,0.521,0.055255845,0.312,0.09,2.12,0.07229091,144.5,4.12,451.5,0.35178182,0.96,14.78,0.05421948,8.141,0.22345974,0.11701948,-3.6142490173498647,0.301,205.80162,259,281,2024-03-18,SOUTH GARO HILLS,202,2024-06-30T00:00:00,6,9.738431,415,397,327,322,16.049715,2023-07-01T00:00:00,29.912800000000008,Chenggni Songgital,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.81549805841247,25.183864748412933]}"
11_0,0.21,0.14312546,0.28,0.036,8.46,0.1544709,174.8,5.7,426.4,0.33795637,0.84,15.23,0.14243273,6.61,0.30310726,0.19897091,-2.1241249217727356,1.28,180.0,262,288,2024-03-15,SOUTH GARO HILLS,113,2024-06-30T00:00:00,5.4,7.8723464,397,380,341,331,3.7047918,2023-07-01T00:00:00,29.938588235294116,Boldamgre,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.35654877975581,25.330469802781238]}"
12_0,0.513,0.12205714,0.412,0.05,6.48,0.14084107,128.8,2.218,401.4,0.35004643,0.9,14.75,0.13445714,8.23,0.36685893,0.2551018,-1.4309943307794104,0.218,-0.0,278,303,2024-03-15,SOUTH GARO HILLS,58,2024-06-30T00:00:00,5,7.8027406,375,372,347,325,1.8543341,2023-07-01T00:00:00,30.051812499999997,Agolgre,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.28486322008307,25.33370373780407]}"
13_0,0.212,0.14398572,0.216,0.039,6.112,0.14645536,175.8,5.51,401.4,0.31523392,0.9,12.99,0.12497143,5.98,0.24434464,0.14641072,-3.1108137911290563,0.484,68.11266,257,281,2024-03-14,SOUTH GARO HILLS,170,2024-06-30T00:00:00,5.2,7.8723464,395,378,348,342,9.853767,2023-07-01T00:00:00,29.947941176470593,Boldamgre,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.36571159565383,25.322115470638927]}"
14_0,0.412,0.104884416,0.466,0.052,4.562,0.11583766,180.3,4.01,426.9,0.22237273,0.87,12.09,0.11368571,7.711,0.2115948,0.1528052,-3.5720529801832055,1.02,183.71945,271,302,2024-03-18,SOUTH GARO HILLS,40,2024-06-30T00:00:00,5.4,8.683273,404,383,325,314,15.417418,2023-07-01T00:00:00,29.903000000000006,Rongtotma,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.64517748054341,25.19464453182237]}"
15_0,0.361,0.087435186,0.084,0.072,10.784,0.10636852,156.8,2.628,326.1,0.28636482,0.72,8.06,0.10808704,10.35,0.29944074,0.20538148,-1.6249769483986285,0.26,294.3196,287,315,2024-03-18,SOUTH GARO HILLS,45,2024-06-30T00:00:00,5.8,7.8027406,371,365,342,320,2.2509828,2023-07-01T00:00:00,30.018,Bugigre,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.29564300349251,25.32993081361077]}"
17_0,0,0.125532,0.42,0.062,6.772,0.133632,105.3,1.456,376.3,0.26415,0.78,18.81,0.120752,0,0.223842,0.14366,-2.3599691295392247,1.28,289.1913,263,301,2024-01-29,SOUTH GARO HILLS,34,2024-06-30T00:00:00,4.9,8.380849,422,394,315,305,13.83232,2023-07-01T00:00:00,29.974625000000003,Nilwa Adinggre,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.57780383423444,25.180361318804866]}"
18_0,0.821,0.14104643,0.216,0.093,8.996,0.1428,182.5,3.2,476.6,0.32492322,0.96,14.78,0.122533925,10.45,0.22089642,0.1380125,-3.250768164349564,0.613,260.67056,244,269,2024-03-18,SOUTH GARO HILLS,152,2024-06-30T00:00:00,5.8,8.21487,398,382,358,348,11.294081,2023-07-01T00:00:00,29.909176470588235,Chibokgre,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.3797253140861,25.369816012225673]}"
19_0,0.44,0.094269,0.21,0.074,6.33,0.1148,145.6,9.91,451.5,0.30401,0.87,17.02,0.118131,3.36,0.237111,0.157909,-3.0548325982496416,0.1,78.63675,272,300,2024-03-19,SOUTH GARO HILLS,178,2024-06-30T00:00:00,5.5,8.299255,410,387,318,312,9.331399,2023-07-01T00:00:00,29.886216216216223,Chutmang Gonggrot,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.73357170450078,25.263365651057512]}"
20_0,0.4,0.08507606,0.32,0.068,9.12,0.09538451,144.5,5.21,426.4,0.23545775,0.98,14.78,0.0849155,9.2,0.1983507,0.11956479,-2.832136648180653,1.14,107.91032,281,315,2024-03-25,SOUTH GARO HILLS,37,2024-06-30T00:00:00,5.9,8.380849,380,357,339,328,14.74538,2023-07-01T00:00:00,29.951533333333334,Dasanggre,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.5902005851553,25.185751210509583]}"
21_0,0.52,0.12201087,0.712,0.056,12.1,0.13594347,148.9,4.41,376.3,0.3009587,0.87,10.75,0.13140436,7.92,0.28227392,0.20737827,3.03698219101763,0.612,54.097126,273,310,2024-03-25,SOUTH GARO HILLS,34,2024-06-30T00:00:00,5.8,8.380849,396,371,330,318,6.301012,2023-07-01T00:00:00,29.951533333333334,Dasanggre,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.58993109057006,25.18413424299817]}"
22_0,0.527,0.16568929,0.162,0.034,4.99,0.18208572,190.4,3.562,275.9,0.32891965,0.69,15.68,0.174875,7.33,0.31746072,0.22600894,-3.49626513286792,0.402,79.037834,257,281,2024-03-14,SOUTH GARO HILLS,171,2024-06-30T00:00:00,5.6,7.8723464,395,378,348,342,14.32601,2023-07-01T00:00:00,29.947941176470593,Boldamgre,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.36517260648336,25.322923954394636]}"
