system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.25,0.129212,0.026,0.11,1.26,0.143032,113.12,0.222,250.88,0.270308,0.39,10.08,0.147576,15.89,0.262776,0.186292,-3.3104676342485297,0.312,302.31195,351,368,2024-03-19,SOUTH WEST KHASI HILLS,1570,2024-06-30T00:00:00,5.7,10.237086,347,339,302,293,11.968905,2023-07-01T00:00:00,29.520111111111117,Shngimawlein,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.48249715687122,25.374936409345157]}"
2_0,0.1,0.060426924,0.018,0.07,1.308,0.07863077,125.44,0.312,200.7,0.2158923,0.39,23.52,0.09521923,15.11,0.2457577,0.16498846,0.02644417193221084,0.146,167.51978,346,371,2024-03-19,SOUTH WEST KHASI HILLS,1532,2024-06-30T00:00:00,5.3,10.237086,353,341,301,287,4.738851,2023-07-01T00:00:00,29.489944444444447,Sohkhyllam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.45581719293287,25.36227016383907]}"
3_0,0.25,0.035437036,0.04,0.11,1.086,0.053874075,144.48,0.266,250.88,0.29036668,0.78,23.52,0.03861111,16.22,0.15314814,0.07720741,-3.3711201286559924,0.224,205.98051,361,368,2024-03-19,SOUTH WEST KHASI HILLS,1607,2024-06-30T00:00:00,5.9,8.986178,337,336,302,296,24.23675,2023-07-01T00:00:00,29.412864864864872,Nongsynrieh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.4733343409732,25.456323774086385]}"
4_0,0.34,0.09684815,0.004,0.12,0.896,0.0888037,76.16,0.756,275.92,0.2774852,0.53,4.48,0.06617037,25.23,0.15876667,0.08981481,-0.5333609541291839,0.082,127.79449,279,285,2024-01-25,SOUTH WEST KHASI HILLS,38,2024-06-30T00:00:00,5.87,12.24743,431,419,290,296,9.005813,2023-07-01T00:00:00,30.010277777777787,Chijongchiring,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.31298506275786,25.206502293572747]}"
6_0,0.24,0.04734074,0.042,0.01,2.094,0.063281484,175.84,0.602,234.14,0.27042037,0.82,3.36,0.050944444,16.44,0.17711112,0.097575925,-1.6761076622887712,0.112,200.22739,282,295,2024-02-16,SOUTH WEST KHASI HILLS,87,2024-06-30T00:00:00,5.2,12.141844,428,415,291,291,11.696187,2023-07-01T00:00:00,29.89394736842106,Pamdaba,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.238874051818,25.225366914539254]}"
7_0,0.24,0.08608148,0.02,0.19,1.42,0.09667037,71.68,0.124,301.06,0.29656297,0.78,4.48,0.07683704,22.21,0.18867964,0.10761852,-2.446965278189645,0.092,270.0,285,277,2024-01-25,SOUTH WEST KHASI HILLS,667,2024-06-30T00:00:00,5.97,12.001736,417,421,298,302,5.1135383,2023-07-01T00:00:00,29.789722222222224,Dirang,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.26797946702348,25.245579008431946]}"
8_0,0.39,0.08623333,0.01,0.19,1.346,0.09703148,124.32,0.318,275.97,0.25733703,0.78,4.48,0.09090926,25.98,0.22199816,0.14521852,-2.78347744999946,0.066,270.0,279,272,2024-01-25,SOUTH WEST KHASI HILLS,663,2024-06-30T00:00:00,5.36,12.001736,419,422,302,306,7.1409965,2023-07-01T00:00:00,29.818166666666666,Dirang,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.2666319940973,25.24854344886954]}"
9_0,0.39,0.087710716,0.006,0.24,0.886,0.10077857,209.44,0.892,275.97,0.235875,0.78,8.96,0.10116429,23.72,0.2177,0.15049286,-2.387998481040741,0.028,106.75377,356,369,2024-01-25,SOUTH WEST KHASI HILLS,1574,2024-06-30T00:00:00,5.39,9.780893,344,340,300,291,9.562878,2023-07-01T00:00:00,29.391538461538456,Mawthong,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.45851213878522,25.429643810148036]}"
10_0,0.1,0.07816429,0.024,0.14,2.096,0.09106786,315.84,0.326,225.79,0.3186607,0.78,61.6,0.07211786,10.01,0.19929643,0.11534643,-3.6288585062584215,0.2,-0.0,370,381,2024-03-19,SOUTH WEST KHASI HILLS,1592,2024-06-30T00:00:00,5.97,9.780893,340,336,290,283,16.24506,2023-07-01T00:00:00,29.431621621621627,Nongsynrieh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.4665969763423,25.411587672937234]}"
11_0,0.37,0.10652083,0.02,0.11,1.302,0.10152084,169.12,0.12,351.23,0.27557915,0.92,15.68,0.08181458,13.98,0.17775834,0.10225208,-4.105552158866027,0.2,37.57602,310,304,2024-03-26,SOUTH WEST KHASI HILLS,1070,2024-06-30T00:00:00,5.2,10.869907,392,395,298,300,25.16302,2023-07-01T00:00:00,29.629885714285717,Mawbidong,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.46498000883089,25.297052474211995]}"
