system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.08136522,0,0,0,0.103624634,287.431,0,188.1,0.21378696,0.75,13.55,0.12176956,0,0.25932318,0.19352318,-0.809682379118278,0,90.0,357,339,2024-05-29,CHAMPHAI,1290,2024-06-30T00:00:00,5.7,5.409635,252,260,390,401,1.011035,2023-07-01T00:00:00,29.681135135135136,Bethel,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.35063362172617,23.469340197142415]}"
1_0,0,0.058343075,0,0,0,0.08373693,286.418,0,137.64,0.20429538,0.7,17.2,0.093813844,0,0.20856307,0.14661385,1.8808940804458338,0,47.46865,354,340,2024-05-29,CHAMPHAI,1298,2024-06-30T00:00:00,5.1,5.409635,246,251,400,409,1.3717791,2023-07-01T00:00:00,29.69313513513514,Bethel,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.35440654591947,23.45990788665916]}"
2_0,0,0.08759855,0,0,0,0.114437684,281.743,0,137.94,0.22506233,0.6,19.79,0.13415797,0,0.24196087,0.18978986,-1.114931319553731,0,227.4704,355,340,2024-05-29,CHAMPHAI,1287,2024-06-30T00:00:00,5.6,5.4982204,251,258,394,402,1.3718245,2023-07-01T00:00:00,29.681135135135136,Bethel,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.34901665421476,23.467992724216234]}"
3_0,0,0.06700769,0,0,0,0.08794769,194.134,0,188.1,0.19990307,0.45,18.63,0.101736926,0,0.21238461,0.15297846,0.4945973806758786,0,47.46889,351,338,2024-05-29,CHAMPHAI,1289,2024-06-30T00:00:00,5.1,5.4982204,244,249,405,413,1.3717853,2023-07-01T00:00:00,29.6871052631579,Tlangsam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.3492861488,23.460985865000104]}"
4_0,0,0.06773077,0,0,0,0.08818923,168.745,0,175.56,0.22037539,0.4,17.3,0.10374615,0,0.24755539,0.18236154,-1.1148352671520487,0,227.4687,351,335,2024-05-29,CHAMPHAI,1291,2024-06-30T00:00:00,5.2,5.409635,241,248,408,417,2.7419903,2023-07-01T00:00:00,29.69313513513514,Tlangsam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.35090311631141,23.460177381244396]}"
5_0,0,0.08481159,0,0,0,0.107465215,287.816,0,200.64,0.22344783,0.8,23.09,0.11868261,0,0.22006522,0.15876377,-0.10326144086292695,0,47.46913,338,325,2024-05-29,CHAMPHAI,1293,2024-06-30T00:00:00,5.5,5.4982204,247,249,415,426,5.4715214,2023-07-01T00:00:00,29.643351351351352,Zotlang East,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.33688939787915,23.46233333792628]}"
6_0,0,0.075036235,0,0,0,0.10027971,314.003,0,163.02,0.23771884,0.35,18.98,0.11607971,0,0.24973044,0.17946522,-1.546563889477993,0,331.4053,362,344,2024-05-29,CHAMPHAI,1289,2024-06-30T00:00:00,5.3,5.4982204,246,255,391,401,2.1117134,2023-07-01T00:00:00,29.681135135135136,Bethel,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.34847766504429,23.470148680898124]}"
7_0,0,0.07090159,0,0,0,0.10358254,281.43,0,137.94,0.15812063,0.45,28.39,0.107255556,0,0.13191429,0.09555238,0.6946065835165656,0,270.0,354,341,2024-05-29,CHAMPHAI,1294,2024-06-30T00:00:00,5.3,5.4982204,244,248,402,411,2.0212154,2023-07-01T00:00:00,29.566054054054053,Vengthlang North,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.33661990329391,23.45478748953968]}"
8_0,0,0.045409232,0,0,0,0.06346769,243.119,0,150.48,0.18783385,0.6,8.56,0.06797231,0,0.17109539,0.11093538,-1.8079772726959007,0,312.53146,354,340,2024-05-29,CHAMPHAI,1298,2024-06-30T00:00:00,5.3,5.409635,246,251,400,409,2.741981,2023-07-01T00:00:00,29.69313513513514,Bethel,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.35332856757853,23.459368897488687]}"
9_0,0,0.055978462,0,0,0,0.07915384,145.41,0,180.48,0.19882,0.4,18.64,0.090916924,0,0.19777077,0.14642462,1.579318781341149,0,180.0,354,340,2024-05-29,CHAMPHAI,1298,2024-06-30T00:00:00,5.6,5.409635,246,251,400,409,1.8543341,2023-07-01T00:00:00,29.69313513513514,Bethel,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.35386755674901,23.460177381244396]}"
10_0,0,0.08864203,0,0,0,0.11955797,172.461,0,200.64,0.22243768,0.6,8.36,0.1406145,0,0.25924638,0.2051087,-1.9082925373817696,0,270.0,357,339,2024-05-29,CHAMPHAI,1290,2024-06-30T00:00:00,5.5,5.4982204,252,260,390,401,3.0305839,2023-07-01T00:00:00,29.681135135135136,Bethel,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.34982513797047,23.46907070255718]}"
11_0,0,0.07821159,0,0,0,0.100847825,213.483,0,225.72,0.20780435,0.9,20.85,0.10928841,0,0.21733913,0.15746957,-2.2215503779210475,0,77.08401,343,337,2024-05-29,CHAMPHAI,1291,2024-06-30T00:00:00,5.5,5.4982204,240,241,416,423,4.142203,2023-07-01T00:00:00,29.643351351351352,Kahrawt,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.33769788163485,23.46583676753435]}"
12_0,0,0.0871029,0,0,0,0.10881305,281.211,0,150.48,0.16966087,0.4,22.73,0.12241449,0,0.18788406,0.14477827,1.2261140760729052,0,28.593077,352,342,2024-05-29,CHAMPHAI,1293,2024-06-30T00:00:00,5.3,5.4982204,248,248,400,410,2.1116807,2023-07-01T00:00:00,29.643351351351352,Zotlang East,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.33850636539056,23.46125535958534]}"
13_0,0,0.05861905,0,0,0,0.08053492,251.816,0,175.56,0.2359,0.9,15.74,0.09116667,0,0.24142222,0.18268254,-1.1147215375369286,0,312.5335,366,347,2024-05-29,CHAMPHAI,1309,2024-06-30T00:00:00,5.3,5.686503,248,255,386,398,1.3717227,2023-07-01T00:00:00,29.562486486486485,Kanan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.3358114195382,23.449936587005432]}"
14_0,0,0.0796403,0,0,0,0.09872239,290.118,0,200.64,0.21655075,0.5,20.81,0.11441492,0,0.23480448,0.17418209,-1.9528832232064062,0,252.99771,351,338,2024-05-29,CHAMPHAI,1289,2024-06-30T00:00:00,5.3,5.4982204,244,249,405,413,3.1686528,2023-07-01T00:00:00,29.6871052631579,Bethel,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.34901665421476,23.46233333792628]}"
15_0,0,0.089369565,0,0,0,0.12345507,217.346,0,188.1,0.24556087,0.5,15.63,0.14078261,0,0.24882174,0.1916145,-1.5982457372034693,0,114.63841,343,337,2024-05-29,CHAMPHAI,1290,2024-06-30T00:00:00,5.6,5.4982204,240,241,416,423,2.2236674,2023-07-01T00:00:00,29.643351351351352,Vengthlang North,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.33823687080533,23.46637575670482]}"
16_0,0,0.07006154,0,0,0,0.09180154,275.438,0,200.64,0.21731693,0.9,12.84,0.10307231,0,0.21618155,0.15907231,2.1348710999340574,0,90.0,351,338,2024-05-29,CHAMPHAI,1289,2024-06-30T00:00:00,5.6,5.4982204,244,249,405,413,1.0109733,2023-07-01T00:00:00,29.6871052631579,Tlangsam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.34901665421476,23.46125535958534]}"
17_0,0,0.08360725,0,0,0,0.106891304,178.084,0,137.94,0.2325029,0.75,18.16,0.123471014,0,0.27308986,0.20258841,-0.8096917359870945,0,90.0,357,339,2024-05-29,CHAMPHAI,1291,2024-06-30T00:00:00,5.7,5.4982204,252,260,390,401,1.0110371,2023-07-01T00:00:00,29.681135135135136,Bethel,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.34955564338523,23.46960969172765]}"
18_0,0,0.08136522,0,0,0,0.103624634,214.309,0,137.94,0.21378696,0.5,19.68,0.12176956,0,0.25932318,0.19352318,-0.809682379118278,0,90.0,357,339,2024-05-29,CHAMPHAI,1290,2024-06-30T00:00:00,5.5,5.409635,252,260,390,401,1.011035,2023-07-01T00:00:00,29.681135135135136,Bethel,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.35063362172617,23.469340197142415]}"
19_0,0,0.07492029,0,0,0,0.10135652,194.811,0,200.64,0.24583334,0.9,11.76,0.1165,0,0.2626942,0.18383333,-1.374008738253613,0,301.4462,362,344,2024-05-29,CHAMPHAI,1287,2024-06-30T00:00:00,5.8,5.4982204,246,255,391,401,3.5511103,2023-07-01T00:00:00,29.703351351351355,Bethel,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.34793867587382,23.47041817548336]}"
20_0,0,0.08903768,0,0,0,0.11535072,102.416,0,225.72,0.25461304,0.6,17.78,0.13818696,0,0.30755943,0.22334638,5.9982661749207,0,121.446144,358,341,2024-05-29,CHAMPHAI,1287,2024-06-30T00:00:00,5.5,5.4982204,240,247,402,412,3.5511158,2023-07-01T00:00:00,29.703351351351355,Bethel,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.34739968670334,23.47095716465383]}"
