system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.15597096,0,0,0,0.19493227,136.5,0,313.6,0.56320965,0.3,7.4,0.17155807,0,0.40405485,0.26333225,-3.695404889493729,0,311.55234,307,305,2024-05-30,HNAHTHIAL,821,2024-06-30T00:00:00,5.6,6.554508,292,292,401,403,32.396088,2023-07-01T00:00:00,29.592829268292682,Tarpho,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.9795395778564,23.0085044563891]}"
1_0,0,0.13043226,0,0,0,0.15023549,99.6,0,313.6,0.4540484,0.1,7.2,0.12938388,0,0.31568387,0.19631612,-4.076390620557469,0,280.03772,308,308,2024-05-30,HNAHTHIAL,910,2024-06-30T00:00:00,5.57,6.554508,290,289,402,402,24.908947,2023-07-01T00:00:00,29.547500000000003,Tarpho,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.982504018294,23.010929907656223]}"
2_0,0,0.20344193,0,0,0,0.23284194,89.7,0,313.6,0.4874871,0.3,7.6,0.22489677,0,0.39690968,0.29711935,-4.350290982169944,0,300.24017,307,305,2024-05-30,HNAHTHIAL,885,2024-06-30T00:00:00,5.29,6.554508,292,292,401,403,31.412695,2023-07-01T00:00:00,29.630390243902433,Tarpho,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.9803480616121,23.007695972633393]}"
3_0,0,0.11366129,0,0,0,0.12512903,135.6,0,313.6,0.34507743,0.3,7.6,0.12130322,0,0.25750324,0.17841935,-3.969915433360503,0,314.26285,307,307,2024-05-30,HNAHTHIAL,1037,2024-06-30T00:00:00,5.6,6.554508,317,314,376,379,22.659508,2023-07-01T00:00:00,29.630390243902433,Khawhri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.98492946956112,23.00796546721863]}"
4_0,0,0.059436925,0,0,0,0.081092305,74.2,0,313.6,0.29238,0.3,8.6,0.085595384,0,0.22367232,0.14590615,-3.176136011182766,0,178.2239,284,292,2024-05-29,HNAHTHIAL,883,2024-06-30T00:00:00,5.2,7.019263,310,304,406,404,29.546486,2023-07-01T00:00:00,29.64881081081081,Bualpui H,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.08410347692792,22.86782828289598]}"
5_0,0,0.036028124,0,0,0,0.061717186,143.8,0,313.6,0.31737033,0.1,13.7,0.04355781,0,0.19835626,0.09895625,-3.8046851545889697,0,200.3511,275,276,2024-05-30,HNAHTHIAL,635,2024-06-30T00:00:00,5.8,7.171355,319,321,406,403,35.29412,2023-07-01T00:00:00,29.627317073170722,Khawhri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.0614659317681,22.990178824593063]}"
6_0,0,0.0931871,0,0,0,0.103819355,132.4,0,313.6,0.2877129,0.3,8.6,0.10089032,0,0.21990323,0.15063548,-4.193644754914579,0,205.96678,298,300,2024-05-30,HNAHTHIAL,1065,2024-06-30T00:00:00,5.3,6.554508,330,326,371,375,27.571684,2023-07-01T00:00:00,29.630390243902433,Khawhri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.9862769424873,23.00715698346292]}"
7_0,0,0.07684375,0,0,0,0.08935,97.4,0,313.6,0.2502703,0.3,7.5,0.09507031,0,0.23467344,0.16840468,-3.9984124447232725,0,70.1834,288,287,2024-05-29,HNAHTHIAL,1205,2024-06-30T00:00:00,5.3,7.47552,300,299,411,414,23.255646,2023-07-01T00:00:00,29.56463414634146,Thingsai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.08814589570645,22.943017272176785]}"
8_0,0,0.06182923,0,0,0,0.07449077,101.6,0,313.6,0.29834306,0.7,9.2,0.060604617,0,0.17067076,0.09276769,-4.023195153899355,0,66.19733,318,319,2024-05-29,HNAHTHIAL,1116,2024-06-30T00:00:00,5.1,6.689715,318,314,363,367,23.807367,2023-07-01T00:00:00,29.586055555555554,Bualpui H,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.05661502923385,22.73281149569282]}"
9_0,0,0.053506896,0,0,0,0.076703444,142.6,0,313.6,0.36760345,0.1,12.7,0.05862069,0,0.22159311,0.12942414,-3.7195854535765998,0,18.929249,305,298,2024-05-30,HNAHTHIAL,832,2024-06-30T00:00:00,5.3,6.954834,323,321,372,381,18.012033,2023-07-01T00:00:00,29.685000000000002,Pangzawl South,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.93264752002537,22.954875033927166]}"
