system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.08458571,0,0,0,0.10461746,141.792,0,225.72,0.3018603,0.9,19.47,0.100125395,0,0.24195237,0.15736984,-3.2820033904424464,0,194.66011,343,333,2024-05-29,KHAWZAWL,1323,2024-06-30T00:00:00,5.9,5.445318,254,255,404,413,22.700182,2023-07-01T00:00:00,29.549888888888884,Chawngtlai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.2072625023807,23.447241641153074]}"
1_0,0,0.071227536,0,0,0,0.09056522,66.416,0,125.4,0.26846522,0.9,17.96,0.09086522,0,0.23970725,0.1649913,-3.8975153063738905,0,164.12729,328,323,2024-05-29,KHAWZAWL,1239,2024-06-30T00:00:00,5.4,5.38952,269,267,403,410,21.16029,2023-07-01T00:00:00,29.572526315789474,Chawngtlai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.19836918106792,23.44427720071548]}"
2_0,0,0.072206065,0,0,0,0.09555151,140.446,0,188.1,0.30459395,0.9,21.12,0.089248486,0,0.2676818,0.18087576,-3.029769298083737,0,119.846054,305,297,2024-05-29,KHAWZAWL,1261,2024-06-30T00:00:00,5.4,5.7308383,321,323,374,380,9.237431,2023-07-01T00:00:00,29.568166666666666,Khawhai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.12668362139517,23.359116911780948]}"
5_0,0,0.096423075,0,0,0,0.11682,104.496,0,213.18,0.27437538,0.9,11.58,0.11793077,0,0.25169846,0.17966154,-3.8251075378699384,0,171.54588,340,329,2024-05-29,KHAWZAWL,1142,2024-06-30T00:00:00,6.1,5.445318,262,263,398,408,19.801067,2023-07-01T00:00:00,29.549888888888884,Chawngtlai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.20375907277264,23.442929727789302]}"
6_0,0,0.06706508,0,0,0,0.090939686,95.424,0,163.02,0.2225,0.9,17.96,0.10425397,0,0.23542064,0.16744603,-3.454240647346861,0,192.29587,342,338,2024-05-29,KHAWZAWL,1354,2024-06-30T00:00:00,5.5,5.445318,288,289,370,373,13.956262,2023-07-01T00:00:00,29.560157894736843,Tualte,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.21588632910824,23.42217864472614]}"
7_0,0,0.08977879,0,0,0,0.11069091,95.424,0,150.48,0.2977303,0.75,18.84,0.106445454,0,0.26020303,0.17189696,-3.4822914898526847,0,116.30452,318,311,2024-05-29,KHAWZAWL,1213,2024-06-30T00:00:00,5.8,5.7308383,299,300,384,389,14.343571,2023-07-01T00:00:00,29.568166666666666,Khawhai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.1291090726623,23.358847417195715]}"
8_0,0,0.08515079,0,0,0,0.10333016,96.656,0,125.4,0.25707936,0.9,15.52,0.10203016,0,0.24530317,0.16789842,-3.833450735057413,0,168.7905,332,323,2024-05-29,KHAWZAWL,1181,2024-06-30T00:00:00,5.7,5.445318,270,270,398,407,19.953783,2023-07-01T00:00:00,29.549888888888884,Chawngtlai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.2034895781874,23.444007706130243]}"
9_0,0,0.044445455,0,0,0,0.06807273,71.12,0,137.94,0.31327575,0.8,23.42,0.046230305,0,0.18333939,0.09049697,-4.546120181519628,0,148.4331,323,324,2024-05-29,KHAWZAWL,1147,2024-06-30T00:00:00,5.6,5.9142723,272,270,405,406,36.537106,2023-07-01T00:00:00,29.510052631578947,Khawhai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.13881087773079,23.3467201608601]}"
11_0,0,0.059703127,0,0,0,0.081575,137.872,0,137.94,0.33467188,0.5,15.52,0.062159374,0,0.20315625,0.114834376,-3.6747989825595226,0,19.95555,316,310,2024-05-29,KHAWZAWL,1202,2024-06-30T00:00:00,5.6,5.7308383,306,307,378,382,17.223047,2023-07-01T00:00:00,29.568166666666666,Khawhai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.13126502934419,23.35857792261048]}"
12_0,0,0.09054286,0,0,0,0.10934127,137.2,0,163.02,0.28485554,0.9,12.51,0.10995714,0,0.25444922,0.17764762,-3.950504431227287,0,187.45184,332,323,2024-05-29,KHAWZAWL,1189,2024-06-30T00:00:00,5.4,5.445318,270,270,398,407,22.202402,2023-07-01T00:00:00,29.549888888888884,Chawngtlai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.20483705111359,23.44427720071548]}"
13_0,0,0.103304476,0,0,0,0.11684925,109.984,0,150.48,0.30229703,0.9,10.12,0.11479851,0,0.23832835,0.15954179,2.473690529152044,0,186.22043,335,315,2024-05-29,KHAWZAWL,1100,2024-06-30T00:00:00,5.5,5.445318,289,294,375,391,18.039022,2023-07-01T00:00:00,29.496842105263156,Chawngtlai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.20914896447735,23.44104326569265]}"
14_0,0,0.044445455,0,0,0,0.06807273,68.992,0,150.48,0.31327575,0.9,18.84,0.046230305,0,0.18333939,0.09049697,-4.546120181519628,0,148.4331,323,324,2024-05-29,KHAWZAWL,1147,2024-06-30T00:00:00,5.5,5.9142723,272,270,405,406,36.537106,2023-07-01T00:00:00,29.510052631578947,Khawhai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.13881087773079,23.3467201608601]}"
