system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,1.216666666666667,0.08967805,9.743963728651954,1.1,110.58464995109792,0.1161378,31,12.021374257114488,170.8,0.28952804,0.8,61,0.11894634,0.59,0.2956939,0.20923659,0.6918460668605207,0.4375,-0.0,316,321,2024-05-29,GANJAM,23,2024-06-30T00:00:00,5.674120996770361,2.9313667,369,363,315,316,0.92740995,2023-07-01T00:00:00,30.481166666666663,Badabaranga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.59259859073131,19.154731887516352]}"
1_0,1.166666666666667,0.095637806,7.848576699381034,1.1,97.75286228460538,0.122860976,118,17.644504449140747,42.7,0.27676952,0.2,25,0.13184147,0.79,0.2856561,0.21433781,-1.0703013768951803,1.59375,133.36946,311,307,2024-05-29,GANJAM,26,2024-06-30T00:00:00,8.001591345143774,2.9313667,363,361,326,332,1.3503989,2023-07-01T00:00:00,30.481166666666663,Badabaranga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.59152061239037,19.153384414590175]}"
2_0,1.083333333333333,0.091259755,7.915653727108169,1.1,74.46997045318179,0.12086219,11,12.60753084076037,42.7,0.28548536,0.2,18,0.13136098,0.83,0.29488903,0.22117683,-0.37714797540217776,0.625,226.63039,309,306,2024-05-29,GANJAM,23,2024-06-30T00:00:00,4.061282350141409,2.9313667,366,364,324,330,1.3503953,2023-07-01T00:00:00,30.481166666666663,Badabaranga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.59367656907226,19.152575930834466]}"
3_0,1.05,0.088960975,8.940582078074812,0.6,91.80628062388992,0.11683415,133,18.361352817050204,213.5,0.2707744,1,38,0.12302927,0.96,0.28001586,0.209,-1.7634388161075891,0.5625,133.36961,311,307,2024-05-29,GANJAM,23,2024-06-30T00:00:00,9.351935320555892,2.9313667,363,361,326,332,2.6992922,2023-07-01T00:00:00,30.481166666666663,Badabaranga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.59205960156085,19.152575930834466]}"
4_0,0.725,0.07916097,8.448713132082458,1,60.60160360395939,0.100478046,51,16.747143533606298,38.7,0.26629755,0.2,14,0.09839756,0.98,0.2589012,0.17242073,-0.6944473725416613,0.8125,-0.0,316,321,2024-05-29,GANJAM,25,2024-06-30T00:00:00,5,2.9313667,369,363,315,316,0.92740995,2023-07-01T00:00:00,30.481166666666663,Badabaranga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.59259859073131,19.153923403760643]}"
5_0,0.916666666666667,0.09759634,7.490391307279993,1,58.12978855957923,0.116468295,87,16.243880183601217,77.4,0.26737073,0.4,54,0.12039756,0.98,0.2776183,0.19217074,3.4761861254120765,0.71875,-0.0,304,300,2024-05-29,GANJAM,20,2024-06-30T00:00:00,6.3,2.8581116,359,357,337,343,0.0,2023-07-01T00:00:00,30.546512820512817,Badabaranga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.59259859073131,19.139370696157908]}"
6_0,0.808333333333333,0.09568536,7.694248746726627,0.8,74.94896552558747,0.11986586,20,16.46754852887154,135.45,0.26504633,0.7,12,0.12842439,0.92,0.27979633,0.2042,0.4042453711277503,1.40625,-0.0,295,293,2024-05-29,GANJAM,18,2024-06-30T00:00:00,5.2,2.8581116,366,363,340,344,0.92740995,2023-07-01T00:00:00,30.545891891891888,Badabaranga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.59340707448702,19.139640190743144]}"
7_0,1.108333333333333,0.10291097,6.422223678182617,0.8,84.13779826363232,0.13292317,151,16.809971542153942,85.4,0.26411828,0.4,40,0.14982317,1.04,0.29387805,0.23350488,-1.0703023483024359,0.9375,46.630585,316,321,2024-05-29,GANJAM,25,2024-06-30T00:00:00,8.494908036477089,2.9313667,369,363,315,316,1.3504002,2023-07-01T00:00:00,30.481166666666663,Badabaranga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.59179010697561,19.15365390917541]}"
8_0,0.708333333333333,0.087620735,8.437114363692643,0.9,85.5367286416091,0.116579264,73,15.79772208147776,193.5,0.28539756,1,34,0.12037927,0.73,0.28139877,0.20496707,0.8756170226411994,1.375,313.3697,309,306,2024-05-29,GANJAM,21,2024-06-30T00:00:00,5,2.9313667,366,364,324,330,1.3503929,2023-07-01T00:00:00,30.481166666666663,Badabaranga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.59286808531655,19.152036941663994]}"
9_0,0.508333333333333,0.10327317,7.008884171218428,1.2,56.96985700892792,0.123553656,107,18.366895460391262,116.1,0.28919634,0.6,16,0.12112927,0.58,0.27811828,0.18614146,8.311921160045861,1.40625,61.639133,304,300,2024-05-29,GANJAM,18,2024-06-30T00:00:00,7.2,2.8581116,372,369,325,330,7.762227,2023-07-01T00:00:00,30.521714285714285,Badabaranga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.5993359553622,19.147455533714986]}"
10_0,0.733333333333333,0.10403781,7.428494160612552,1,83.3406784354392,0.13613048,134,12.014944703418404,128.1,0.26817316,0.6,46,0.1553695,0.62,0.29595244,0.23422804,-1.85173588620797,1.4375,19.436298,316,321,2024-05-29,GANJAM,24,2024-06-30T00:00:00,9.434794813851918,2.9313667,369,363,315,316,2.9480186,2023-07-01T00:00:00,30.481166666666663,Badabaranga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.59179010697561,19.153923403760643]}"
