system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.36,0.07327436,0.22,0.22,3.2,0.095946155,217,1.44,412,0.2619154,0.38,16,0.095546156,11.2,0.20957692,0.14022821,-1.7707681509425506,0.56,133.23102,308,306,2024-01-20,KALAHANDI,268,2024-06-30T00:00:00,5.8,3.983353,373,383,319,311,2.7062194,2023-07-01T00:00:00,30.353314285714287,Balarampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2057794551076,19.93464921718892]}"
1_0,0.46,0.07416098,0.2,0.58,4.8,0.092897564,218,1.74,338,0.2443439,0.49,21,0.10645366,10.8,0.2678,0.19271463,-2.025875543101272,0.56,302.06674,295,309,2024-01-08,KALAHANDI,211,2024-06-30T00:00:00,5.8,3.9562218,382,371,323,319,3.4896655,2023-07-01T00:00:00,30.270486486486487,Bileikuni,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.0306079747043,19.992860047599866]}"
2_0,0.36,0.08615476,0.18,0.29,3.6,0.10228571,255,1.86,382,0.17012857,0.42,17,0.11702857,10.2,0.26705477,0.23199047,-1.557174541058081,0.72,115.13587,275,283,2024-01-03,KALAHANDI,185,2024-06-30T00:00:00,6.1,4.0416837,361,347,363,369,2.182476,2023-07-01T00:00:00,30.38026315789473,Paralsinga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.25213252376817,20.216001564175155]}"
3_0,0.46,0.064325,0.14,0.38,3.4,0.08437,239,1.46,348,0.244755,0.32,20,0.08495,10.6,0.24259,0.15861,-2.210667661856022,0.96,331.98065,283,304,2024-01-20,KALAHANDI,197,2024-06-30T00:00:00,6.3,3.9488964,381,364,337,332,4.195036,2023-07-01T00:00:00,30.25684210526315,Bileikuni,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.03572837182377,20.015767087344916]}"
4_0,0.48,0.07247692,0.18,0.23,5.2,0.09434359,265,1.38,296,0.2628487,0.48,18,0.09182564,10.4,0.20485897,0.13791795,-1.7707690332562063,0.96,46.769035,308,306,2024-01-20,KALAHANDI,267,2024-06-30T00:00:00,6.2,3.983353,373,383,319,311,2.7062218,2023-07-01T00:00:00,30.353314285714287,Balarampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2057794551076,19.934918711774156]}"
5_0,0.38,0.07327436,0.26,0.34,4.2,0.095946155,267,1.82,388,0.2619154,0.42,22,0.095546156,10.2,0.20957692,0.14022821,-1.7707681509425506,0.58,133.23102,308,306,2024-01-20,KALAHANDI,268,2024-06-30T00:00:00,6.4,3.983353,373,383,319,311,2.7062194,2023-07-01T00:00:00,30.353314285714287,Balarampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2057794551076,19.93464921718892]}"
6_0,0.42,0.082784615,0.18,0.37,4.6,0.102164105,235,1.62,342,0.24746154,0.28,16,0.102702565,11.2,0.206,0.14081796,-1.7707618552920537,0.62,226.76894,308,313,2024-01-20,KALAHANDI,266,2024-06-30T00:00:00,5.9,3.983353,372,378,320,310,2.7062168,2023-07-01T00:00:00,30.353314285714287,Balarampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.20631844427807,19.934379722603687]}"
7_0,0.44,0.07247692,0.16,0.66,4.8,0.09434359,221,1.74,396,0.2628487,0.29,18,0.09182564,10.6,0.20485897,0.13791795,-1.7707690332562063,0.42,46.769035,308,306,2024-01-20,KALAHANDI,267,2024-06-30T00:00:00,6,3.983353,373,383,319,311,2.7062218,2023-07-01T00:00:00,30.353314285714287,Balarampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2057794551076,19.934918711774156]}"
8_0,0.54,0.067680486,0.22,0.53,3.8,0.08543903,233,1.64,336,0.2524927,0.32,16,0.09074878,11.8,0.2515927,0.17751463,-0.7618689587562864,0.46,270.0,279,297,2024-01-08,KALAHANDI,198,2024-06-30T00:00:00,6.1,3.9488964,379,367,341,335,0.98694897,2023-07-01T00:00:00,30.298526315789474,Bileikuni,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.02979949094858,20.00498730393548]}"
9_0,0.34,0.07247692,0.2,0.29,3.4,0.09434359,228,1.62,318,0.2628487,0.45,21,0.09182564,11.2,0.20485897,0.13791795,-1.7707690332562063,0.46,46.769035,308,306,2024-01-20,KALAHANDI,267,2024-06-30T00:00:00,6.4,3.983353,373,383,319,311,2.7062218,2023-07-01T00:00:00,30.353314285714287,Balarampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2057794551076,19.934918711774156]}"
