system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.115110226,1.239,0.28,8.582,0.14436023,61.79712,4.872,0,0.2752716,0.51,8.473472,0.15819773,11.96,0.2540534,0.21734205,-1.2246349512930685,1.929,130.5107,218,230,2024-05-15,RUPNAGAR,332,2024-06-30T00:00:00,7.02,3.3784442,321,306,461,465,1.4275146,2023-07-01T00:00:00,30.162933333333335,Abadi Kiratpur Sahib (373),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.34552529334363,31.30624273580112]}"
2_0,0,0.143475,1.034,0.22,10.68,0.15865569,46.42176,2.486,0,0.2257159,0.39,11.26272,0.17181705,4.595,0.25854772,0.23394318,-0.9395887915529868,0.7458,210.31847,245,246,2024-05-14,RUPNAGAR,313,2024-06-30T00:00:00,7.05,3.5798516,390,388,365,366,2.1478708,2023-07-01T00:00:00,30.19547619047618,Abadi Kiratpur Sahib (373),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.48081157513204,31.238599594906923]}"
3_0,0,0.10944483,1.022,0.26,9.512,0.12930575,67.10144,4.862,0,0.25014827,0.39,10.78784,0.13328736,8.929,0.23946206,0.20222874,-0.9505698083718587,1.335,90.0,218,230,2024-05-15,RUPNAGAR,332,2024-06-30T00:00:00,7.05,3.3784442,321,306,461,465,1.0854092,2023-07-01T00:00:00,30.162933333333335,Abadi Kiratpur Sahib (373),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.34660327168457,31.30570374663065]}"
11_0,0,0.143475,1.795,0.29,9.357,0.15865569,100.6208,9.152,0,0.2257159,0.42,33.45664,0.17181705,12.46,0.25854772,0.23394318,-0.9395887915529868,1.872,210.31847,245,246,2024-05-14,RUPNAGAR,313,2024-06-30T00:00:00,7,3.5798516,390,388,365,366,2.1478708,2023-07-01T00:00:00,30.19547619047618,Abadi Kiratpur Sahib (373),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.48081157513204,31.238599594906923]}"
12_0,0,0.143475,1.21,0.26,8.47,0.15865569,69.864,4.96,0,0.2257159,0.61,19.265,0.17181705,6.5123,0.25854772,0.23394318,-0.9395887915529868,1.053,210.31847,245,246,2024-05-14,RUPNAGAR,313,2024-06-30T00:00:00,7.01,3.5798516,390,388,365,366,2.1478708,2023-07-01T00:00:00,30.19547619047618,Abadi Kiratpur Sahib (373),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.48081157513204,31.238599594906923]}"
13_0,0,0.143475,2.336,0.28,11.52,0.15865569,100.5312,9.302,0,0.2257159,0.48,35.94752,0.17181705,12.08,0.25854772,0.23394318,-0.9395887915529868,1.981,210.31847,245,246,2024-05-14,RUPNAGAR,313,2024-06-30T00:00:00,7.01,3.5798516,390,388,365,366,2.1478708,2023-07-01T00:00:00,30.19547619047618,Abadi Kiratpur Sahib (373),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.48081157513204,31.238599594906923]}"
14_0,0,0.143475,0.9888,0.24,7.609,0.15865569,51.04512,2.09,0,0.2257159,0.51,15.44704,0.17181705,4.919,0.25854772,0.23394318,-0.9395887915529868,0.7707,210.31847,245,246,2024-05-14,RUPNAGAR,313,2024-06-30T00:00:00,7.06,3.5798516,390,388,365,366,2.1478708,2023-07-01T00:00:00,30.19547619047618,Abadi Kiratpur Sahib (373),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.48081157513204,31.238599594906923]}"
15_0,0,0.07293077,1.119,0.29,8.583,0.09592821,73.67808,2.092,0,0.22630256,0.48,14.12992,0.09761026,6.531,0.1933641,0.1480359,4.545303749235103,0.9506,-0.0,209,223,2024-05-14,RUPNAGAR,301,2024-06-30T00:00:00,7.04,3.6661336,464,451,327,326,1.8543341,2023-07-01T00:00:00,30.0129756097561,Abadi Kiratpur Sahib (373),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.82243630340083,31.65820266411915]}"
16_0,0,0.07293077,1.012,0.26,8.192,0.09592821,51.717112,2.423,0,0.22630256,0.48,13.01888,0.09761026,4.837,0.1933641,0.1480359,4.545303749235103,0.7832,-0.0,209,223,2024-05-14,RUPNAGAR,301,2024-06-30T00:00:00,7.04,3.6661336,464,451,327,326,1.8543341,2023-07-01T00:00:00,30.0129756097561,Abadi Kiratpur Sahib (373),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.82243630340083,31.65820266411915]}"
17_0,0,0.07293077,0.3663,0.26,2.552,0.09592821,40.55296,0.6747,0,0.22630256,0.42,11.21792,0.09761026,2.305,0.1933641,0.1480359,4.545303749235103,0.2084,-0.0,209,223,2024-05-14,RUPNAGAR,301,2024-06-30T00:00:00,7.02,3.6661336,464,451,327,326,1.8543341,2023-07-01T00:00:00,30.0129756097561,Abadi Kiratpur Sahib (373),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.82243630340083,31.65820266411915]}"
18_0,0,0.07293077,1.647,0.24,11.22,0.09592821,88.41728,9.755,0,0.22630256,0.6,23.48416,0.09761026,7.28,0.1933641,0.1480359,4.545303749235103,2.051,-0.0,209,223,2024-05-14,RUPNAGAR,301,2024-06-30T00:00:00,7.04,3.6661336,464,451,327,326,1.8543341,2023-07-01T00:00:00,30.0129756097561,Abadi Kiratpur Sahib (373),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.82243630340083,31.65820266411915]}"
19_0,0,0.143475,1.013,0.26,8.558,0.15865569,47.47904,2.379,0,0.2257159,0.39,20.7872,0.17181705,4.849,0.25854772,0.23394318,-0.9395887915529868,0.788,210.31847,245,246,2024-05-14,RUPNAGAR,313,2024-06-30T00:00:00,7.04,3.5798516,390,388,365,366,2.1478708,2023-07-01T00:00:00,30.19547619047618,Abadi Kiratpur Sahib (373),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.48081157513204,31.238599594906923]}"
20_0,0,0.06925897,2.543,0.24,12.76,0.088015385,112.1792,12.71,0,0.19466923,0.45,41.692,0.09291025,15.67,0.20898974,0.16275129,-1.4905126345078348,2.563,-0.0,224,248,2024-05-13,RUPNAGAR,303,2024-06-30T00:00:00,7.04,3.4864318,465,451,311,301,1.8543341,2023-07-01T00:00:00,30.040899999999993,Abadi Kiratpur Sahib (373),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.79548684487725,31.699435335660237]}"
21_0,0,0.06925897,1.022,0.26,8.647,0.088015385,51.52,2.641,0,0.19466923,0.39,12.292,0.09291025,4.895,0.20898974,0.16275129,-1.4905126345078348,0.8044,-0.0,224,248,2024-05-13,RUPNAGAR,303,2024-06-30T00:00:00,7.05,3.4864318,465,451,311,301,1.8543341,2023-07-01T00:00:00,30.040899999999993,Abadi Kiratpur Sahib (373),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.79548684487725,31.699435335660237]}"
24_0,0,0.09372051,1.351,0.28,9.763,0.119823076,70.4928,3.131,0,0.24386923,0.48,17.67808,0.1297282,7.422,0.23448205,0.19398461,-0.7973654933137426,1.182,-0.0,224,248,2024-05-13,RUPNAGAR,303,2024-06-30T00:00:00,7.01,3.4864318,465,451,311,301,0.92740995,2023-07-01T00:00:00,30.040899999999993,Abadi Kiratpur Sahib (373),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.79629532863297,31.699165841075]}"
26_0,0,0.09184138,1.229,0.26,8.74,0.11627931,61.68064,5.218,0,0.2828391,0.42,8.510208,0.11865058,11.83,0.23114137,0.17140804,-0.9505726646023649,1.721,90.0,218,230,2024-05-15,RUPNAGAR,332,2024-06-30T00:00:00,7.04,3.3784442,321,306,461,465,1.0854123,2023-07-01T00:00:00,30.162933333333335,Abadi Kiratpur Sahib (373),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.34660327168457,31.30624273580112]}"
27_0,0,0.120790906,0.8757,0.24,7.218,0.13959432,71.07968,4.238,0,0.21443295,0.48,8.858752,0.15298977,9.922,0.25172842,0.22659205,-0.7932209043631442,1.266,-0.0,218,230,2024-05-15,RUPNAGAR,332,2024-06-30T00:00:00,7.01,3.3784442,321,306,461,465,0.92740995,2023-07-01T00:00:00,30.162933333333335,Abadi Kiratpur Sahib (373),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.3460642825141,31.30570374663065]}"
33_0,0,0.143475,0.9397,0.28,7.262,0.15865569,66.71616,2.373,0,0.2257159,0.6,16.45056,0.17181705,4.404,0.25854772,0.23394318,-0.9395887915529868,0.7131,210.31847,245,246,2024-05-15,RUPNAGAR,313,2024-06-30T00:00:00,7.05,3.5798516,390,388,365,366,2.1478708,2023-07-01T00:00:00,30.19547619047618,Abadi Kiratpur Sahib (373),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.48081157513204,31.238599594906923]}"
34_0,0,0.143475,2.551,0.26,11.83,0.15865569,106.0864,3.478,0,0.2257159,0.42,40.26624,0.17181705,15.92,0.25854772,0.23394318,-0.9395887915529868,2.716,210.31847,245,246,2024-05-14,RUPNAGAR,313,2024-06-30T00:00:00,7.06,3.5798516,390,388,365,366,2.1478708,2023-07-01T00:00:00,30.19547619047618,Abadi Kiratpur Sahib (373),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.48081157513204,31.238599594906923]}"
