system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.11901333,0.35,0.36,2.4,0.1596489,260,2.4,0,0.27822,0.26,46,0.19558,0,0.33756223,0.29849556,-1.1440235442903703,0.34,131.98788,215,226,2024-04-30,BARMER,176,2024-06-30T00:00:00,8.8,0.6911323,579,578,205,196,2.7707167,2023-07-01T00:00:00,31.018372093023256,Jalipa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.39760470841331,25.839275579706538]}"
1_0,0,0.1367,0.44,0.18,3.6,0.19943334,179,2.8,0,0.32109287,0.12,36,0.2540976,0,0.3849262,0.36260477,-3.2818067507759867,0.38,128.8383,206,212,2024-05-31,BARMER,107,2024-06-30T00:00:00,8.8,1.191559,484,472,310,316,11.667661,2023-07-01T00:00:00,30.890285714285717,DHAKON WALA,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.2043770907992,25.073910957636706]}"
2_0,0,0.12782791,0.4,0.27,3.4,0.17459302,240,2.2,0,0.32192558,0.14,46,0.21605116,0,0.37983257,0.32864186,0.10146878318446997,0.4,253.20816,272,289,2024-05-02,BARMER,110,2024-06-30T00:00:00,8.8,1.0476574,495,481,233,230,3.2071202,2023-07-01T00:00:00,30.835953488372095,Talsar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.96371842618358,25.138050668922837]}"
3_0,0,0.14785434,0.34,0.33,3.1,0.2090587,190,3.1,0,0.33311087,0.1,54,0.26324347,0,0.41506523,0.40199566,0.16710561920305522,0.3,294.3236,235,251,2024-04-24,BARMER,107,2024-06-30T00:00:00,8.4,0.9355821,468,463,297,287,2.2506359,2023-07-01T00:00:00,31.048465116279072,Banda Bera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.27336770461957,25.30756276303619]}"
4_0,0,0.10895385,0.4,0.53,2.6,0.16882418,210,2.9,0,0.31994507,0.18,60,0.20882747,0,0.35673076,0.32223955,0.02672675826212971,0.53,143.60732,252,261,2024-04-25,BARMER,124,2024-06-30T00:00:00,8.6,0.8897138,476,469,272,270,3.4524345,2023-07-01T00:00:00,30.94809302325582,Gohar Ka Tala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.12298972605797,25.245848503017182]}"
5_0,0,0.1056,0.3,0.27,3.9,0.15032414,230,2.7,0,0.2907,0.16,36,0.18467817,0,0.34112644,0.30465746,-2.576296928943013,0.6,298.48474,277,282,2024-05-01,BARMER,146,2024-06-30T00:00:00,8.4,0.95611227,518,515,205,203,5.814157,2023-07-01T00:00:00,31.01147619047619,EKLIYA DHORA,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.87801914807858,25.263904640227985]}"
6_0,0,0.094286814,0.42,0.41,3.1,0.13616922,220,2.2,0,0.27933627,0.18,46,0.16883627,0,0.31998682,0.27264836,-1.8992367712818337,0.54,339.7726,233,241,2024-05-02,BARMER,79,2024-06-30T00:00:00,8.9,0.94508916,494,490,273,268,2.962709,2023-07-01T00:00:00,30.894093023255817,Boodhe Ka Tala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.34451427512184,25.225366914539254]}"
7_0,0,0.1016573,0.6,0.14,3.1,0.14150786,260,2.3,0,0.31318876,0.27,60,0.15939888,0,0.30288088,0.26369438,-0.7371339766071343,0.3,-0.0,258,266,2024-04-25,BARMER,111,2024-06-30T00:00:00,8.7,0.8897138,479,472,264,262,0.92740995,2023-07-01T00:00:00,30.93362790697674,Dhanaoo,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.13538647697882,25.244770524676237]}"
8_0,0,0.111859575,0.3,0.49,3.2,0.16377659,210,2.1,0,0.3070383,0.24,48,0.20180638,0,0.33083192,0.2922702,5.773814329401579,0.4,65.78153,231,236,2024-05-17,BARMER,199,2024-06-30T00:00:00,9.2,0.6692831,579,578,189,186,2.2598035,2023-07-01T00:00:00,30.92418181818181,Ishwer Pura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.31594784908684,25.89317449675371]}"
9_0,0,0.14935556,0.34,0.21,3.1,0.20411777,200,2.1,0,0.3302622,0.14,38,0.25948444,0,0.40132222,0.37232888,-1.1358134526239991,0.56,227.85983,270,268,2024-04-24,BARMER,111,2024-06-30T00:00:00,8.7,1.0215452,459,460,271,272,2.7625806,2023-07-01T00:00:00,30.84260465116279,Hakim Nagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.26878629667057,25.197878466845196]}"
