system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.15842873,0.19,0.26,3.04,0.1878954,147,1.61,0,0.25942528,0.54,26,0.21303104,8,0.29840574,0.27302873,-1.1307294796816987,1.61,227.76518,354,363,2024-02-09,CHITTORGARH,418,2024-06-30T00:00:00,8.4,2.5766313,335,333,311,303,1.3795776,2023-07-01T00:00:00,30.592150000000004,Arniya Panth,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.63558215002213,24.789594170212876]}"
1_0,0,0.05873294,1.3,0.43,4.03,0.08373412,238,1.62,0,0.30044824,0.35,15,0.08122,10,0.22325176,0.15126589,-1.616798342552806,1.89,245.58328,365,374,2024-02-09,CHITTORGARH,419,2024-06-30T00:00:00,8.3,2.5766313,328,330,307,295,2.2425838,2023-07-01T00:00:00,30.506400000000006,Arniya Panth,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.637738106704,24.777197419292026]}"
2_0,0,0.051911496,0.362,0.38,2.726,0.076097704,306,6.928,0,0.2983816,0.47,18,0.07498506,6,0.23592989,0.15292414,-0.830494501133287,1.788,270.0,338,359,2024-02-06,CHITTORGARH,435,2024-06-30T00:00:00,8.1,2.4355934,380,365,282,276,1.0216972,2023-07-01T00:00:00,30.514599999999994,Ghatiyawali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.70187781799015,24.81088424244651]}"
3_0,0,0.050550576,0.47,0.54,3.804,0.074141376,113,6.962,0,0.26567125,0.36,14,0.079893105,6,0.22912988,0.15511495,-1.6172856975939927,0.708,114.41093,337,358,2024-02-06,CHITTORGARH,434,2024-06-30T00:00:00,8.3,2.4355934,380,365,283,278,2.243083,2023-07-01T00:00:00,30.514599999999994,Ghatiyawali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.70268630174586,24.810614747861273]}"
4_0,0,0.060407057,0.31,0.61,1.57,0.09229412,249,4.228,0,0.27776587,0.39,21,0.11192824,13,0.28060353,0.20478588,-0.9240338363160511,1.648,294.41217,344,363,2024-02-06,CHITTORGARH,431,2024-06-30T00:00:00,8.4,2.4976392,385,370,271,267,2.2429748,2023-07-01T00:00:00,30.529384615384608,Ghatiyawali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.69999135589349,24.803338394059903]}"
5_0,0,0.082131326,0.304,0.21,4.132,0.11211928,294,3.8,0,0.28252047,0.39,23,0.12749639,10,0.2880024,0.2252759,0.9484154400790963,1.946,312.22928,318,337,2024-02-06,CHITTORGARH,419,2024-06-30T00:00:00,7.8,2.4976392,355,347,327,316,1.379725,2023-07-01T00:00:00,30.457999999999988,Ghatiyawali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.68139622951222,24.813848682884103]}"
6_0,0,0.0879186,0.794,0.58,2.54,0.121918604,113,1.538,0,0.259957,0.62,18,0.13978605,7,0.28349882,0.21688256,-0.8661196264299004,2.778,151.15274,337,359,2024-02-06,CHITTORGARH,434,2024-06-30T00:00:00,7.7,2.4976392,388,372,275,269,4.2278676,2023-07-01T00:00:00,30.50338461538462,Ghatiyawali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.69756590462637,24.807380812838442]}"
7_0,0,0.06994368,0.88,0.29,4.21,0.09831609,204,1.51,0,0.2621724,0.45,20,0.12245862,12,0.272623,0.2084908,-0.43682934342981006,1.11,227.75122,360,370,2024-03-02,CHITTORGARH,434,2024-06-30T00:00:00,8.6,2.475885,324,326,316,304,1.3792076,2023-07-01T00:00:00,30.520461538461543,Seendwari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.61752601281133,24.728957888534808]}"
8_0,0,0.06994368,0.63,0.39,4.21,0.09831609,170,3.94,0,0.2621724,0.33,21,0.12245862,10,0.272623,0.2084908,-0.43682934342981006,0.98,227.75122,360,370,2024-03-02,CHITTORGARH,434,2024-06-30T00:00:00,8.2,2.475885,324,326,316,304,1.3792076,2023-07-01T00:00:00,30.520461538461543,Seendwari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.61752601281133,24.728957888534808]}"
9_0,0,0.05642069,0.77,0.15,1.45,0.085193105,226,2.09,0,0.28067815,0.65,35,0.09317931,8,0.22864713,0.157477,-0.8288476007498261,0.25,270.0,340,343,2024-03-02,CHITTORGARH,433,2024-06-30T00:00:00,8.1,2.475885,335,338,326,319,1.0208502,2023-07-01T00:00:00,30.548205128205126,Seendwari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.633156698755,24.707667816301175]}"
10_0,0,0.07314659,0.6,0.66,5.56,0.09695682,125,3.99,0,0.22886023,0.38,40,0.114297725,10,0.29103068,0.23093863,-1.0195145654675875,0.55,55.732006,372,374,2024-03-02,CHITTORGARH,433,2024-06-30T00:00:00,7.9,2.475885,333,335,295,290,4.92946,2023-07-01T00:00:00,30.602923076923073,Seendwari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.6113276373509,24.708206805471647]}"
11_0,0,0.057456978,0.29,0.25,3.18,0.08232675,181,2.01,0,0.23789419,0.75,37,0.09329884,4,0.22796977,0.16607907,6.539924622157482,1.07,-0.0,356,361,2024-03-02,CHITTORGARH,428,2024-06-30T00:00:00,7.5,2.475885,336,339,307,301,0.0,2023-07-01T00:00:00,30.53884210526316,Seendwari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.63073124748787,24.723298502244855]}"
