system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.08625796,0.66,0.68,2.53,0.121593185,298,1.86,0,0.30078068,0.34,5,0.1436,0,0.3111716,0.2582068,-0.7647263025293795,0.63,180.0,257,259,2024-04-20,CHURU,284,2024-06-30T00:00:00,7.64,1.3172804,469,473,274,268,0.92740995,2023-07-01T00:00:00,30.822585365853662,Noohand,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.57611825249526,28.419686233339863]}"
1_0,0,0.088151135,0.55,0.57,2.53,0.13172728,183,3.64,0,0.30354318,0.62,7,0.16448523,0,0.32069203,0.28408068,-1.052432515472917,0.34,-0.0,254,255,2024-04-20,CHURU,279,2024-06-30T00:00:00,8.24,1.3172804,472,476,274,269,3.7047918,2023-07-01T00:00:00,30.798700000000004,Noohand,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.57180633913148,28.4237286521184]}"
2_0,0,0.088151135,0.62,1.03,4.53,0.13172728,284,1.53,0,0.30354318,0.38,8,0.16448523,0,0.32069203,0.28408068,-1.052432515472917,0.38,-0.0,254,255,2024-04-20,CHURU,279,2024-06-30T00:00:00,7.99,1.3172804,472,476,274,269,3.7047918,2023-07-01T00:00:00,30.798700000000004,Noohand,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.57180633913148,28.4237286521184]}"
4_0,0,0.13672696,0.35,0.52,2.67,0.17512472,237,3.64,0,0.31322697,0.35,6,0.21891348,0,0.36355168,0.33158314,0.8959085488985585,0.53,131.25903,237,233,2024-04-11,CHURU,236,2024-06-30T00:00:00,7.95,1.526006,521,518,242,249,1.4061482,2023-07-01T00:00:00,30.915000000000003,Suratpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.51521247623197,28.687024861893832]}"
5_0,0,0.13672696,0.35,0.34,2.55,0.17512472,219,2.53,0,0.31322697,0.34,5,0.21891348,0,0.36355168,0.33158314,0.8959085488985585,0.64,131.25903,237,233,2024-04-11,CHURU,236,2024-06-30T00:00:00,8.35,1.526006,521,518,242,249,1.4061482,2023-07-01T00:00:00,30.915000000000003,Suratpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.51521247623197,28.687024861893832]}"
6_0,0,0.1534,0.34,0.33,4.55,0.18844944,234,2.53,0,0.30415955,0.26,5,0.22754382,0,0.36628315,0.3424708,0.8959085488985585,0.53,48.740963,237,233,2024-04-11,CHURU,236,2024-06-30T00:00:00,8.35,1.526006,521,518,242,249,1.4061482,2023-07-01T00:00:00,30.915000000000003,Suratpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.51467348706149,28.687024861893832]}"
7_0,0,0.1592146,0.18,0.43,4.59,0.2029719,286,3.65,0,0.33082584,0.34,15,0.25394493,0,0.40737528,0.37993708,1.630694691698495,0.55,180.0,250,245,2024-04-11,CHURU,235,2024-06-30T00:00:00,8.21,1.526006,511,511,238,244,1.8543341,2023-07-01T00:00:00,30.915000000000003,Suratpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.51467348706149,28.687563851064304]}"
8_0,0,0.1256,0.59,0.46,1.39,0.17545107,235,3.64,0,0.29243404,0.53,5,0.23525532,0,0.38835743,0.37677446,7.015656662692184,0.38,180.0,242,233,2024-04-09,CHURU,228,2024-06-30T00:00:00,8.13,1.4473224,566,574,192,192,0.92740995,2023-07-01T00:00:00,30.93840000000001,Kishanpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.33195615827158,28.70211655866704]}"
9_0,0,0.15563405,0.34,0.58,3.65,0.18679787,237,1.86,0,0.2961298,0.23,4,0.22334255,0,0.34734043,0.3257085,-1.1731270559212719,0.35,-0.0,237,234,2024-04-09,CHURU,224,2024-06-30T00:00:00,7.85,1.4473224,585,589,178,177,2.7802885,2023-07-01T00:00:00,30.930714285714284,Kishanpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.34219695251053,28.7333779305544]}"
10_0,0,0.12862766,0.35,0.59,3.67,0.17263192,243,3.64,0,0.29382765,0.35,5,0.22448936,0,0.3768617,0.3517915,-2.3732518800320395,0.64,113.674355,237,234,2024-04-09,CHURU,225,2024-06-30T00:00:00,8.05,1.4473224,585,589,178,177,4.6097207,2023-07-01T00:00:00,30.959857142857146,Kishanpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.34273594168101,28.73283894138393]}"
11_0,0,0.15563405,0.35,0.36,3.69,0.18679787,235,2.53,0,0.2961298,0.26,7,0.22334255,0,0.34734043,0.3257085,-1.1731270559212719,0.57,-0.0,237,234,2024-04-09,CHURU,224,2024-06-30T00:00:00,8.06,1.4473224,585,589,178,177,2.7802885,2023-07-01T00:00:00,30.930714285714284,Kishanpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.34219695251053,28.7333779305544]}"
14_0,0,0.1391341,0.34,0.55,2.53,0.18643637,164,3.94,0,0.3173375,0.33,5,0.24655682,0,0.40815455,0.38636136,1.4890543774301432,0.26,330.2991,247,244,2024-04-20,CHURU,225,2024-06-30T00:00:00,8.24,1.5306373,537,543,216,214,2.1345534,2023-07-01T00:00:00,31.036850000000005,Gothyan Bari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.49769532819163,28.76975969956124]}"
