system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.105915554,0.23,0.56,3.79,0.13336,229,2.47,0,0.2690711,0.35,18,0.15872,18,0.29624444,0.24854222,-0.5526835272453439,0.4,294.00955,260,255,2024-02-26,DAUSA,257,2024-06-30T00:00:00,8.3,1.699879,503,507,237,238,2.2782683,2023-07-01T00:00:00,30.55384615384616,Mundphori,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.74949767661218,27.01885337928388]}"
1_0,0,0.08928,0.32,0.11,4.7,0.122252,205,2.08,0,0.288054,0.21,44,0.145016,19,0.299246,0.245406,-1.643321105673358,0.46,114.10307,233,236,2024-05-01,DAUSA,291,2024-06-30T00:00:00,7.92,1.5466745,475,473,292,291,2.2699614,2023-07-01T00:00:00,30.660149999999998,Matlana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.20781356028812,26.52082738576802]}"
2_0,0,0.090478726,0.2,0.38,4.58,0.1217,200,2.32,0,0.28612128,0.18,33,0.14401914,19,0.29548937,0.25061065,2.1930790581089434,0.46,-0.0,255,255,2024-04-26,DAUSA,284,2024-06-30T00:00:00,7.8,1.6335278,459,458,285,287,0.92740995,2023-07-01T00:00:00,30.65967567567567,Chhokarwara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.55707854275379,26.93881348746883]}"
3_0,0,0.08524468,0.22,0.29,4.58,0.1259383,234,2.04,0,0.31430852,0.22,25,0.15738298,19,0.31996807,0.26728722,-0.16839190383604496,0.44,270.0,202,199,2024-04-26,DAUSA,302,2024-06-30T00:00:00,7.79,1.6265761,530,533,268,268,1.0378077,2023-07-01T00:00:00,30.682199999999995,Ranoli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.21158648448142,26.670396880573918]}"
4_0,0,0.116708696,0.28,0.3,4.82,0.15636304,211,2.66,0,0.34511086,0.25,33,0.19901957,21,0.38445,0.34584346,-0.30638373454066614,0.38,200.50783,214,218,2024-04-26,DAUSA,313,2024-06-30T00:00:00,7.76,1.588824,553,547,233,235,2.968088,2023-07-01T00:00:00,30.790850000000006,Mahsara Kalan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.36061699011684,26.979507169839444]}"
5_0,0,0.08510851,0.2,0.1,4.78,0.12456383,128,2.96,0,0.26491275,0.35,32,0.16753404,31,0.3232383,0.2817064,0.6998664463573401,0.38,73.45843,257,247,2024-02-08,DAUSA,287,2024-06-30T00:00:00,7,1.6488086,503,512,240,241,3.2541544,2023-07-01T00:00:00,30.680256410256415,Pratappura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.5355189759349,26.999719263732135]}"
6_0,0,0.12734792,0.3,0.4,4.88,0.16981459,190,2.46,0,0.32340416,0.2,45,0.20013125,21,0.35227084,0.31445417,-1.145925259092357,0.34,270.0,222,235,2024-04-26,DAUSA,268,2024-06-30T00:00:00,8.26,1.6082438,505,493,273,272,4.1375866,2023-07-01T00:00:00,30.66497297297297,Kishorpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.43526699022718,26.480133703397403]}"
7_0,0,0.09793125,0.32,0.36,4.4,0.13573958,218,2.22,0,0.33333126,0.18,26,0.16364792,21,0.32268125,0.27405208,-1.6492505262237638,0.44,114.0335,228,211,2024-04-26,DAUSA,284,2024-06-30T00:00:00,7.66,1.6376014,529,541,243,248,2.2761345,2023-07-01T00:00:00,30.584736842105258,Geejgarh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.65167114217157,26.892190924223026]}"
8_0,0,0.1725383,0.34,0.34,4.78,0.20340851,195,2.34,0,0.36935744,0.24,33,0.22758085,22.5,0.35453618,0.3076298,4.113964079167825,0.54,-0.0,225,216,2024-03-20,DAUSA,310,2024-06-30T00:00:00,8.32,1.5660845,527,534,248,250,0.0,2023-07-01T00:00:00,30.62082051282051,Kherawas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.27680417410849,26.750706266974202]}"
9_0,0,0.07215745,0.34,0.35,4.38,0.10478723,318,2.5,0,0.2883383,0.36,29,0.11132553,21,0.26812765,0.21391489,-1.9161578776786456,0.44,339.48636,274,261,2024-02-08,DAUSA,281,2024-06-30T00:00:00,8.2,1.6169823,492,502,235,237,2.9682002,2023-07-01T00:00:00,30.581897435897435,Un Baragaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.59238233341968,27.01427197133487]}"
10_0,0,0.053782977,0.2,0.39,4.72,0.08251915,295,2.9,0,0.30440637,0.27,30,0.086302124,29,0.23617233,0.16968298,-1.5819840104756617,0.64,330.69955,271,263,2024-02-08,DAUSA,279,2024-06-30T00:00:00,7.95,1.6169823,492,497,238,240,2.1261365,2023-07-01T00:00:00,30.62923076923077,SAKRAILA KI DHANI,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.59804171970963,27.004031177095907]}"
