system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
1_0,0,0.1091,0.5,0.8589,2.73,0.14493415,407,3.29,218.4,0.28520975,0.39,28,0.16779025,17.5,0.30076343,0.2653488,-0.47027561751554153,0.47,131.62912,287,277,2024-04-28,DEEG,189,2024-06-30T00:00:00,7.4,1.792567,423,429,290,294,1.3959038,2023-07-01T00:00:00,30.683411764705884,Astavan Jadid,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.27662908533352,27.283227567400257]}"
2_0,0,0.13954782,0.5,0.25,4.81,0.17499565,145,6.05,218.4,0.28241086,0.39,37,0.21005435,21,0.3186652,0.27543697,0.7800748887187076,0.27,48.415367,295,285,2024-04-30,DEEG,218,2024-06-30T00:00:00,8,1.7414736,446,449,260,266,1.3971242,2023-07-01T00:00:00,30.59494117647059,Jalooki,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95808648558473,27.45651258570691]}"
3_0,0,0.12497831,0.39,0.62,6.33,0.15586025,283,5.27,168,0.3055771,0.3,34,0.17987831,19.5,0.31283253,0.26068434,-1.448388151739233,0.31,180.0,287,287,2024-04-30,DEEG,201,2024-06-30T00:00:00,7.6,1.8057665,405,407,307,306,1.8543341,2023-07-01T00:00:00,30.570882352941187,Thoon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12059172048195,27.377281177647568]}"
4_0,0,0.1018,0.55,0.24,3.65,0.1346561,314,2.35,151.2,0.28848293,0.27,31,0.15720488,23.5,0.29896584,0.2449244,-0.7576843534103234,0.33,311.63394,274,281,2024-04-13,DEEG,177,2024-06-30T00:00:00,7.6,1.6661468,472,467,253,252,2.789888,2023-07-01T00:00:00,30.67464705882353,Kanchanpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38685237069498,27.264362946433746]}"
5_0,0,0.12885411,0.37,0.47,4.81,0.15143412,143,3.36,168,0.24733059,0.3,19,0.17698471,22,0.29048353,0.25928822,-2.478387258184672,0.46,270.0,287,282,2024-04-01,DEEG,193,2024-06-30T00:00:00,8.2,1.7225658,406,404,308,313,5.194748,2023-07-01T00:00:00,30.694399999999995,Janoothar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38577439235404,27.09242540105327]}"
6_0,0,0.09944634,0.47,0.54,5.19,0.13716342,169,4.42,201.6,0.29283902,0.36,24,0.15777074,17.5,0.2906,0.23191951,2.679564248933924,0.28,-0.0,269,266,2024-02-08,DEEG,173,2024-06-30T00:00:00,7.2,1.6032542,425,424,305,310,0.92740995,2023-07-01T00:00:00,30.537999999999993,Ubar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50839442863635,27.28295807281502]}"
8_0,0,0.1451317,0.5,0.72,6.27,0.18219268,174,6.17,117.6,0.3262195,0.21,34,0.20802195,22,0.32720488,0.28561464,-1.5655421643565612,0.49,270.0,243,244,2024-04-28,DEEG,178,2024-06-30T00:00:00,7.4,1.5509149,435,429,322,326,2.086309,2023-07-01T00:00:00,30.650176470588242,Belara Kalan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.41380182921857,27.28619200783785]}"
9_0,0,0.13778572,0.64,0.61,4.32,0.16500834,210,5.47,84,0.23370953,0.15,37,0.19974166,24.5,0.26494166,0.23475833,-0.06507076439239488,0.5,180.0,273,278,2024-03-22,DEEG,194,2024-06-30T00:00:00,7.4,1.7839614,496,491,231,231,0.92740995,2023-07-01T00:00:00,30.688888888888894,Pahari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08447944606036,27.70875951748767]}"
11_0,0,0.12885411,0.48,0.4,5.36,0.15143412,187,4.64,134.4,0.24733059,0.24,30,0.17698471,23,0.29048353,0.25928822,-2.478387258184672,0.41,270.0,287,282,2024-04-01,DEEG,193,2024-06-30T00:00:00,7.3,1.7225658,406,404,308,313,5.194748,2023-07-01T00:00:00,30.694399999999995,Janoothar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38577439235404,27.09242540105327]}"
12_0,0,0.12487805,0.51,0.36,6.22,0.16294879,192,5.47,218.4,0.3006366,0.39,30,0.1899,22,0.31616342,0.27642196,-0.7581010407485941,0.52,131.62634,273,271,2024-04-17,DEEG,186,2024-06-30T00:00:00,7.6,1.7577937,431,431,297,298,2.7903044,2023-07-01T00:00:00,30.72264516129032,Dhanwara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30896843556182,27.294276845394926]}"
13_0,0,0.0929275,0.48,0.24,4.85,0.1250925,201,5.36,84,0.2635125,0.15,27,0.1418625,19,0.2781075,0.229755,0.21899857382711604,0.46,311.55777,302,309,2024-04-10,DEEG,184,2024-06-30T00:00:00,8.3,1.6994845,420,415,278,276,2.7940626,2023-07-01T00:00:00,30.684687499999995,Nagla Harsukh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.32190417565315,27.560268001022717]}"
14_0,0,0.11821219,0.54,0.47,5.33,0.16873659,223,4.76,168,0.3205122,0.3,38,0.20412683,21.5,0.3403683,0.30229023,-0.8770318847056771,0.32,270.0,286,291,2024-04-17,DEEG,184,2024-06-30T00:00:00,8.6,1.7265816,423,420,291,289,1.045943,2023-07-01T00:00:00,30.598000000000003,Paramdara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30627348970947,27.5443678204938]}"
15_0,0,0.11810889,0.47,0.29,6.84,0.15174,301,3.35,134.4,0.32895333,0.24,37,0.16667555,24.5,0.29873776,0.24416444,-0.06788472462373013,0.27,228.42778,300,292,2024-04-11,DEEG,223,2024-06-30T00:00:00,7.2,1.8254511,409,413,291,295,1.3974651,2023-07-01T00:00:00,30.556216216216214,Bhatpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.89825868766238,27.504482621878893]}"
16_0,0,0.09097317,0.47,0.72,5.36,0.12569512,298,6.18,201.6,0.29802194,0.36,37,0.13718049,19,0.26380488,0.20578049,7.004878310011722,0.46,-0.0,275,281,2024-04-19,DEEG,179,2024-06-30T00:00:00,7.8,1.6641091,421,415,304,304,0.0,2023-07-01T00:00:00,30.619,Baroli Chauth,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.36340634177947,27.46648388536064]}"
17_0,0,0.11965952,0.31,0.31,5.27,0.14685714,196,4.78,151.2,0.23544405,0.27,37,0.17537619,24,0.27308214,0.24172144,-1.4349294020351273,0.48,239.45029,273,278,2024-03-20,DEEG,193,2024-06-30T00:00:00,7.8,1.7839614,496,491,231,231,3.6445627,2023-07-01T00:00:00,30.688888888888894,Bhaisera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08420995147512,27.70875951748767]}"
18_0,0,0.15948045,0.58,0.48,5.36,0.19443218,236,6.24,201.6,0.31258965,0.36,41,0.22638391,17.5,0.3216207,0.2858046,-1.4494163489742922,0.32,180.0,287,270,2024-04-25,DEEG,210,2024-06-30T00:00:00,8,1.7427856,451,460,262,270,1.8543341,2023-07-01T00:00:00,30.60782857142857,Khesti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04782818246828,27.49289435471375]}"
