system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
1_0,0,0.14557143,0.42,0.28,3.1,0.20440409,220,2.1,0,0.33695716,0.12,42,0.26406327,0,0.38540205,0.34065917,0.344175870787994,0.34,180.0,200,211,2024-03-27,JAISALMER,211,2024-06-30T00:00:00,8.7,0.85629475,679,679,121,110,0.92740995,2023-07-01T00:00:00,31.13435555555555,Chhayan-Ii,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.84146229029676,27.286461502423087]}"
2_0,0,0.14386326,0.36,0.28,3.6,0.20793878,300,2.9,0,0.32539797,0.3,36,0.264851,0,0.395451,0.3783204,4.110897659251882,0.14,90.0,246,246,2024-03-27,JAISALMER,175,2024-06-30T00:00:00,8.9,0.6727475,526,531,228,223,1.0364085,2023-07-01T00:00:00,31.17822222222223,Bersiyala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.61095001410985,26.515706988648535]}"
3_0,0,0.1188449,0.18,0.45,2.4,0.18102857,200,2.9,0,0.32093468,0.24,30,0.2227898,0,0.37249184,0.3238612,0.637742313200175,0.2,-0.0,252,257,2024-03-27,JAISALMER,224,2024-06-30T00:00:00,9,0.6249622,526,526,222,217,1.8543341,2023-07-01T00:00:00,31.03445454545454,Bersiyala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.7203648157156,26.61380301767439]}"
4_0,0,0.113763265,0.28,0.46,3.4,0.15502551,210,2.1,0,0.29528368,0.28,40,0.20684285,0,0.3056806,0.28661022,1.5327461569987257,0.38,90.0,225,236,2024-03-26,JAISALMER,240,2024-06-30T00:00:00,8.8,1.0009661,573,572,202,192,1.0397004,2023-07-01T00:00:00,30.918863636363632,Lawan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.02175416781955,26.87709922744982]}"
5_0,0,0.115349,0.5,0.24,3.6,0.148771,260,3.2,0,0.331724,0.2,40,0.168893,0,0.318414,0.266353,-0.17452708824715965,0.3,270.0,213,221,2024-03-21,JAISALMER,215,2024-06-30T00:00:00,8.8,0.79857796,561,559,226,220,1.0410206,2023-07-01T00:00:00,30.95722727272727,Khetolai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.71102691104261,27.02020085221006]}"
6_0,0,0.171648,0.18,0.42,2.2,0.204376,210,2.2,0,0.31142598,0.28,38,0.252822,0,0.353076,0.328722,0.38443500497315825,0.3,131.76599,229,235,2024-03-21,JAISALMER,240,2024-06-30T00:00:00,8.8,0.98371536,563,560,208,205,4.1699452,2023-07-01T00:00:00,31.09463636363638,Jhalariya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.96974171286904,26.742890924002364]}"
7_0,0,0.11745686,0.4,0.28,2.1,0.15009412,180,2.6,0,0.2598255,0.2,30,0.19082746,0,0.3204745,0.286749,5.335934186145993,0.4,228.23833,226,234,2024-03-20,JAISALMER,235,2024-06-30T00:00:00,9.1,0.98611796,567,563,207,203,1.3922844,2023-07-01T00:00:00,31.072888888888887,Jhalariya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9732451424771,26.75986908287222]}"
8_0,0,0.18837959,0.28,0.56,3.4,0.24110204,210,2.4,0,0.33672857,0.12,48,0.29136938,0,0.39021632,0.3589755,-1.3066000972768543,0.28,253.38887,251,265,2024-03-20,JAISALMER,257,2024-06-30T00:00:00,8.9,0.7379959,579,570,169,165,3.2409382,2023-07-01T00:00:00,30.857906976744182,Laxmansar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.20788052040727,26.494955905585375]}"
9_0,0,0.178798,0.3,0.24,2.9,0.22601,280,2.4,0,0.325824,0.19,40,0.272932,0,0.363838,0.342848,-1.154266924632914,0.28,228.20183,254,254,2024-01-10,JAISALMER,227,2024-06-30T00:00:00,8.7,0.84676605,518,524,228,222,1.3912927,2023-07-01T00:00:00,30.965954545454544,Panasar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.86760326506464,26.61380301767439]}"
10_0,0,0.14550892,0.18,0.34,3.4,0.20327228,240,2.9,0,0.33629504,0.4,30,0.2600099,0,0.38442573,0.34216437,3.933744007965399,0.45,228.30875,219,242,2024-03-19,JAISALMER,203,2024-06-30T00:00:00,8.9,0.7783637,599,589,183,169,1.3942039,2023-07-01T00:00:00,30.874636363636377,Lathi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.5576844920434,27.039334967761807]}"
11_0,0,0.09590198,0.3,0.56,3.9,0.14363168,190,2.9,0,0.33340594,0.2,45,0.16955346,0,0.3419584,0.2810198,7.075469391014459,0.4,-0.0,220,244,2024-03-19,JAISALMER,200,2024-06-30T00:00:00,8.9,0.7783637,598,589,181,167,0.0,2023-07-01T00:00:00,30.874636363636377,Lathi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.55822348121389,27.038795978591335]}"
12_0,0,0.151476,0.2,0.4,2.4,0.213222,230,2.3,0,0.336262,0.28,45,0.276136,0,0.396426,0.366744,-2.13390680371438,0.28,180.0,237,247,2024-03-18,JAISALMER,259,2024-06-30T00:00:00,9.2,0.7624942,578,575,185,177,3.7047918,2023-07-01T00:00:00,30.86995555555556,Sandhuwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.18739893192934,26.50304074314245]}"
13_0,0,0.1467451,0.54,0.4,3.3,0.19848627,210,2.8,0,0.34073138,0.19,36,0.24924706,0,0.39753726,0.3573,-1.154266924632914,0.18,311.79816,232,263,2024-03-15,JAISALMER,310,2024-06-30T00:00:00,8.9,0.8038634,572,545,196,192,1.3912927,2023-07-01T00:00:00,30.89818604651163,Bhainsara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.48707691071161,26.61380301767439]}"
14_0,0,0.08666471,0.25,0.36,3.1,0.1278804,230,2.4,0,0.29731175,0.12,42,0.15083529,0,0.31457058,0.24720196,2.1145316416864266,0.36,114.06396,240,261,2024-03-14,JAISALMER,289,2024-06-30T00:00:00,9.4,0.7694232,555,541,204,198,2.2734277,2023-07-01T00:00:00,30.932727272727274,Chok,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.58598142349317,26.730224678496278]}"
15_0,0,0.152422,0.45,0.45,3.2,0.23576,270,2.4,0,0.355452,0.11,42,0.310848,0,0.437586,0.412058,-0.8618550740197475,0.5,90.0,243,263,2024-03-15,JAISALMER,311,2024-06-30T00:00:00,8.7,0.7143516,529,519,228,218,1.0379746,2023-07-01T00:00:00,30.95947826086957,Khoohri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.85026120579928,26.688722512369957]}"
16_0,0,0.150178,0.26,0.36,3.1,0.201294,230,2.5,0,0.339902,0.12,40,0.238342,0,0.347834,0.295456,-1.1594303958319725,0.3,48.297207,261,273,2024-03-15,JAISALMER,183,2024-06-30T00:00:00,8.6,0.71889037,586,582,153,145,1.393889,2023-07-01T00:00:00,30.919674418604647,Delasar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.308132506115,26.993790382856947]}"
17_0,0,0.12572,0.4,0.24,2.8,0.179134,250,2.2,0,0.310112,0.4,50,0.206522,0,0.362794,0.321306,-2.8085176040736184,0.45,97.300606,277,285,2024-03-14,JAISALMER,116,2024-06-30T00:00:00,8.7,0.7692261,517,521,206,195,7.259665,2023-07-01T00:00:00,31.286695652173922,Phuliya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.37595073578417,26.259956627259708]}"
18_0,0,0.150728,0.18,0.42,2.4,0.215348,280,2.3,0,0.34446,0.18,42,0.26807,0,0.411318,0.367638,2.5563227741081223,0.45,228.25673,238,246,2024-01-25,JAISALMER,192,2024-06-30T00:00:00,8.9,0.5767577,582,574,180,180,1.3927852,2023-07-01T00:00:00,31.31760000000001,Sam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.53522203565856,26.83344110464161]}"
19_0,0,0.14846274,0.56,0.42,3.1,0.22648922,220,2.3,0,0.33857256,0.12,45,0.27527058,0,0.3951196,0.3621961,-1.560858589463688,0.48,90.0,294,281,2024-03-12,JAISALMER,158,2024-06-30T00:00:00,8.6,0.69556063,548,555,158,164,2.0813904,2023-07-01T00:00:00,31.164744186046512,Baramsar With Baisakhi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.84352384116839,27.022356808891946]}"
20_0,0,0.108605884,0.36,0.4,3.4,0.1578647,260,2.8,0,0.30328235,0.16,60,0.20405294,0,0.35391372,0.313051,-1.1543454999296516,0.36,228.20335,227,260,2024-03-07,JAISALMER,306,2024-06-30T00:00:00,9.4,0.8038634,578,553,194,187,1.391334,2023-07-01T00:00:00,31.01600000000001,Rasla,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.47414117062029,26.620001393134814]}"
21_0,0,0.15643191,0.18,0.4,3.2,0.21457021,180,2.1,0,0.33227235,0.18,32,0.26313618,0,0.39020425,0.33099788,-1.6500321116100598,0.3,245.97572,253,252,2024-03-11,JAISALMER,247,2024-06-30T00:00:00,8.9,0.6837448,540,537,207,211,2.2769563,2023-07-01T00:00:00,30.810782608695654,Dhauwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.91413142250018,26.941238938735953]}"
22_0,0,0.1346694,0.3,0.1,2.4,0.20377755,220,3.2,0,0.36228368,0.12,40,0.24717143,0,0.39496326,0.3316939,-0.8846536299183626,0.3,209.2167,244,251,2024-03-11,JAISALMER,225,2024-06-30T00:00:00,8.62,0.6249622,527,523,229,226,2.124398,2023-07-01T00:00:00,31.03445454545454,Pochheena,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.72198178322702,26.61568947977104]}"
23_0,0,0.09600204,0.4,0.2,2.3,0.14584693,180,2.3,0,0.27552652,0.3,28,0.18655306,0,0.3710143,0.32425103,-0.16732588651735797,0.4,270.0,257,260,2024-03-07,JAISALMER,223,2024-06-30T00:00:00,8.7,0.6249622,527,527,217,213,1.0372528,2023-07-01T00:00:00,31.03445454545454,Pochheena,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.72386824532367,26.609221609725378]}"
24_0,0,0.084404,0.28,0.4,3.9,0.13157,290,2.9,0,0.310408,0.24,40,0.172322,0,0.325242,0.276486,3.542715227808674,0.45,-0.0,214,207,2024-03-03,JAISALMER,249,2024-06-30T00:00:00,9.4,0.78889924,565,578,221,215,1.8543341,2023-07-01T00:00:00,30.76060465116279,Bandhewa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.71506932982115,26.51274254821094]}"
25_0,0,0.13431717,0.32,0.4,2.4,0.20271818,230,2.5,0,0.3347303,0.3,50,0.26787373,0,0.3897596,0.3717798,-0.7485121359022011,0.3,-0.0,255,260,2024-03-27,JAISALMER,238,2024-06-30T00:00:00,7.9,0.9269245,516,516,229,224,0.92740995,2023-07-01T00:00:00,31.062272727272724,Bagthal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.02930001620615,26.608143631384436]}"
26_0,0,0.1566102,0.48,0.3,2.8,0.22115919,300,2.6,0,0.33942652,0.24,28,0.2811898,0,0.4286449,0.37349182,-1.5845016429769316,0.45,150.6492,222,229,2024-01-08,JAISALMER,225,2024-06-30T00:00:00,9.2,0.8576709,590,591,188,179,2.1271856,2023-07-01T00:00:00,31.220173913043478,Chhayan-I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.81289586426176,27.234449047472566]}"
27_0,0,0.13082857,0.36,0.48,2.4,0.20225714,230,2.5,0,0.32092652,0.28,28,0.26101226,0,0.41918978,0.37861836,0.45519093944256656,0.24,48.201694,254,258,2024-03-27,JAISALMER,224,2024-06-30T00:00:00,9.4,0.6249622,524,525,222,218,1.391289,2023-07-01T00:00:00,31.03445454545454,Bersiyala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.72090380488608,26.613264028503917]}"
28_0,0,0.1206,0.24,0.4,2.8,0.171968,210,2.9,0,0.33325002,0.28,40,0.22968,0,0.408056,0.35681,-0.9510770377454555,0.24,245.90753,232,256,2024-03-22,JAISALMER,271,2024-06-30T00:00:00,9.2,0.7769168,576,561,192,183,2.2709,2023-07-01T00:00:00,30.903720930232563,Jograjgarh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.66790777740488,26.577690743252784]}"
29_0,0,0.10973265,0.2,0.34,2.4,0.15722449,220,2.5,0,0.3052408,0.4,28,0.20409591,0,0.33957958,0.28934082,8.44733880397855,0.28,294.10962,251,263,2024-03-21,JAISALMER,258,2024-06-30T00:00:00,8.8,0.7379959,573,563,176,174,2.2693815,2023-07-01T00:00:00,30.822590909090913,Fateh Garh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.21327041211198,26.48552359510212]}"
30_0,0,0.17112157,0.24,0.32,2.1,0.22089216,260,1.8,0,0.3465157,0.28,28,0.28077844,0,0.41983137,0.38438627,0.10287831611499235,0.24,200.44318,226,255,2024-01-08,JAISALMER,289,2024-06-30T00:00:00,8.9,0.7931502,578,554,196,190,5.917855,2023-07-01T00:00:00,30.886976744186043,Rajgarh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.57169821047567,26.588740021247453]}"
31_0,0,0.17922,0.4,0.45,2.4,0.230814,260,2.9,0,0.321138,0.4,36,0.277518,0,0.370718,0.33940598,8.73494611756366,0.45,-0.0,261,273,2024-03-20,JAISALMER,180,2024-06-30T00:00:00,8.6,0.71889037,586,582,153,145,0.92740995,2023-07-01T00:00:00,30.919674418604647,Delasar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.30840200070024,26.992712404516002]}"
32_0,0,0.119526,0.24,0.54,3.2,0.174696,210,2.4,0,0.318336,0.2,40,0.230624,0,0.382282,0.34773,-0.9502805453524903,0.4,114.10184,214,228,2024-03-20,JAISALMER,238,2024-06-30T00:00:00,8.9,0.81369233,556,548,230,225,2.2700713,2023-07-01T00:00:00,31.014772727272724,Jeeyasar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.82637059352356,26.527564750398913]}"
34_0,0,0.10941569,0.3,0.24,2.4,0.15289412,248,1.9,0,0.27543333,0.3,45,0.1920647,0,0.34334707,0.29227254,-0.4784085274497569,0.58,29.201132,230,242,2024-03-28,JAISALMER,233,2024-06-30T00:00:00,8.9,0.80540115,540,534,230,225,2.1240757,2023-07-01T00:00:00,31.052790697674414,Dantal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.85870994375186,26.542386952586885]}"
