system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.09543104,0.32,0.15,4.08,0.12646207,138,4.38,0,0.26487473,0.27,18.32,0.14762874,20.7,0.28254253,0.23996551,-1.229978278933432,0.48,159.36795,272,252,2024-05-08,NEEM KA THANA,425,2024-06-30T00:00:00,8.82,1.9220668,456,464,272,284,2.9704998,2023-07-01T00:00:00,30.576227272727273,Mawta,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.61007457023499,27.709837495828616]}"
1_0,0,0.14279231,0.32,0.24,4.68,0.16591845,230,4.1,0,0.29914308,0.18,53,0.19687384,37,0.33677384,0.28695846,-0.8830459602030911,0.64,90.0,275,259,2024-03-20,NEEM KA THANA,419,2024-06-30T00:00:00,8.15,1.8098782,475,476,250,265,1.0491139,2023-07-01T00:00:00,30.652857142857144,SHREE ASHOK NAGAR,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.76557294591608,27.87476818199296]}"
2_0,0,0.08295056,0.32,0.18,4.3,0.12040337,180,4.32,0,0.3437236,0.22,60,0.14326629,27,0.29094493,0.23461011,0.21205979429543223,0.3,311.4299,264,249,2024-06-19,NEEM KA THANA,373,2024-06-30T00:00:00,7.8,1.7111349,463,470,273,281,5.588894,2023-07-01T00:00:00,30.627948717948712,Loyal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.64510886631564,28.048861684055325]}"
3_0,0,0.11935604,0.3,0.18,4.4,0.16256593,345,4.3,0,0.31853297,0.27,41.22,0.21201648,27,0.37414944,0.3324868,-2.02122884133632,0.32,286.43472,287,285,2024-05-08,NEEM KA THANA,443,2024-06-30T00:00:00,7.92,1.9823269,439,441,273,274,3.2746758,2023-07-01T00:00:00,30.728666666666662,Indrapura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.45781012957673,27.757807532000598]}"
4_0,0,0.0883625,0.36,0.17,4.4,0.1261267,199,4.3,0,0.32583126,0.27,65,0.1530858,27,0.2901483,0.24090512,-0.47875416621834643,0.46,270.0,236,225,2024-03-20,NEEM KA THANA,408,2024-06-30T00:00:00,8.63,1.8963431,479,488,284,288,2.098779,2023-07-01T00:00:00,30.52434999999999,Barau,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.66828540064593,27.939446882449566]}"
5_0,0,0.1360025,0.28,0.19,4.91,0.1632275,322,4.91,0,0.2645125,0.27,25,0.1950975,18,0.3551125,0.321965,-1.6633722098794408,0.88,66.1315,243,238,2024-03-26,NEEM KA THANA,414,2024-06-30T00:00:00,8.4,1.7320291,467,467,289,295,2.2909234,2023-07-01T00:00:00,30.59500000000001,Nathuwala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.90328467897159,27.752956629466354]}"
6_0,0,0.108690694,0.31,0.2,4.92,0.15590698,269,4.61,0,0.3203186,0.27,26,0.21029535,20,0.36220232,0.32487908,-1.3874799789585204,0.69,323.03555,230,211,2024-02-22,NEEM KA THANA,495,2024-06-30T00:00:00,8.2,1.7832115,493,496,277,293,3.4781275,2023-07-01T00:00:00,30.48958974358974,Jheerana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77150182679127,27.644889300786776]}"
7_0,0,0.19091041,0.34,0.26,4.72,0.21118125,115,4.36,0,0.34146458,0.21,57,0.233225,40,0.3617854,0.29795834,-2.2933615327090022,0.66,257.53946,256,246,2024-03-20,NEEM KA THANA,420,2024-06-30T00:00:00,8.31,1.8098782,468,467,276,287,4.2905383,2023-07-01T00:00:00,30.611268292682936,Pratappura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77689171849597,27.885008976231923]}"
8_0,0,0.08992222,0.5,0.16,4.1,0.12515926,218.5,4.2,0,0.27344567,0.195,27.48,0.16383086,11.7,0.30563086,0.27021235,1.63733670522373,0.92,-0.0,248,242,2024-05-30,NEEM KA THANA,345,2024-06-30T00:00:00,8.59,1.4658834,507,507,245,252,0.92740995,2023-07-01T00:00:00,30.6813,Basai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.97011933611009,27.96585735180268]}"
9_0,0,0.13826777,0.28,0.16,4.66,0.16803111,368,4.1,0,0.29305777,0.24,69,0.19578667,22,0.3448389,0.2891289,-0.972095983697449,0.72,113.84676,282,256,2024-03-21,NEEM KA THANA,410,2024-06-30T00:00:00,8.65,1.9251704,470,479,248,264,4.578453,2023-07-01T00:00:00,30.7148780487805,Hardiya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.74185742241532,27.864527387754]}"
