system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.12962449,0.4,0.14,3.78,0.18796939,268,5.94,0,0.31436327,0.19,56,0.24661225,0,0.39326122,0.36807144,-1.1641147170009247,0.4,131.61623,227,238,2024-03-15,PHALODI,210,2024-06-30T00:00:00,8.3,1.1083007,523,528,250,233,1.3962572,2023-07-01T00:00:00,31.366454545454534,Jamba,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.54942456571136,27.33362305483936]}"
1_0,0,0.13265754,0.38,0.56,3.43,0.18881698,423,4.79,0,0.32088017,0.32,59,0.24132925,0,0.3904368,0.3594698,-1.918232521284213,0.43,339.45117,250,258,2024-03-08,PHALODI,269,2024-06-30T00:00:00,8.7,1.2052457,511,506,239,236,2.9688816,2023-07-01T00:00:00,31.28431111111111,Bheeyasar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.79304767076458,27.223399769477894]}"
2_0,0,0.14697084,0.46,0.07,4.1,0.18141666,226,4.48,0,0.28818125,0.16,15,0.21371667,0,0.32422292,0.28805208,-2.2720236097320403,0.32,150.76172,236,252,2024-03-17,PHALODI,264,2024-06-30T00:00:00,8.7,0.8557902,546,536,217,212,4.2438617,2023-07-01T00:00:00,30.732727272727274,Burkiya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.17105416804021,26.71648045464925]}"
4_0,0,0.11291827,0.53,0.13,4,0.14373077,296,5.33,0,0.27605096,0.21,54,0.1742,0,0.32016635,0.28204903,-1.8525483365831077,0.37,180.0,243,248,2024-04-01,PHALODI,273,2024-06-30T00:00:00,8.6,1.0741436,558,553,199,199,2.7802885,2023-07-01T00:00:00,31.30373333333333,Baba Ka Dhora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.94989351937184,27.22959814493832]}"
5_0,0,0.13310833,0.4,0.11,2.76,0.17377916,282,4.9,0,0.29988542,0.18,31,0.21974583,0,0.32843125,0.30140623,-0.16743656671275559,0.29,270.0,247,253,2024-03-11,PHALODI,264,2024-06-30T00:00:00,9.1,0.8832583,512,507,241,239,1.0373081,2023-07-01T00:00:00,30.928837209302323,Chordiya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.28262492632786,26.615150490600566]}"
6_0,0,0.10645532,0.54,0.14,3.48,0.15557872,310,5.92,0,0.31258723,0.18,18,0.19911915,0,0.3450298,0.3008936,1.194537254090905,0.38,180.0,232,231,2024-03-14,PHALODI,277,2024-06-30T00:00:00,9,0.8744096,546,550,221,219,0.92740995,2023-07-01T00:00:00,30.904400000000003,Moharsar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.40551445719541,26.93692702537218]}"
7_0,0,0.115636,0.48,0.15,3.36,0.161718,409,5.12,0,0.296104,0.16,49,0.209954,0,0.385232,0.343566,-0.26825878431640743,0.32,66.028656,226,231,2024-03-07,PHALODI,192,2024-06-30T00:00:00,8.8,1.0610462,591,590,182,179,2.281681,2023-07-01T00:00:00,30.86318181818182,Siyamali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.34272221883546,27.219626845284594]}"
8_0,0,0.148054,0.48,0.17,2.8,0.202316,339,4.96,0,0.326972,0.1,49,0.261282,0,0.421212,0.390228,2.219826202669873,0.36,270.0,226,230,2024-03-07,PHALODI,193,2024-06-30T00:00:00,9,1.0610462,592,590,183,180,1.0428779,2023-07-01T00:00:00,30.86318181818182,Siyamali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.34326120800593,27.219626845284594]}"
9_0,0,0.13148776,0.56,0.08,3.76,0.18332244,296,6.43,0,0.3234,0.15,20,0.23923266,0,0.37118366,0.33420205,2.202572185642161,0.34,311.60474,208,210,2024-04-01,PHALODI,193,2024-06-30T00:00:00,8.9,1.0407002,589,590,203,200,1.3965722,2023-07-01T00:00:00,31.025130434782618,Modkiya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.35323250765965,27.378359155988512]}"
10_0,0,0.099596955,0.46,0.13,3.36,0.14079797,254,4.7,0,0.28147867,0.16,36,0.18502437,0,0.33158782,0.2806863,-1.1597720643961917,0.34,311.69632,222,226,2024-03-14,PHALODI,236,2024-06-30T00:00:00,8.9,0.9611309,600,597,178,176,1.3940655,2023-07-01T00:00:00,30.840399999999995,Hanumanpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.0732276335996,27.01939236845435]}"
