system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.12046327,0.33,1.63,4.79999999999999,0.14803265,390,2.15,0,0.31138366,0.26,22,0.1746204,0,0.30808777,0.24286123,-1.5479536674848213,0.41,90.0,247,248,2024-03-28,SAWAI MADHOPUR,238,2024-06-30T00:00:00,8.08,1.6759409,479,474,274,277,2.0679138,2023-07-01T00:00:00,30.56115789473685,Paniyala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.54495128641817,26.27989922656716]}"
1_0,0,0.14322688,0.38,0.99,4.54,0.17255162,335,2.43,0,0.33591828,0.17,26,0.18853979,0,0.2991656,0.24297634,1.201219875954567,0.64,180.0,240,251,2024-03-28,SAWAI MADHOPUR,245,2024-06-30T00:00:00,7.31,1.6618412,488,478,273,271,0.92740995,2023-07-01T00:00:00,30.447794871794876,Ajnoti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.36843233308868,26.158087674040555]}"
2_0,0,0.13438298,0.51,1.06,4.53,0.17425531,390,2.3,0,0.32969788,0.2,20,0.20943616,0,0.34520426,0.28922978,8.36631190405852,0.45,-0.0,243,231,2024-03-29,SAWAI MADHOPUR,242,2024-06-30T00:00:00,7.92,1.760616,492,501,265,269,0.0,2023-07-01T00:00:00,30.50863157894737,Uliyana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.46086897582458,26.107961681186687]}"
3_0,0,0.10365208,0.76,0.17,4.68,0.13345625,350,2.1,0,0.2896625,0.17,20,0.149625,0,0.2686479,0.21002084,-2.1001296115751473,0.18,59.041946,274,278,2024-03-28,SAWAI MADHOPUR,214,2024-06-30T00:00:00,8.14,1.9008504,436,433,289,289,3.601285,2023-07-01T00:00:00,30.47600000000001,Pali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.55061067270812,25.868650489497245]}"
4_0,0,0.1298702,0.93,1.19,4.48,0.15382978,350,2.05,0,0.28045744,0.14,20,0.16285744,0,0.31335956,0.25538936,8.624902406229312,0.37,-0.0,242,266,2024-03-28,SAWAI MADHOPUR,233,2024-06-30T00:00:00,8.10999999999998,1.7090753,418,403,340,330,0.92740995,2023-07-01T00:00:00,30.68405405405405,Khijoori,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.2662938852843,25.859757168184462]}"
5_0,0,0.09431042,0.86,0.24,4.72,0.13346666,220,2.75,0,0.30720833,0.1,26,0.16042499,0,0.30469584,0.25684583,0.7944822970774752,0.33,311.85043,257,265,2024-03-28,SAWAI MADHOPUR,287,2024-06-30T00:00:00,7.16,1.4676204,466,457,276,278,1.389876,2023-07-01T00:00:00,30.618871794871787,Kushalpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.22829514876604,26.40305825201995]}"
6_0,0,0.11456162,0.33,1.25,4.75,0.15057677,370,2.3,0,0.31427577,0.21,22,0.1746091,0,0.3266,0.27727878,1.4511847919989338,0.54,180.0,236,245,2024-03-28,SAWAI MADHOPUR,289,2024-06-30T00:00:00,8.4,1.4549378,509,500,255,256,0.92740995,2023-07-01T00:00:00,30.676849999999995,Thadoli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05824406548221,26.32113189810825]}"
7_0,0,0.13242084,0.93,0.37,4.5,0.16491042,420,2.75,0,0.3094375,0.14,20,0.19322917,0,0.35082293,0.28951252,-1.5560479212303253,0.15,131.8663,233,243,2024-03-28,SAWAI MADHOPUR,310,2024-06-30T00:00:00,8.22,1.4859786,506,494,261,262,4.1618214,2023-07-01T00:00:00,30.60705263157895,Gol,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.20835254945858,26.33864904614858]}"
8_0,0,0.10507347,0.81,0.36,4.26,0.14661428,280,2.6,0,0.3372102,0.2,18,0.17191225,0,0.33976734,0.26705918,-1.4396807325656016,0.49,-0.0,249,260,2024-03-28,SAWAI MADHOPUR,305,2024-06-30T00:00:00,7.25,1.4682285,466,458,285,282,1.8543341,2023-07-01T00:00:00,30.628600000000006,Moran,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.2040406360948,26.37691727725207]}"
9_0,0,0.070199996,0.81,0.85,4.17,0.1051653,410,2.29,0,0.33138368,0.18,20,0.11435306,0,0.29668775,0.22042245,-1.5748310903198681,0.59,209.15756,248,237,2024-03-28,SAWAI MADHOPUR,277,2024-06-30T00:00:00,8,1.4859786,535,539,217,223,2.1231747,2023-07-01T00:00:00,30.592974358974352,Khirkhadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.23530200798217,26.33676258405193]}"
10_0,0,0.12978724,0.81,1.7,4.43,0.15861489,240,2.4,0,0.3232,0.19,26,0.1702234,0,0.29526383,0.23472978,-0.7437750913103275,0.56,-0.0,236,239,2024-03-28,SAWAI MADHOPUR,257,2024-06-30T00:00:00,7.26,1.7426187,470,468,293,294,0.92740995,2023-07-01T00:00:00,30.4308108108108,Pacheeplya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.36196446304302,26.05109832370192]}"
11_0,0,0.09031458,0.83,0.49,4.77,0.12198125,430,2.3,0,0.3243146,0.16,18,0.12105625,0,0.2687104,0.18004583,2.495602153474625,0.23,270.0,261,269,2024-03-28,SAWAI MADHOPUR,247,2024-06-30T00:00:00,7.64,1.5055434,477,468,262,262,2.0673356,2023-07-01T00:00:00,30.63123076923076,Didwari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.28569749542127,26.24755987633886]}"
12_0,0,0.090217024,0.53,0.36,4.28,0.12207234,360,2.2,0,0.31782126,0.1,22,0.1317149,0,0.27467233,0.20398723,-1.1465953870834034,0.45,228.05989,259,274,2024-03-28,SAWAI MADHOPUR,224,2024-06-30T00:00:00,7.28,1.8062805,440,430,301,297,1.3874538,2023-07-01T00:00:00,30.493105263157897,Kosra With Chhareta Tod,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.73548395817991,26.036545616099183]}"
13_0,0,0.11216,0.71,1.29,4.93,0.147784,380,2.43,0,0.323852,0.24,24,0.171942,0,0.321706,0.258128,-1.547303774112453,0.21,90.0,236,241,2024-03-28,SAWAI MADHOPUR,236,2024-06-30T00:00:00,8.53,1.6412741,457,449,307,310,2.067237,2023-07-01T00:00:00,30.50082051282051,Shyamoli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.56516338031086,26.241900490048906]}"
14_0,0,0.10891,0.21,1.09,4.43,0.14447,260,2.3,0,0.338636,0.26,26,0.162724,0,0.32537,0.249838,2.0388714808248762,0.48,-0.0,236,241,2024-03-28,SAWAI MADHOPUR,238,2024-06-30T00:00:00,8.33,1.6412741,457,449,307,310,0.0,2023-07-01T00:00:00,30.451641025641027,Shyamoli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.56489388572562,26.241361500878433]}"
15_0,0,0.12768587,0.53,0.46,4.13,0.17375435,290,2.84,0,0.35654673,0.15,24,0.2058511,0,0.3578565,0.3050761,4.236546534829356,0.26,-0.0,249,247,2024-03-30,SAWAI MADHOPUR,242,2024-06-30T00:00:00,8.12,1.5404358,450,446,301,307,0.0,2023-07-01T00:00:00,30.5911,Neemod,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.1452908165134,26.188001573001735]}"
16_0,0,0.10421209,0.55,1.53,4.34,0.13918681,320,2.3,0,0.3150978,0.22,26,0.15859121,0,0.29664725,0.2382989,-1.148160059728158,0.39,311.9111,246,256,2024-03-28,SAWAI MADHOPUR,248,2024-06-30T00:00:00,8.12000000000001,1.6618412,506,496,249,248,1.3882362,2023-07-01T00:00:00,30.475743589743598,Ajnoti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.35387962548594,26.15593171735867]}"
17_0,0,0.14171208,0.22,1.49,4.93,0.17964725,220,2.9,0,0.33191758,0.18,18,0.2042,0,0.32146814,0.27031317,-0.7446675574962671,0.37,-0.0,251,262,2024-03-28,SAWAI MADHOPUR,249,2024-06-30T00:00:00,8.06000000000001,1.6618412,513,502,236,236,0.92740995,2023-07-01T00:00:00,30.475743589743598,Ajnoti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.35414912007118,26.156470706529138]}"
18_0,0,0.07953,0.98,0.14,4.74,0.113876,320,2.61,0,0.25166,0.19,26,0.144882,0,0.305282,0.260524,1.1497465392357782,0.28,48.175198,230,216,2024-03-28,SAWAI MADHOPUR,286,2024-06-30T00:00:00,8.22,1.571646,495,504,275,281,2.779504,2023-07-01T00:00:00,30.620410256410253,Borda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.1129514662851,26.506544172750516]}"
19_0,0,0.11720426,0.44,0.98,4.65,0.15271702,350,2.97,0,0.30204043,0.15,20,0.17672554,0,0.34326595,0.28064469,-1.635289913424884,0.29,114.19764,255,270,2024-03-28,SAWAI MADHOPUR,272,2024-06-30T00:00:00,7.23,1.7187575,442,434,303,297,2.2616298,2023-07-01T00:00:00,30.548864864864864,Jeenapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.33690146661608,26.00744020089371]}"
20_0,0,0.12486327,0.63,1.08,4.74,0.15578775,310,2.45,0,0.29029185,0.11,23,0.17729184,0,0.3155449,0.2550306,-0.05264722944038249,0.73,-0.0,283,278,2024-03-28,SAWAI MADHOPUR,254,2024-06-30T00:00:00,7.88,1.560647,453,451,264,270,1.8543341,2023-07-01T00:00:00,30.673699999999997,Malarna Chaur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.3918783620042,26.28960103163565]}"
