system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.0982234,0.58,0.24,4.3,0.12680638,260,5.4,0,0.38492128,0.41,30,0.12742446,10,0.28981915,0.19717127,-2.6941489167024986,0.34,351.03534,194,197,2024-04-30,SIROHI,264,2024-06-30T00:00:00,7.2,1.7010765,414,414,392,389,6.544119,2023-07-01T00:00:00,30.603897435897427,Posaliya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.98007691291826,25.0987044594784]}"
1_0,0,0.06900647,0.44,0.15,2.68,0.09427122,344,3.42,0,0.1833849,0.48,26,0.12512158,10,0.31605324,0.27081653,2.050658562829126,0.21,-0.0,262,269,2024-02-16,SIROHI,377,2024-06-30T00:00:00,7.8,2.404949,350,349,388,382,0.0,2023-07-01T00:00:00,30.572594594594598,Pindwara (Rural),"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.03720976498826,24.80414687781561]}"
2_0,0,0.07618979,0.51,0.28,3.48,0.11994898,286,3.24,0,0.34469083,0.52,42,0.1472653,12,0.34072143,0.2677755,5.492766647708933,0.29,200.12956,212,213,2024-04-01,SIROHI,228,2024-06-30T00:00:00,8.3,2.6937778,450,448,337,339,2.960854,2023-07-01T00:00:00,30.595999999999993,Dhanpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.42410958357668,24.57453749119466]}"
3_0,0,0.11603021,0.33,0.73,2.44,0.14930312,333,2.69,0,0.3603271,0.38,36,0.17318021,9,0.32312292,0.23689687,0.4752362299677146,0.44,47.830006,245,244,2024-02-08,SIROHI,274,2024-06-30T00:00:00,7.9,1.7010765,426,425,329,331,1.3812994,2023-07-01T00:00:00,30.559641025641024,Rukhada,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.98762276130486,25.069868538858167]}"
4_0,0,0.07792708,0.29,0.27,3.46,0.09963959,300,3.44,0,0.21861042,0.36,30,0.11004688,11,0.21215208,0.16822605,5.867083766019534,0.29,180.0,230,240,2024-06-03,SIROHI,321,2024-06-30T00:00:00,8.2,2.350139,418,411,353,348,0.92740995,2023-07-01T00:00:00,30.486523809523813,Mandawariya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.87686048677293,24.876101932073585]}"
5_0,0,0.08153646,0.53,0.59,1.64,0.11443229,284,4.68,0,0.31434062,0.48,46,0.13273855,10,0.30631772,0.22629791,-1.5231775638656664,0.44,270.0,247,238,2024-03-09,SIROHI,322,2024-06-30T00:00:00,7.8,3.1716845,385,389,367,373,2.0422697,2023-07-01T00:00:00,30.590769230769236,Telpi Khera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.75855236385438,24.78204832182627]}"
7_0,0,0.07438438,0.24,0.39,2.68,0.10858021,220,2.44,0,0.33952498,0.6,45,0.12217709,10,0.2860927,0.21398959,-1.821522114385572,0.24,132.27869,215,222,2024-03-10,SIROHI,233,2024-06-30T00:00:00,7.8,2.8968332,436,431,350,347,2.7552385,2023-07-01T00:00:00,30.523421052631576,Jawal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.48097294106145,24.59798352011018]}"
8_0,0,0.09811979,0.26,0.16,3.44,0.13281874,300,3.44,0,0.3024073,0.46,29,0.17140937,12,0.3658177,0.28980938,-2.044524481492765,0.24,143.7749,190,211,2024-03-27,SIROHI,276,2024-06-30T00:00:00,8,2.9364734,441,422,369,366,3.44504,2023-07-01T00:00:00,30.635947368421057,Bhatana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.51412077504546,24.488029729333952]}"
9_0,0,0.092191,0.47,0.43,4.26,0.129173,236,3.44,0,0.265817,0.68,24,0.178992,10,0.337239,0.280198,-1.1317622432677596,0.41,227.78444,229,223,2024-04-25,SIROHI,288,2024-06-30T00:00:00,8.9,2.5198345,411,412,360,365,1.3800884,2023-07-01T00:00:00,30.73565,Sartara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.73483684035362,24.873406986221227]}"
10_0,0,0.07641839,0.44,0.19,4.24,0.101177014,286,3.44,0,0.2823092,0.48,39,0.10446092,10,0.2581299,0.19025518,1.354158250586425,0.28,132.23431,279,293,2024-02-16,SIROHI,379,2024-06-30T00:00:00,8,2.590466,361,359,360,348,1.3795912,2023-07-01T00:00:00,30.446150000000006,Pindwara (Rural),"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.07709496360317,24.792019621479998]}"
