system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.32,0.09847333,1.23,0.3,3.53,0.13224334,408.26,1.97,228.2,0.32263333,0.3,12.56,0.15132333,12.5,0.29679334,0.23369,-2.073288315589235,0.95,14.27273,255,249,2024-03-19,DINDIGUL,248,2024-06-30T00:00:00,7.92,2.3837698,416,419,329,332,3.8224447,2023-07-01T00:00:00,30.890666666666668,Chinnaluppai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.10424695659283,10.659723571711686]}"
1_0,0.03,0.10258393,1.08,0.62,5.29,0.12285,505.69,2.16,179.8,0.30004108,0.28,24.19,0.1223375,18.8,0.25920713,0.18429643,2.1291799499044073,1,-0.0,258,274,2024-02-02,DINDIGUL,309,2024-06-30T00:00:00,7.96,2.8020782,471,463,271,263,0.0,2023-07-01T00:00:00,30.822749999999992,Lakkayankottai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.77573305719032,10.4832046183822]}"
2_0,0.32,0.101273336,1.29,0.18,4.89,0.11633,408.26,2.21,176.4,0.32342666,0.48,17.21,0.10445333,9.4,0.25755334,0.16434667,6.1015976622055215,0.82,270.0,292,288,2024-01-04,DINDIGUL,313,2024-06-30T00:00:00,7.89,2.9861894,403,409,305,303,0.9429404,2023-07-01T00:00:00,30.721812500000006,Velayudampalayam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.11502674000226,10.414214004561819]}"
3_0,0.32,0.18060344,1.1,0.48,4.92,0.19081724,335.18,2.18,168.6,0.32295516,0.42,17.21,0.19951724,15.6,0.35040346,0.2973207,-1.463159690954708,0.99,153.04817,310,300,2024-01-04,DINDIGUL,309,2024-06-30T00:00:00,7.48,2.622637,454,461,235,238,2.0800896,2023-07-01T00:00:00,30.588648648648647,Puliampatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50677746112494,10.470538372876113]}"
4_0,0.16,0.111032,1.02,0.31,4.24,0.117608,505.69,2,179.8,0.284904,0.38,28.84,0.103476,9.4,0.17856,0.113644004,-1.2570172164057483,0.98,123.23232,299,308,2024-02-20,DINDIGUL,273,2024-06-30T00:00:00,7.42,1.9676454,447,444,254,248,3.3808565,2023-07-01T00:00:00,30.732258064516124,Rajampatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.453148038663,10.647865809961306]}"
5_0,0.32,0.114706896,1.11,0.51,5.26,0.13758276,566.59,2.51,159.1,0.2595793,0.48,21.86,0.15066552,12.5,0.2915138,0.22977242,-1.348110064692701,1.03,180.0,303,309,2024-02-22,DINDIGUL,332,2024-06-30T00:00:00,7.41,2.8915617,446,441,250,250,1.8543341,2023-07-01T00:00:00,30.72697560975611,Ayyampalayam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.55663395939358,10.447631333131065]}"
6_0,0.5,0.060589284,1.25,0.06,5.51,0.07331071,176.85,2.25,214.4,0.28612143,0.47,0.93,0.062803574,18.8,0.17066428,0.09959286,-1.9420420209242235,1.07,325.87875,333,349,2024-03-23,DINDIGUL,1283,2024-06-30T00:00:00,5.2,3.750369,381,369,285,282,3.3572264,2023-07-01T00:00:00,29.77163157894737,Kamanur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.677098038994,10.302643246274174]}"
7_0,0.32,0.20105,1.36,0.02,4.84,0.19676071,639.67,2.4,190.2,0.29099286,0.43,38.14,0.20799285,12.5,0.30254644,0.24851428,-2.3137984215238916,1.11,129.35432,343,344,2024-01-05,DINDIGUL,2127,2024-06-30T00:00:00,4.41,3.934419,332,335,325,321,14.320702,2023-07-01T00:00:00,29.429157894736843,Poondi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.48009749718659,10.234191621624268]}"
8_0,0.08,0.20105,1.24,0.04,5.36,0.19676071,493.51,2.96,193.6,0.29099286,0.36,12.56,0.20799285,12.5,0.30254644,0.24851428,-2.3137984215238916,1.18,129.35432,343,344,2024-03-26,DINDIGUL,2127,2024-06-30T00:00:00,6.7,3.934419,332,335,325,321,14.320702,2023-07-01T00:00:00,29.429157894736843,Poondi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.48009749718659,10.234191621624268]}"
9_0,0.24,0.13074642,1.24,0.31,4.76,0.15985714,456.97,2.41,78.4,0.30840358,0.36,0.74,0.20713572,15.6,0.36667144,0.28876784,-1.3484463707263827,0.93,180.0,279,296,2024-02-07,DINDIGUL,311,2024-06-30T00:00:00,7.9,2.1038609,445,438,276,266,1.8543341,2023-07-01T00:00:00,31.045034482758613,Devathur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.64960959129995,10.553273210543521]}"
