system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.5,0.09770769,0.93,0.14,2.17,0.13076153,534,2.36,240,0.27832308,0.57,8.75,0.16879615,6.25,0.33686924,0.2603077,-2.7503111164989407,0.16,329.76025,314,328,2024-01-04,ERODE,235,2024-06-30T00:00:00,8.36,2.5342672,387,378,299,294,7.4723845,2023-07-01T00:00:00,30.652857142857133,Nagadevampalayam B,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.4854873888913,11.406762561985479]}"
1_0,0.5,0.078276,1.52,0.1,3.68,0.10452,281,3.21,227,0.315612,0.42,12.5,0.10956,6.25,0.277892,0.194424,-1.9472450270740045,1.74,325.7719,310,332,2024-01-19,ERODE,230,2024-06-30T00:00:00,7.6,2.4506736,365,347,325,321,3.3614697,2023-07-01T00:00:00,30.623483870967746,Akkaraikodiveri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.32217367023837,11.496773753454255]}"
2_0,0.5,0.099952,1.01,0.1,6.85,0.113548,333,1.87,225,0.21095599,0.36,11.25,0.122268,6.25,0.23416,0.181412,-2.4261998958073447,0.15,211.46077,297,307,2024-01-04,ERODE,237,2024-06-30T00:00:00,7.8,2.4193194,396,384,307,309,5.4204264,2023-07-01T00:00:00,30.648411764705884,Puthur Pudupalayam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.64260273208382,11.299234222476372]}"
3_0,0.5,0.09563846,0.48,0.05,6.98,0.11695385,164,2.12,205,0.27122307,0.33,10,0.12254615,6.25,0.25492308,0.18734616,-0.7858066503814253,2.16,63.89039,297,303,2024-01-04,ERODE,247,2024-06-30T00:00:00,7.2,2.4820065,400,393,304,303,2.106554,2023-07-01T00:00:00,30.659470588235287,Nagadevampalayam B,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.43536139603744,11.418889818321093]}"
4_0,0.5,0.099533334,0.87,0.1,7.11,0.11985417,281,4.18,240,0.28399166,0.48,11.25,0.12824583,6.25,0.25985834,0.17865416,3.35671369115663,0.23,63.89776,316,325,2024-01-19,ERODE,241,2024-06-30T00:00:00,8.3,2.6474307,400,386,284,288,2.1071064,2023-07-01T00:00:00,30.67651612903226,Kongarpalayam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.31759226228937,11.51078747188652]}"
5_0,0.5,0.116264,0.36,0.1,1,0.139064,281,1.64,227,0.25908,0.54,11.25,0.161676,6.25,0.308408,0.25072,-1.9463301515499238,1.46,145.79068,299,303,2024-01-19,ERODE,237,2024-06-30T00:00:00,8.1,2.4,391,383,310,314,3.3607225,2023-07-01T00:00:00,30.657272727272733,Veppampalayam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65041807505565,11.296269782038777]}"
6_0,0.5,0.113363996,0.38,0.2,10.52,0.142652,323,1.92,215,0.288936,0.56,12.5,0.17293599,6.25,0.333168,0.260828,-1.3704654322591867,1.85,90.0,299,303,2024-01-19,ERODE,239,2024-06-30T00:00:00,7.9,2.4,391,383,310,314,1.8909434,2023-07-01T00:00:00,30.657272727272733,Veppampalayam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65068756964088,11.296539276624014]}"
7_0,0.5,0.081624,2.94,0.2,2.69,0.104524,271,1.51,215,0.302564,0.18,11.25,0.09754,6.25,0.225444,0.147312,-1.3719517956379361,1.54,270.0,323,343,2024-01-19,ERODE,238,2024-06-30T00:00:00,7.4,2.5937185,388,374,289,283,1.892361,2023-07-01T00:00:00,30.69393548387097,Kavandampalayam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.37256915767749,11.509709493545577]}"
8_0,0.5,0.104744,0.28,0.1,2.17,0.12638,281,2.48,232,0.274496,0.42,11.25,0.138496,6.25,0.284404,0.213044,-1.5879532718154052,1.15,126.31157,328,337,2024-01-19,ERODE,247,2024-06-30T00:00:00,8.6,2.5937185,377,370,296,293,4.6882353,2023-07-01T00:00:00,30.66516129032258,Kavandampalayam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.37445561977414,11.522645233636897]}"
9_0,0.5,0.068048,2.74,0.14,1.27,0.095588,231,5.1,210,0.272388,0.15,12.5,0.090932004,6.25,0.234488,0.16276,0.5458682933185757,2.35,180.0,310,325,2024-01-04,ERODE,246,2024-06-30T00:00:00,8,2.5342672,389,376,301,299,2.7802885,2023-07-01T00:00:00,30.699696969696973,Nagadevampalayam B,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.46096338163484,11.400564186525054]}"
