system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.21,0.15786071,0.41,0.16,4.42,0.19458571,301.3,2.2,163,0.213675,0.54,6.2,0.20316072,6.2,0.24795,0.22151071,-1.0223773662411986,0.61,225.71735,314,324,2024-01-11,KANCHIPURAM,43,2024-06-30T00:00:00,6.9,3.5236497,383,367,303,308,2.6549094,2023-07-01T00:00:00,30.768000000000004,Thirumukkudal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.86970598447293,12.769057690352733]}"
1_0,0.37,0.082803704,0.22,0.116,3.82,0.10477037,257.3,2.92,157.5,0.26605925,0.15,12.5,0.108003706,18,0.24514073,0.16592963,-0.32968269667722583,0.92,134.27408,314,327,2024-03-21,KANCHIPURAM,62,2024-06-30T00:00:00,7.1,3.421691,376,366,310,307,1.3283716,2023-07-01T00:00:00,30.586512820512826,Sirupagal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.81823251869288,12.84478566880401]}"
2_0,0.5,0.14887142,0.68,0.275,3.26,0.16459642,235.7,1.19,182,0.32303214,0.19,17.5,0.16163929,18,0.30373928,0.23821786,-1.487623485576061,1.08,295.99994,319,339,2024-03-14,KANCHIPURAM,62,2024-06-30T00:00:00,7.15,3.3996003,373,365,307,297,2.114809,2023-07-01T00:00:00,30.63135135135135,Sirudamur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.79828991938543,12.71866220291363]}"
3_0,0.31,0.061237037,0.29,0.236,4.02,0.08137778,194.6,1.75,133,0.21898519,0.11,15,0.07656667,23,0.18322593,0.11791852,-0.6635361637451216,0.75,180.0,313,325,2024-03-25,KANCHIPURAM,75,2024-06-30T00:00:00,7.27,3.043938,378,363,309,312,0.92740995,2023-07-01T00:00:00,30.58948571428571,Vedal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.73711464853689,12.873891084009482]}"
4_0,0.31,0.07696071,0.5,0.369,0.37,0.104689285,204.9,3.25,147,0.32070714,0.21,16.3,0.08749285,23,0.24183571,0.14499286,2.259942762203073,0.38,198.87964,300,327,2024-02-28,KANCHIPURAM,68,2024-06-30T00:00:00,6.08,3.3847373,382,365,318,308,2.9381022,2023-07-01T00:00:00,30.511950000000002,Podavur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.84464298804599,12.911350831357266]}"
5_0,0.37,0.13950741,0.37,0.156,4.15,0.159,246,2.86,126,0.24650371,0.11,18.8,0.1690074,23,0.2585815,0.2157037,-1.473449775314092,0.74,152.84708,303,314,2024-03-21,KANCHIPURAM,77,2024-06-30T00:00:00,7.48,3.043938,379,364,318,322,2.0838182,2023-07-01T00:00:00,30.62859459459459,Vedal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.7425045402416,12.873621589424246]}"
6_0,0.18,0.13019334,0.44,0.324,6.11,0.14686,246,2.19,171.5,0.24383,0.14,15,0.15149333,13,0.25671333,0.20928,-1.8177162636067454,0.84,198.88159,304,337,2024-01-03,KANCHIPURAM,25,2024-06-30T00:00:00,7.3,4.3991547,344,325,352,338,2.9381363,2023-07-01T00:00:00,30.55091891891892,Naduveerapattu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.06913197754746,12.939108773636558]}"
7_0,0.18,0.139175,1.09,0.307,4.18,0.15836428,204.9,0.88,178.5,0.31144643,0.09,20,0.16846071,23,0.36243573,0.258775,0.7271924283407065,0.44,251.99776,291,313,2024-03-06,KANCHIPURAM,94,2024-06-30T00:00:00,7.36,2.8717825,401,388,308,300,2.9983227,2023-07-01T00:00:00,30.67858823529413,Melambi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.64198305994863,12.867153719378585]}"
8_0,0.2,0.07758214,0.64,0.181,1.81,0.100703575,302.2,4.96,196,0.27585357,0.26,23.8,0.09715714,28,0.2531893,0.16275714,2.0193157306588314,0.61,270.0,309,324,2024-02-15,KANCHIPURAM,59,2024-06-30T00:00:00,7.4,3.421691,386,381,305,296,0.95119816,2023-07-01T00:00:00,30.586512820512826,Naickenkuppam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.81984948620429,12.841821228366415]}"
9_0,0.25,0.11646531,0.71,0.153,4.72,0.14912653,132.5,2.81,157.5,0.2680898,0.2,11.5,0.17681225,18,0.30306736,0.25695917,-1.4722215747002636,0.81,152.8711,333,353,2024-03-15,KANCHIPURAM,73,2024-06-30T00:00:00,7.19,3.1812012,365,354,302,293,2.0833707,2023-07-01T00:00:00,30.454549999999994,Kadalmangalam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.73307222975835,12.611942347160229]}"
