system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,1.4,0.07062182,0.68,0.13,6.38,0.094687276,146,3.69,141,0.25728545,0.13,12,0.10332182,9,0.23597455,0.17359819,-0.8526790349801359,0.74,145.6888,316,326,2024-02-12,KRISHNAGIRI,439,2024-06-30T00:00:00,7.2,3.0008147,362,358,321,317,3.3647864,2023-07-01T00:00:00,30.416105263157892,Mottur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.2670216860753,12.342717256509609]}"
1_0,0.9,0.122175,0.78,0.16,4.3,0.13474643,91,5.4,141,0.23783214,0.19,35,0.13787499,78,0.2885143,0.22086428,2.157350153015382,0.38,225.68524,337,335,2024-01-09,KRISHNAGIRI,703,2024-06-30T00:00:00,7.7,2.9556558,439,439,224,227,1.3274056,2023-07-01T00:00:00,30.54588235294118,Odayandahalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.02636302145967,12.482584946247018]}"
2_0,3.7,0.06808871,1.1,0.23,4.6,0.09828871,198,2.6,141,0.25274354,0.32,56,0.109706454,9,0.26048547,0.18935162,-0.6841618198100478,0.8,90.0,293,311,2024-01-24,KRISHNAGIRI,377,2024-06-30T00:00:00,8,3.2270277,398,388,309,302,0.94900215,2023-07-01T00:00:00,30.727999999999994,Kanakkampatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.49797854562242,12.246777184165644]}"
3_0,2.6,0.06882308,0.61,0.08,8.1,0.09531538,333,3.7,141,0.22834231,0.24,81,0.13263077,18,0.31983078,0.2268077,-0.8544408879330759,0.68,145.65263,299,306,2024-01-27,KRISHNAGIRI,928,2024-06-30T00:00:00,6.5,2.535807,484,478,217,216,3.3662336,2023-07-01T00:00:00,30.591459459459465,Komaranapalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.75552096329764,12.69252122814575]}"
4_0,3.7,0.09189492,0.53,0.09,6.04,0.11895424,125,4.8,141,0.2736373,0.38,1.5,0.14318305,18,0.3213695,0.23287967,-1.4701415520916767,0.35,332.91177,299,307,2024-02-07,KRISHNAGIRI,315,2024-06-30T00:00:00,6.5,3.3332798,374,369,327,324,2.0826142,2023-07-01T00:00:00,30.640972972972982,Nadupatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.57963540494889,12.154879530600217]}"
5_0,2.6,0.079881355,0.56,0.08,3.9,0.10374068,102,2.56,141,0.27884576,0.18,5,0.08525254,9,0.20329322,0.12332712,2.9463849412931977,0.7,134.3447,266,271,2024-01-08,KRISHNAGIRI,316,2024-06-30T00:00:00,6.5,3.2701218,382,375,352,354,5.292628,2023-07-01T00:00:00,30.72361111111111,Nadupatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.59472710172209,12.208778447647388]}"
6_0,2.6,0.10281296,0.16,0.15,8.1,0.12071852,146,2.08,141,0.24389629,0.27,2,0.14513518,18,0.2565963,0.21893333,-1.4712359849322472,0.15,332.89038,292,321,2024-02-13,KRISHNAGIRI,462,2024-06-30T00:00:00,7.16,3.0039523,441,419,266,259,2.0830119,2023-07-01T00:00:00,30.34355555555556,Marichettihalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.27699298572902,12.397424657312488]}"
7_0,3.7,0.074319676,0.83,0.04,5.1,0.09688361,146,3.8,141,0.27619836,0.27,88,0.095111474,18,0.25613442,0.17873114,-2.3132762763796797,0.61,281.0538,304,326,2024-02-08,KRISHNAGIRI,359,2024-06-30T00:00:00,7.9,2.8704538,393,381,303,293,4.8260207,2023-07-01T00:00:00,30.637515151515156,Keeimathur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.5459485817944,12.372361660885552]}"
8_0,0.9,0.117476925,0.62,0.09,6.1,0.14621922,177,5.2,141,0.29799232,0.38,16,0.17148462,42,0.31051153,0.24228077,-1.713914770583913,0.96,225.68642,325,324,2024-01-10,KRISHNAGIRI,695,2024-06-30T00:00:00,7.3,2.9556558,424,423,251,253,2.653443,2023-07-01T00:00:00,30.602270270270274,Odayandahalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.01746970014689,12.493095235071216]}"
9_0,1.3,0.115792304,0.62,0.27,6.3,0.14482307,198,6.2,141,0.29369617,0.26,11,0.17727308,62,0.33447307,0.25472692,-1.3695612722243686,0.62,350.31265,328,333,2024-01-10,KRISHNAGIRI,699,2024-06-30T00:00:00,7.7,2.9556558,419,412,253,255,5.627282,2023-07-01T00:00:00,30.563189189189195,Odayandahalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.01693071097641,12.488783321707443]}"
10_0,3.7,0.073,0.9,0.19,8.28,0.09938,591,2.22,141,0.25151274,0.12,27,0.11499272,27,0.27234,0.20778546,-1.3785118222908108,0.8,90.0,296,306,2024-01-05,KRISHNAGIRI,411,2024-06-30T00:00:00,7.9,2.9220254,397,383,308,312,1.8986351,2023-07-01T00:00:00,30.641000000000002,Nagampatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.41443522419931,12.405778989454799]}"
11_0,3.7,0.102827996,0.89,0.13,5.09,0.128762,125,4.09,141,0.197988,0.09,30,0.153028,62,0.24966401,0.219424,-2.6309738700817147,0.9,225.70117,349,359,2024-01-08,KRISHNAGIRI,905,2024-06-30T00:00:00,6.6,2.5851023,429,418,223,223,6.6106157,2023-07-01T00:00:00,30.636833333333332,Madagondapalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.72830201018881,12.625417076422021]}"
12_0,3.7,0.10781923,0.92,0.15,7.18,0.13641346,135,4.39,141,0.26319999,0.22,27,0.17178653,73,0.35487694,0.287125,-1.1428172066708193,0.42,108.0182,351,356,2024-01-08,KRISHNAGIRI,918,2024-06-30T00:00:00,7.6,2.5851023,417,410,232,235,2.9957588,2023-07-01T00:00:00,30.603999999999996,Madagondapalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.73746482608684,12.627303538518673]}"
13_0,3.7,0.073426925,0.67,0.07,4.6,0.110026926,156,2.8,141,0.27661538,0.25,63,0.15061538,9,0.33596924,0.24088462,3.731276321273192,0.73,90.0,302,309,2024-01-27,KRISHNAGIRI,922,2024-06-30T00:00:00,6.5,2.535807,487,481,211,211,0.95062584,2023-07-01T00:00:00,30.57951351351352,Komaranapalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.75552096329764,12.689826282293392]}"
14_0,2.6,0.08074262,0.3,0.12,7.9,0.10979016,511,4.1,141,0.25905082,0.3,27,0.12851803,27,0.33286884,0.25773278,1.284991872983769,1.2,-0.0,287,290,2024-01-19,KRISHNAGIRI,331,2024-06-30T00:00:00,7.6,3.2806299,392,384,321,326,0.92740995,2023-07-01T00:00:00,30.77394444444444,Kottarapatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.5076803506909,12.183984945805689]}"
15_0,3.7,0.07401034,0.34,0.13,6.15,0.09558621,102,4.02,141,0.22179656,0.31,16,0.10692069,27,0.2321,0.17206551,5.966624437014854,0.38,134.32938,295,315,2024-02-07,KRISHNAGIRI,454,2024-06-30T00:00:00,7.3,2.9491453,432,414,274,271,1.3270591,2023-07-01T00:00:00,30.57583333333334,Thatrahalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.2400722275517,12.34972411572574]}"
16_0,3.7,0.09956078,0.93,0.07,6.92,0.13237648,208,3.15,141,0.2727549,0.4,1.5,0.18232353,18,0.38362157,0.29151374,-1.7508363137235512,1.04,120.34696,305,322,2024-02-07,KRISHNAGIRI,943,2024-06-30T00:00:00,6.5,2.594955,476,456,219,222,5.490416,2023-07-01T00:00:00,30.60297297297297,Sathanur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.6981186166424,12.64239523529188]}"
17_0,2.6,0.094167925,0.96,0.01,7.83,0.11669717,177,6.03,141,0.22478396,0.15,45,0.13732925,45,0.30041322,0.2519245,-2.08065127228642,0.6,14.369804,333,349,2024-01-22,KRISHNAGIRI,852,2024-06-30T00:00:00,7.02,2.6314902,400,387,266,264,3.8240936,2023-07-01T00:00:00,30.719428571428566,Hosappuram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.8169657287314,12.625147581836787]}"
