system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.5,0.11036381,0.86,0.52,8.01,0.12637143,708,4.19,144,0.2330019,0.27,6.5,0.13417904,10.5,0.25761524,0.20629142,-1.81532518237689,0.26,108.20363,332,345,2023-10-19,RAMANATHAPURAM,21,2024-06-30T00:00:00,8.01,1.9840842,319,311,349,344,2.9663148,2023-07-01T00:00:00,30.872000000000003,Ariyakudi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.7068368491802,9.40414829909783]}"
1_0,0.5,0.14048572,0.78,0.32,8.56,0.16523929,803,3.39,179,0.30717143,0.35,10.9,0.172425,19.7,0.27732858,0.2259,2.823718329511446,0.39,325.9527,328,333,2023-11-16,RAMANATHAPURAM,8,2024-06-30T00:00:00,7.81,2.011945,344,340,328,327,3.354303,2023-07-01T00:00:00,30.633599999999998,Vannivayal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.77690544134153,9.384744688960847]}"
2_0,0.5,0.21275161,0.78,0.45,8.34,0.23180646,1111,4.27,147,0.35524517,0.38,8.7,0.2552871,11.8,0.38822904,0.32584515,-1.00472193188954,0.24,134.62202,369,393,2023-11-23,RAMANATHAPURAM,7,2024-06-30T00:00:00,8.38,1.9150758,324,317,307,290,1.3201759,2023-07-01T00:00:00,30.78745454545455,Kalari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.82568396126922,9.286918154520231]}"
3_0,0.38,0.094993815,0.81,0.18,7.02,0.12290928,436,4.22,154,0.27844125,0.32,21.98,0.14858866,15.57,0.29739174,0.24085051,-0.7654771161312485,0.37,153.13664,354,357,2023-12-27,RAMANATHAPURAM,11,2024-06-30T00:00:00,6.22,1.7940465,338,337,308,306,2.078462,2023-07-01T00:00:00,30.849741935483866,Keelakidaram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.60739334722818,9.206608768119947]}"
4_0,0.5,0.15493299,0.66,0.23,9.17,0.16682887,728,3.98,137,0.26061752,0.37,11.6,0.16169381,18.4,0.24673918,0.18348351,-0.6660698150411658,0.37,90.0,361,377,2023-12-27,RAMANATHAPURAM,25,2024-06-30T00:00:00,7.39,2.1836557,350,339,289,283,0.94037366,2023-07-01T00:00:00,30.7632,Kottakudi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.71519118132252,9.5256903570392]}"
5_0,0.33,0.06883478,0.92,0.12,7.14,0.08683044,760,4.18,154,0.19543478,0.35,16.42,0.10165435,21.11,0.17453696,0.13955218,-1.6976579665443008,0.39,314.6261,345,350,2023-12-09,RAMANATHAPURAM,17,2024-06-30T00:00:00,7.23,1.7431798,347,338,309,312,2.6387615,2023-07-01T00:00:00,31.13051428571428,Ariamangalam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.33547331072519,9.237061656251598]}"
6_0,0.3,0.07386956,0.75,0.38,8.63,0.10111087,578,3.94,144,0.28874564,0.38,12.5,0.116276085,21,0.27877608,0.18295869,-0.31290065777877174,0.37,134.59648,356,385,2023-12-21,RAMANATHAPURAM,55,2024-06-30T00:00:00,7.83,2.2255478,358,350,286,265,1.3207723,2023-07-01T00:00:00,30.66937142857143,Melaparthibanur (Part),"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.45620688491086,9.59414198168911]}"
7_0,0.36,0.10759678,0.87,0.86,6.12,0.13203226,461,4.22,147,0.30509356,0.29,12.09,0.12933548,14.54,0.26517096,0.19966128,-1.4694271479657899,0.37,116.230545,338,362,2023-12-11,RAMANATHAPURAM,23,2024-06-30T00:00:00,7.73,2.09898,352,336,310,302,2.0975337,2023-07-01T00:00:00,30.74937931034483,Thiruvadanai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.91084425020375,9.786830610132746]}"
8_0,0.3,0.13184643,0.72,0.62,6.98,0.15611786,718,4.74,147,0.3704143,0.36,7.3,0.14986786,17.1,0.34019643,0.245575,-0.24636973491845426,0.42,180.0,362,369,2023-11-18,RAMANATHAPURAM,5,2024-06-30T00:00:00,7.86,2.0766368,304,302,334,330,1.8543341,2023-07-01T00:00:00,30.63486666666667,Athyuthu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.90787980976616,9.402531331586415]}"
9_0,0.5,0.14048572,0.85,0.53,6.2,0.16523929,1125,3.19,140,0.30717143,0.26,8.7,0.172425,19.7,0.27732858,0.2259,2.823718329511446,0.39,325.9527,328,333,2023-11-14,RAMANATHAPURAM,8,2024-06-30T00:00:00,7.64,2.011945,344,340,328,327,3.354303,2023-07-01T00:00:00,30.633599999999998,Vannivayal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.77690544134153,9.384744688960847]}"
10_0,0.41,0.19167857,0.83,0.11,6.19,0.23401786,641,3.99,154,0.35987142,0.32,15.45,0.27469286,11.47,0.40446427,0.36622143,-0.667144340845014,0.43,270.0,345,348,2023-11-03,RAMANATHAPURAM,11,2024-06-30T00:00:00,7.02,2.0369701,322,323,333,329,0.94088435,2023-07-01T00:00:00,30.66122580645162,Kilaarumbur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.93968017082399,9.709216169584819]}"
11_0,0.36,0.18973929,0.84,0.13,6.08,0.20592143,579,4.06,147,0.3778,0.26,13.41,0.20022143,13.11,0.31079286,0.22951786,5.746776838827096,0.42,314.5859,341,341,2023-11-06,RAMANATHAPURAM,12,2024-06-30T00:00:00,6.82,2.0369701,327,329,331,330,1.3210198,2023-07-01T00:00:00,30.689600000000002,Kilaarumbur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.93725471955686,9.718648480068074]}"
12_0,0.36,0.119874,0.85,0.15,7.39,0.140764,892,4.3,154,0.250484,0.35,12.85,0.170702,13.52,0.309108,0.260048,2.1323979653244725,0.4,-0.0,342,358,2023-12-11,RAMANATHAPURAM,39,2024-06-30T00:00:00,7.09,2.148218,357,349,301,293,0.0,2023-07-01T00:00:00,30.92048484848485,Komboothi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.36511771510114,9.410885663728726]}"
13_0,0.5,0.15803495,0.77,0.94,7.1,0.18570292,758,4.2,151,0.32500196,0.17,10.2,0.21005243,21,0.32937476,0.26591069,-1.750319331704793,0.39,-0.0,342,350,2023-12-12,RAMANATHAPURAM,30,2024-06-30T00:00:00,8.42,1.8305855,371,364,286,286,2.7802885,2023-07-01T00:00:00,30.828322580645153,Pooseri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.51819063951511,9.357795230437262]}"
14_0,0.3,0.15803495,0.73,1.1,7.1,0.18570292,645,4.1,126,0.32500196,0.2,8.7,0.21005243,14.4,0.32937476,0.26591069,-1.750319331704793,0.29,-0.0,342,350,2023-12-11,RAMANATHAPURAM,30,2024-06-30T00:00:00,8.39,1.8305855,371,364,286,286,2.7802885,2023-07-01T00:00:00,30.828322580645153,Pooseri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.51819063951511,9.357795230437262]}"
15_0,0.5,0.15222222,0.87,0.84,7.64,0.17106296,900,3.94,179,0.3690074,0.29,8.7,0.15244074,17.1,0.25912964,0.18045555,-1.345037486849555,0.47,-0.0,356,365,2023-11-14,RAMANATHAPURAM,12,2024-06-30T00:00:00,7.1,1.9470094,323,320,321,315,1.8543341,2023-07-01T00:00:00,30.81386206896552,Vannivayal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.79280562187044,9.422204436308633]}"
16_0,0.3,0.104143,0.55,0.89,8.63,0.128295,963,3.84,133,0.299719,0.36,10.2,0.134543,15.8,0.282878,0.20336,-1.4599845712076918,0.31,206.8899,342,346,2023-12-11,RAMANATHAPURAM,25,2024-06-30T00:00:00,8.34,2.6090193,327,330,331,323,2.0789495,2023-07-01T00:00:00,30.780387096774202,Radhanur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.72085056761247,9.603843786757599]}"
17_0,0.5,0.1267945,0.66,0.55,6.36,0.14771979,666,3.17,151,0.30098572,0.29,8.4,0.14005604,12.5,0.23735604,0.1790879,-2.274592300595119,0.3,90.0,350,373,2023-12-07,RAMANATHAPURAM,32,2024-06-30T00:00:00,8.15,1.8305855,372,352,277,275,4.689621,2023-07-01T00:00:00,30.9516875,Melamudukulathur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.51441771532181,9.366688551750045]}"
18_0,0.36,0.10632333,0.9,0.77,6.07,0.13599999,436,4.24,154,0.29276666,0.35,13.41,0.15203667,15.16,0.26307,0.19507334,-1.8058280606710142,0.43,18.690125,345,364,2023-12-12,RAMANATHAPURAM,26,2024-06-30T00:00:00,7.73,2.131708,367,351,287,285,2.9348042,2023-07-01T00:00:00,30.94244444444444,Orikottai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.91246121771516,9.819439454946284]}"
19_0,0.5,0.14926207,0.74,0.15,7.32,0.15746208,768,4.4,123,0.22798276,0.35,8.7,0.15740345,11.8,0.23867586,0.19085862,-1.4669533274673214,0.31,116.262054,362,380,2023-11-22,RAMANATHAPURAM,8,2024-06-30T00:00:00,7.15,2.0843968,333,320,306,300,2.0951972,2023-07-01T00:00:00,30.961393939393936,Alangulam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.72947439434002,9.314676096799525]}"
20_0,0.5,0.19498275,0.67,0.67,4.24,0.21823448,567,4.46,123,0.3371793,0.29,7.3,0.23351379,14.4,0.30391723,0.24424483,-1.7646438607210315,0.39,90.0,357,376,2023-11-22,RAMANATHAPURAM,5,2024-06-30T00:00:00,7.8,2.1553068,329,322,314,302,2.8190446,2023-07-01T00:00:00,30.697071428571427,Palangulam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.87607944870832,9.51922248699354]}"
21_0,0.41,0.10759678,0.82,0.94,6.14,0.13203226,764,4.24,154,0.30509356,0.32,12.7,0.12933548,13.11,0.26517096,0.19966128,-1.4694271479657899,0.34,116.230545,338,362,2023-11-09,RAMANATHAPURAM,23,2024-06-30T00:00:00,7.87,2.09898,352,336,310,302,2.0975337,2023-07-01T00:00:00,30.74937931034483,Thiruvadanai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.91084425020375,9.786830610132746]}"
22_0,0.38,0.09963125,0.85,0.13,6.2,0.13973124,574,4.29,154,0.29625833,0.32,13.67,0.189675,14.95,0.33190626,0.27229792,-1.7639669452561793,0.4,270.0,353,366,2023-12-22,RAMANATHAPURAM,36,2024-06-30T00:00:00,7.61,2.148218,341,331,306,302,2.8180807,2023-07-01T00:00:00,30.941575757575755,A.Tharaikkudi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.38371284148242,9.40145335324547]}"
23_0,0.37,0.17536071,0.71,0.22,6.19,0.19724643,290,3.88,147,0.33845356,0.26,23.7,0.20630714,20.9,0.30577856,0.24204285,-1.345951804163662,0.39,-0.0,348,361,2023-12-06,RAMANATHAPURAM,21,2024-06-30T00:00:00,5.52,2.2311642,372,362,280,276,1.8543341,2023-07-01T00:00:00,30.902937500000004,Thottamangalam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.88093035124257,9.739399563131235]}"
24_0,0.26,0.14750001,0.82,0.23,6.08,0.16939,411,3.67,154,0.30310667,0.35,11.58,0.18484667,23.15,0.30448332,0.24887334,-1.0048172538576423,0.41,134.62018,396,384,2023-11-23,RAMANATHAPURAM,10,2024-06-30T00:00:00,8,2.2358282,295,302,309,314,1.3202188,2023-07-01T00:00:00,30.675933333333333,Enmanamkondan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.0156776438605,9.309555699680043]}"
25_0,0.35,0.14282334,0.8,0.15,6.08,0.16984001,794,3.91,154,0.37069333,0.32,13.11,0.16097666,22.95,0.33111668,0.25326,-0.5993503657629871,0.4,225.37975,400,376,2023-11-23,RAMANATHAPURAM,9,2024-06-30T00:00:00,8.06,2.2358282,289,302,312,322,2.639034,2023-07-01T00:00:00,30.6918125,Enmanamkondan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.0156776438605,9.308747215924337]}"
26_0,0.33,0.11978929,0.88,0.15,6.25,0.15060358,239,4.11,147,0.2813714,0.29,24.56,0.17852142,16.59,0.31376785,0.24976072,1.363475992861985,0.42,116.226654,358,367,2023-12-08,RAMANATHAPURAM,16,2024-06-30T00:00:00,4.83,2.1221178,307,301,335,332,2.0978222,2023-07-01T00:00:00,30.784444444444443,Nilamalagiyamangalam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.00004695791682,9.843693967617511]}"
27_0,0.5,0.21275161,0.75,0.48,8.32,0.23180646,1125,3.47,144,0.35524517,0.41,9.4,0.2552871,11.8,0.38822904,0.32584515,-1.00472193188954,0.2,134.62202,369,393,2023-11-25,RAMANATHAPURAM,7,2024-06-30T00:00:00,8.64,1.9150758,324,317,307,290,1.3201759,2023-07-01T00:00:00,30.78745454545455,Kalari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.82568396126922,9.286918154520231]}"
28_0,0.37,0.214425,0.82,0.16,6.52,0.22912857,280,4.07,147,0.33430713,0.26,13.11,0.21256787,24.18,0.27532858,0.2025,2.1381950482144747,0.36,270.0,341,349,2023-11-27,RAMANATHAPURAM,7,2024-06-30T00:00:00,8.21,1.98497,331,327,328,324,1.8793802,2023-07-01T00:00:00,30.499724137931032,Terbhogi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.80843630781412,9.36776653009099]}"
29_0,0.32,0.2147,0.83,0.12,6.86,0.222632,399,4.08,154,0.318646,0.32,11.01,0.239014,16.8,0.30147,0.249458,2.1328763711714287,0.38,-0.0,336,349,2023-12-21,RAMANATHAPURAM,24,2024-06-30T00:00:00,7.13,1.7431798,379,369,285,282,0.0,2023-07-01T00:00:00,31.209277777777785,Maraikkulam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.3047509280083,9.2408345804449]}"
30_0,0.5,0.1337785,0.8,0.93,7,0.15680967,794,4.1,144,0.27530646,0.2,10.2,0.17094946,17.1,0.27811614,0.22350214,-2.2746087676692346,0.3,90.0,350,368,2023-12-12,RAMANATHAPURAM,28,2024-06-30T00:00:00,8.39,1.8305855,366,349,285,283,4.689658,2023-07-01T00:00:00,30.9516875,Pooseri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.51711266117417,9.369383497602405]}"
31_0,0.36,0.10661034,0.84,0.23,5.97,0.1347931,851,4.09,154,0.26528966,0.32,12.95,0.15684138,13.11,0.2719069,0.20932414,5.151734632941604,0.37,63.7717,345,364,2023-10-20,RAMANATHAPURAM,25,2024-06-30T00:00:00,8.13,2.131708,367,351,287,285,2.0977004,2023-07-01T00:00:00,30.94244444444444,Orikottai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.91246121771516,9.81970894953152]}"
32_0,0.36,0.11745862,0.79,0.13,6.76,0.14148621,148,4.06,147,0.34702414,0.17,13.16,0.13793103,23.15,0.24851725,0.17966552,-0.844730762755536,0.4,303.33905,352,364,2023-11-08,RAMANATHAPURAM,7,2024-06-30T00:00:00,7.02,2.190874,343,335,305,301,3.3713007,2023-07-01T00:00:00,30.59345454545455,Perungulam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.9660906401771,9.327072847720375]}"
33_0,0.44,0.19252,0.88,0.19,7.03,0.22261333,456,4.06,147,0.36439332,0.29,11.47,0.24843334,20.9,0.42964,0.34846666,-1.9381620634335186,0.4,214.04153,377,385,2023-09-27,RAMANATHAPURAM,9,2024-06-30T00:00:00,7.74,2.2358282,318,315,305,300,3.3540752,2023-07-01T00:00:00,30.622344827586208,Enmanamkondan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.00543684962153,9.309286205094809]}"
