system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.44,0.07032759,1.42,0.12,4.09,0.095765516,250,2.05,220,0.28917933,0.35,31,0.08141724,5.63,0.20783104,0.13024828,0.5631593507655274,0.93,90.0,294,299,2024-02-22,RANIPET,111,2024-06-30T00:00:00,5.7,2.8367581,395,388,312,313,1.9027015,2023-07-01T00:00:00,30.484787878787877,Uliyanallur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.56517710315642,12.951236029972172]}"
1_0,0.47,0.08353226,1.34,0.25,3.15,0.105135486,187.5,0.86,214,0.2746484,0.6,23.4,0.10659355,15,0.27247098,0.20154516,-0.6913282726496814,1.18,270.0,346,361,2024-02-01,RANIPET,73,2024-06-30T00:00:00,7.66,2.8585167,366,353,288,285,0.9524405,2023-07-01T00:00:00,30.53088235294118,Valarpuram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.67243594808028,13.165753719819914]}"
2_0,0.12,0.087633334,1.53,0.12,3.43,0.110423334,291.7,0.64,130,0.27924666,0.48,10.5,0.09837333,9.29,0.22677666,0.14505333,-1.0229242597347348,0.49,314.27222,300,306,2024-03-14,RANIPET,114,2024-06-30T00:00:00,6.97,2.8981936,393,389,308,306,1.328416,2023-07-01T00:00:00,30.620875000000005,Sankarampadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.54981591179796,12.861224838503396]}"
3_0,0.41,0.075380646,1.18,0.16,2.1,0.10113871,232.1,2.62,214,0.28923225,0.75,20.2,0.094135486,14.29,0.2467742,0.15814194,-1.8029278480342645,0.31,99.21798,353,369,2024-02-01,RANIPET,67,2024-06-30T00:00:00,7.72,2.8585167,370,357,277,274,5.7703195,2023-07-01T00:00:00,30.53088235294118,Valarpuram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.67432241017693,13.164406246893735]}"
4_0,0.47,0.107912906,0.69,0.1,3.17,0.15392259,133.9,1.17,217,0.35537097,0.17,26.6,0.1839129,19.29,0.40560323,0.3126516,0.5884785853241428,1.12,-0.0,326,330,2024-01-09,RANIPET,104,2024-06-30T00:00:00,6.54,2.8292482,378,371,296,299,1.8543341,2023-07-01T00:00:00,30.586833333333338,Asamandur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.59131807792429,13.063076282845053]}"
5_0,0.52,0.10457167,0.39,0.13,0.41,0.13363166,160.7,2.17,210,0.282705,0.27,13.7,0.14137833,21.43,0.23826501,0.16291833,-1.7165668357732509,1.38,134.26273,308,317,2024-02-10,RANIPET,117,2024-06-30T00:00:00,8.43,2.9437819,373,367,318,317,2.6558554,2023-07-01T00:00:00,30.626625,Peruvalayam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.53122078541669,12.943959676170804]}"
6_0,0.35,0.098987095,0.32,0.21,0.76,0.12990323,241,1.87,203,0.30712903,0.48,23.4,0.13971935,17.14,0.31132257,0.23423548,-1.7169830085735325,1.42,314.2547,328,343,2024-02-20,RANIPET,216,2024-06-30T00:00:00,7.65,3.0236208,378,365,294,292,2.656237,2023-07-01T00:00:00,30.606171428571432,Mukundarayapuram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.30295887172193,13.013489279161655]}"
7_0,0.47,0.14591,0.19,0.13,0.72,0.19992,58.3,0.71,203,0.382055,0.27,16.9,0.24267833,25,0.40368167,0.2978,-2.1228708569903727,1.19,134.24666,331,346,2024-02-13,RANIPET,150,2024-06-30T00:00:00,8.63,2.925894,368,350,301,304,3.9813666,2023-07-01T00:00:00,30.629666666666676,Thalikkal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.44902493691976,13.083018882152507]}"
8_0,0.41,0.11026667,1.31,0.19,0.81,0.13261667,142.9,2.24,207,0.26030666,0.21,20.2,0.14366667,19.29,0.28627,0.22017667,-2.8859803722671065,0.63,347.16,284,307,2024-02-14,RANIPET,203,2024-06-30T00:00:00,7.42,2.907304,370,354,346,339,8.498623,2023-07-01T00:00:00,30.576117647058823,Arunkundram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.25876175974324,12.847750109241604]}"
9_0,0.29,0.07928929,0.59,0.1,2.53,0.115482144,178.6,1.31,221,0.33377856,0.45,30,0.112153575,7.86,0.30011073,0.1947,-0.6910786088644029,2.69,90.0,347,374,2024-01-08,RANIPET,71,2024-06-30T00:00:00,7,2.8615117,352,339,301,287,0.95232075,2023-07-01T00:00:00,30.53769696969697,Velur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.69345652572868,13.135031337103026]}"
10_0,0.58,0.0755742,0.69,0.09,1.46,0.1057871,74.9,2.12,245,0.28501937,0.45,59,0.1042129,12.14,0.22454193,0.14825161,-1.9657796003244357,0.82,302.98898,342,358,2024-02-02,RANIPET,69,2024-06-30T00:00:00,8.55,2.8585167,380,363,278,279,3.4028938,2023-07-01T00:00:00,30.477941176470587,Valarpuram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.67108847515411,13.169257149427981]}"
