system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.6,0.10581403,0.4,0.53,6.5,0.13509473,375,2.7,104,0.29266316,0.3,12.5,0.16593508,10,0.33903334,0.2675456,-1.818909671750407,0.5,108.17128,338,352,2024-03-01,SIVAGANGA,103,2024-06-30T00:00:00,7.03,3.2898345,383,381,279,267,2.9714077,2023-07-01T00:00:00,30.76230303030303,Eriyur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.5270839608279,10.040964004010158]}"
1_0,0.5,0.0877614,0.6,0.53,6.7,0.11118246,375,2.7,100,0.28394035,0.24,12.5,0.12456491,10,0.29672632,0.2197579,-1.3622864775114614,0.5,90.0,338,352,2024-03-01,SIVAGANGA,104,2024-06-30T00:00:00,7.03,3.2898345,383,381,279,267,1.8831568,2023-07-01T00:00:00,30.76230303030303,Eriyur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.52681446624266,10.040964004010158]}"
2_0,0.6,0.06667925,0.4,0.51,6.4,0.084192455,346,2.7,100,0.22118114,0.24,10.6,0.092239626,12.5,0.3205566,0.21389623,-2.1638909469910974,0.6,63.78621,331,340,2024-03-01,SIVAGANGA,96,2024-06-30T00:00:00,7.1,3.2898345,393,384,276,276,4.191939,2023-07-01T00:00:00,30.908,Eriyur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.54082818467492,10.028836747674545]}"
3_0,0.6,0.080233335,0.4,0.26,6.2,0.10345614,346,2.5,121,0.26043683,0,30,0.11722632,12.5,0.27946666,0.20509824,-1.0080554606483634,0.5,45.44218,338,352,2024-03-05,SIVAGANGA,103,2024-06-30T00:00:00,5.8,3.2898345,383,381,279,267,1.3216769,2023-07-01T00:00:00,30.76230303030303,Eriyur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.52681446624266,10.041233498595394]}"
4_0,0.7,0.13682806,0.3,0.63,6.4,0.15124387,375,3.2,107,0.31730527,0.24,8.5,0.1488193,10,0.30638245,0.2334193,1.8311977099950498,0.4,180.0,354,364,2024-03-05,SIVAGANGA,108,2024-06-30T00:00:00,7.64,3.2898345,361,359,284,277,0.92740995,2023-07-01T00:00:00,30.792363636363635,Eriyur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.51010580195803,10.044467433618225]}"
5_0,0.6,0.13353585,0.3,0.65,6.5,0.14655283,388,3,110,0.28204152,0.24,8.5,0.16161698,10,0.31530377,0.22837925,1.4198812294249974,0.4,134.56165,322,334,2024-03-05,SIVAGANGA,105,2024-06-30T00:00:00,7.7,3.267229,374,365,304,300,3.9591517,2023-07-01T00:00:00,30.89432258064516,Eriyur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.54325363594204,9.997844870372422]}"
6_0,0.7,0.13682806,0.3,0.47,6.5,0.15124387,388,3.1,100,0.31730527,0.24,10.6,0.1488193,12.5,0.30638245,0.2334193,1.8311977099950498,0.4,180.0,354,364,2024-03-05,SIVAGANGA,108,2024-06-30T00:00:00,7.75,3.2898345,361,359,284,277,0.92740995,2023-07-01T00:00:00,30.792363636363635,Eriyur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.51010580195803,10.044467433618225]}"
7_0,0.57,0.086015254,0.512,0.34,6.192,0.10748135,360.58,2.854,135.5,0.2501288,0.18,15.69,0.11924915,21.18,0.29325593,0.2098339,-2.297663131099219,0.425,78.85926,355,362,2024-01-02,SIVAGANGA,127,2024-06-30T00:00:00,7.3,3.4171386,347,345,298,293,4.7890067,2023-07-01T00:00:00,30.859687500000003,Mallakottai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.46240526037128,10.050935303663884]}"
8_0,0.5,0.09328475,0.6,0.3,6.6,0.118657626,279,3.4,107,0.2847983,0.21,8.5,0.13352033,10,0.30044067,0.22857797,-0.14290860826350116,0.6,-0.0,350,354,2024-03-05,SIVAGANGA,119,2024-06-30T00:00:00,6.37,3.4171386,345,344,306,302,2.7802885,2023-07-01T00:00:00,30.795,Mallakottai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.46536970080888,10.052013282004829]}"
9_0,0.7,0.060047273,0.6,0.28,6.9,0.088649094,269,3.2,107,0.28466365,0.24,8.5,0.091367275,12.5,0.23964182,0.16488364,-1.008115624547831,0.4,314.5567,359,359,2024-03-05,SIVAGANGA,116,2024-06-30T00:00:00,6.44,3.4171386,356,357,285,285,1.3217034,2023-07-01T00:00:00,30.795,Mallakottai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.46536970080888,10.05389974410148]}"
10_0,0.6,0.053894546,0.5,0.28,6.7,0.08060727,317,3.4,110,0.27461272,0.24,30,0.07833455,15,0.20497273,0.13067818,-1.4615972927705476,0.6,26.921377,359,359,2024-03-05,SIVAGANGA,115,2024-06-30T00:00:00,6.28,3.4171386,356,357,285,285,2.0795286,2023-07-01T00:00:00,30.795,Mallakottai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.46617818456458,10.054169238686715]}"
11_0,0.2,0.059439622,0.5,0.47,7,0.07933396,346,3.1,114,0.22041698,0.21,10.6,0.084786795,12.5,0.27856416,0.17729056,-1.0081387397257096,0.5,314.55624,379,384,2024-03-05,SIVAGANGA,114,2024-06-30T00:00:00,6.75,3.4171386,351,351,270,265,1.3217138,2023-07-01T00:00:00,30.792562500000006,Mallakottai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.46617818456458,10.058750646635724]}"
12_0,0.3,0.05755283,0.5,0.43,7,0.08004717,327,3,111,0.23787735,0.24,17.5,0.08018491,10,0.28264716,0.17009622,-1.0081387397257096,0.6,45.443756,380,382,2024-03-05,SIVAGANGA,113,2024-06-30T00:00:00,6.78,3.4171386,350,352,270,266,1.3217138,2023-07-01T00:00:00,30.792562500000006,Mallakottai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.46671717373506,10.05902014122096]}"
13_0,0.3,0.06347358,0.7,0.47,6.8,0.08757924,298,3.1,93,0.25486603,0.21,12.5,0.08826981,12.5,0.2933396,0.17952642,-1.3623942886600453,0.6,90.0,379,384,2024-03-05,SIVAGANGA,111,2024-06-30T00:00:00,7.1,3.4171386,351,351,270,265,1.8832587,2023-07-01T00:00:00,30.795,Mallakottai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.4669866683203,10.058211657465254]}"
