system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.77,0.055170372,0.534,0.34,4.686,0.08437778,296,4.146,210,0.27016297,0.82,40.6,0.11156296,9.9,0.2841926,0.20688148,-1.0042332955952278,0.968,134.63144,311,315,2024-03-19,TENKASI,140,2024-06-30T00:00:00,7.42,3.3236408,417,421,272,264,1.3199563,2023-07-01T00:00:00,31.103548387096783,Adaichchani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.62697204614012,9.171035482868813]}"
2_0,0.84,0.12668076,0.318,0.52,3.842,0.14945,644,1.034,190,0.28563845,0.36,30,0.16695385,78,0.26956537,0.21496923,-0.7724617997410471,0.194,63.720837,294,294,2024-02-27,TENKASI,167,2024-06-30T00:00:00,7.6,3.7228363,422,427,284,279,2.0939314,2023-07-01T00:00:00,30.92282758620689,Poygai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.4321274610146,9.048145952001263]}"
3_0,0.63,0.11163077,0.408,0.7,6.49,0.14130385,570,2.148,182.5,0.29214615,0.33,52.5,0.18587692,60,0.33782694,0.27041155,-0.31099714211762297,0.156,225.36688,331,339,2024-02-11,TENKASI,161,2024-06-30T00:00:00,8.5,3.82559,416,417,253,244,1.3199171,2023-07-01T00:00:00,30.996933333333338,Therkku Sankarankovil,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.51135886907394,9.150284399805653]}"
4_0,0.52,0.118112,0.214,0.37,2.486,0.142624,707,0.842,190,0.273432,0.36,62.5,0.158524,86,0.291984,0.233276,-1.6973621651718194,0.218,225.36821,317,325,2024-01-18,TENKASI,133,2024-06-30T00:00:00,6.7,3.0130458,421,431,262,244,2.6384962,2023-07-01T00:00:00,31.0716875,Sevalkulam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65014858047041,9.16672356950504]}"
5_0,0.52,0.07904,0.384,0.56,3.672,0.107268,482,1.042,165,0.26196,0.27,60,0.113392,75,0.212708,0.148576,-1.3443114449840534,0.436,180.0,324,323,2024-02-09,TENKASI,147,2024-06-30T00:00:00,7.8,3.82559,396,411,280,266,1.8543341,2023-07-01T00:00:00,30.977612903225804,Therkku Sankarankovil,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.53723034925659,9.16348963448221]}"
6_0,0.15,0.1514,0.432,0.21,1.824,0.17173462,345,7.424,172.5,0.28877693,0.3,40,0.18245384,42,0.27113077,0.21247692,1.2821339892481012,0.224,90.0,320,317,2024-02-12,TENKASI,174,2024-06-30T00:00:00,8.3,3.852623,402,412,278,271,0.9392847,2023-07-01T00:00:00,30.854733333333332,Veerasigamani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.43643937437838,9.12117898460018]}"
7_0,0.68,0.14679,0.346,0.26,6.834,0.16699,532,2.086,182.5,0.341042,0.33,82.5,0.16676,82,0.28471,0.196264,-1.4655174185537472,0.228,63.71966,278,293,2024-02-13,TENKASI,167,2024-06-30T00:00:00,7.6,4.9063993,452,438,270,269,2.0938444,2023-07-01T00:00:00,30.61423529411765,Poigai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.3464281829096,9.029550825619989]}"
8_0,0.36,0.1135037,0.484,0.78,4.814,0.13042593,943,2.264,155,0.29237038,0.24,55,0.12701482,24,0.21351852,0.15366666,-0.3279365304098437,0.184,145.97466,319,307,2024-02-23,TENKASI,162,2024-06-30T00:00:00,8.3,3.5297039,411,429,269,264,3.3534362,2023-07-01T00:00:00,30.786666666666676,Ariyanayagipuram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.45422601700395,9.093690536906124]}"
9_0,0.36,0.076057695,0.216,0.38,1.186,0.10026538,993,1.062,190,0.31446922,0.36,40,0.09643846,53,0.2512231,0.15716153,-1.4583187220207832,0.234,26.857424,245,253,2024-02-12,TENKASI,220,2024-06-30T00:00:00,8.1,4.5265,440,441,315,306,2.078353,2023-07-01T00:00:00,30.6546,Chockampatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.35936392300093,9.115250103724991]}"
10_0,0.41,0.10752,1.07,0.86,0.742,0.12859601,632,1.492,182.5,0.246248,0.33,67.5,0.148352,53,0.261528,0.216012,0.02969427428982003,0.618,90.0,253,262,2024-02-15,TENKASI,195,2024-06-30T00:00:00,7,4.9079647,466,460,281,278,0.9391338,2023-07-01T00:00:00,30.658222222222225,Kasidharmam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.34669767749484,9.063507143359708]}"
