system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.8,0.08152,0.52,0.25,5.52,0.1079,300,0.91,182,0.29661,0.15,13.875,0.102425,4.18,0.257105,0.178965,1.5246552851726793,0.28,152.89348,326,342,2024-03-27,TIRUVANNAMALAI,72,2024-06-30T00:00:00,7.41,3.1943946,379,364,295,295,2.0829544,2023-07-01T00:00:00,30.695100000000004,Sathiyavadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.63362872780633,12.362659855817062]}"
1_0,0.2,0.07015455,0.52,0.07,5.3,0.10233818,204,0.76,203,0.26553637,0.12,23,0.11609091,9,0.2884691,0.21543819,1.962558102850368,0.31,14.367863,300,320,2024-01-31,TIRUVANNAMALAI,183,2024-06-30T00:00:00,7,3.6329792,383,368,317,312,3.8240604,2023-07-01T00:00:00,30.469473684210538,Athuvambady,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.115660134983,12.589304802000417]}"
2_0,0.7,0.057456,0.42,0.1,5.42,0.077044,236,1.89,50,0.227202,0.06,13,0.077862,10,0.205762,0.129112,6.305769255975345,0.73,180.0,309,333,2024-02-08,TIRUVANNAMALAI,75,2024-06-30T00:00:00,7.3,3.1024687,361,349,330,318,1.8543341,2023-07-01T00:00:00,30.524952380952385,Kizhneerkundrum,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.65626627296614,12.657486932065089]}"
3_0,0.44,0.074634545,0.29,0.07,5.34,0.099003635,309,1.51,158,0.28605092,0.21,16.13,0.09754,10,0.22243819,0.14918181,0.47381758365589804,0.27,27.126488,311,326,2024-03-28,TIRUVANNAMALAI,190,2024-06-30T00:00:00,7.83,3.6329792,378,365,311,308,2.0833259,2023-07-01T00:00:00,30.469473684210538,Athuvambady,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.1148516512273,12.58526238322188]}"
4_0,0.25,0.13987273,0.6,0.2,6,0.16184546,116,1.2,147,0.32997727,0.15,4.2,0.16362272,6.25,0.3008818,0.21045908,-1.0206809865401627,0.4,225.68478,332,336,2024-02-21,TIRUVANNAMALAI,62,2024-06-30T00:00:00,8.32,3.0661528,383,372,286,292,1.3273946,2023-07-01T00:00:00,30.610216216216223,Kottai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.69453450406962,12.478273032883244]}"
5_0,0.6,0.16774167,0.49,0.07,5.41,0.1829,224,1.89,50,0.33873335,0.06,20,0.1752625,10,0.28869167,0.20955417,2.1219561935114797,0.73,-0.0,335,350,2024-02-08,TIRUVANNAMALAI,73,2024-06-30T00:00:00,7.39,2.9831178,389,381,276,269,0.0,2023-07-01T00:00:00,30.57035897435897,Thenelapakkam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.64683396248287,12.554270505919757]}"
6_0,0.86,0.11757931,0.66,0.1,5.6,0.13498104,135,2.58,165,0.30381036,0.18,11.25,0.12852414,13.73,0.27008447,0.19632587,-0.6625393342455708,0.38,-0.0,311,313,2024-03-10,TIRUVANNAMALAI,151,2024-06-30T00:00:00,6.7,3.1690307,389,387,300,299,0.92740995,2023-07-01T00:00:00,30.645542857142857,Arayalam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.2749314348574,12.616793249694474]}"
7_0,0.8,0.11658519,0.47,0.14,5.65,0.14564444,129,2.15,114,0.33322594,0.24,17,0.15777408,11,0.3278963,0.23448518,-0.1010832103982489,0.79,63.99689,297,299,2024-03-31,TIRUVANNAMALAI,97,2024-06-30T00:00:00,7.2,2.9271536,365,361,338,339,2.1145704,2023-07-01T00:00:00,30.680352941176466,Vadangampattu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.5824247566115,12.683088917662495]}"
8_0,0.4,0.11084,0.41,0.08,5.31,0.13667,235,1.99,135,0.33323333,0.18,14,0.13549334,5,0.28147,0.19599333,3.6534262236433688,0.64,134.34024,299,310,2024-01-30,TIRUVANNAMALAI,203,2024-06-30T00:00:00,7.5,3.9116662,392,385,309,304,1.3268015,2023-07-01T00:00:00,30.712444444444447,Periakolapadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.97875688568318,12.250011119188473]}"
9_0,0.4,0.092361905,0.58,0.28,5.38,0.1201,204,0.95,168,0.2886381,0.27,19.5,0.13192858,13,0.32740477,0.23667143,1.6290154162708066,0.28,31.566803,319,350,2024-01-05,TIRUVANNAMALAI,110,2024-06-30T00:00:00,6.79,3.0441728,382,370,298,280,5.4265437,2023-07-01T00:00:00,30.844133333333335,Thenthinnalur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.49564750016556,12.431650469637441]}"
