system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.71,0.13381563,0.65,0.17,13.44,0.1463625,152.31,2.45,291,0.26198125,0.69,23.65,0.13794374,20,0.18199062,0.12645,-1.4206830559757628,0.83,180.0,269,295,2024-03-29,KHOWAI,33,2024-06-30T00:00:00,4.79,8.999092,344,328,388,377,1.8543341,2023-07-01T00:00:00,30.010620689655177,Purba Ramchandraghat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.61670546031867,24.02557702106922]}"
1_0,0.88,0.09373871,0.55,0.05,12.51,0.11360323,185.69,3.65,288,0.27218708,0.5,24.3,0.11376129,12,0.24924193,0.16987097,0.5260545332281642,0.71,180.0,293,323,2024-05-14,KHOWAI,57,2024-06-30T00:00:00,4.3,9.34093,346,327,360,350,1.8543341,2023-07-01T00:00:00,30.06241176470588,Maharanipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.6762637636558,23.91697070321917]}"
2_0,0.62,0.08151936,0.47,0.13,15.26,0.098332256,153.2,3.28,368.8,0.29919678,0.6,5.11,0.082796775,12,0.21032257,0.12405484,-3.0352414204013956,0.32,78.5247,268,287,2024-05-14,KHOWAI,54,2024-06-30T00:00:00,4.46,8.918602,354,344,378,370,9.24304,2023-07-01T00:00:00,30.023352941176466,Dakshin Pramodnagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.67761123658198,24.00428694883559]}"
3_0,0.58,0.12396452,0.49,0.12,15.49,0.14068064,158.2,3.9,474,0.32326773,0.67,16.09,0.1316,13,0.26386774,0.17930645,-0.02765797381110582,0.45,156.3337,265,302,2024-05-06,KHOWAI,66,2024-06-30T00:00:00,5.31,8.934662,359,334,376,364,5.0501633,2023-07-01T00:00:00,30.01253333333334,Purba Lakshmichhera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.70914210305457,24.120978104242717]}"
4_0,0.63,0.13269354,0.56,0.24,15.26,0.15135162,159.3,3.38,368.8,0.3338742,0.6,14.47,0.14242259,14,0.27162904,0.18471614,-0.3359228580739519,0.52,143.85393,265,302,2024-05-06,KHOWAI,61,2024-06-30T00:00:00,4.74,8.934662,359,334,376,364,6.8584914,2023-07-01T00:00:00,30.01253333333334,Purba Lakshmichhera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.70914210305457,24.12070860965748]}"
5_0,0.65,0.14480938,0.7,0.12,13.21,0.16034375,191.45,4.65,335.5,0.2992094,0.87,25.2,0.15189688,15,0.24476875,0.17800938,-0.7275359147816708,0.84,-0.0,288,315,2024-03-29,KHOWAI,34,2024-06-30T00:00:00,5.71,8.999092,341,325,372,360,0.92740995,2023-07-01T00:00:00,30.010620689655177,Purba Ramchandraghat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.62047838451198,24.026116010239694]}"
6_0,0.67,0.09670625,0.65,0.3,14.15,0.123271875,181.45,2.51,248,0.28760624,0.44,31.55,0.13194375,10,0.2762625,0.2006125,2.058450356209983,0.76,-0.0,293,324,2024-04-15,KHOWAI,63,2024-06-30T00:00:00,5.23,9.217894,323,308,384,368,0.0,2023-07-01T00:00:00,29.983000000000004,Teliamura Reserve Forest,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.65901611020071,23.798662580300633]}"
7_0,0.58,0.11257333,0.84,0.14,14.3,0.12974666,208.34,3.56,313.3,0.27381667,0.78,24.21,0.13885,10,0.28452334,0.20263,2.2493609866374857,0.61,270.0,273,299,2024-03-31,KHOWAI,34,2024-06-30T00:00:00,5.43,8.715956,353,333,374,368,2.0306675,2023-07-01T00:00:00,30.003862068965518,Purba Belchhera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.54744535191305,24.062497779246534]}"
8_0,0.71,0.13744839,0.63,0.08,14.11,0.14806452,175.21,3.8,357.8,0.2753871,0.96,35.8,0.13666774,13,0.21762258,0.14865807,-2.685634044268053,0.75,171.10959,264,296,2024-03-31,KHOWAI,55,2024-06-30T00:00:00,4.75,8.507393,343,320,393,384,6.542798,2023-07-01T00:00:00,30.031806451612905,Purba Belchhera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.53774354684457,24.039051750331016]}"
9_0,0.71,0.14195625,0.91,0.14,14.26,0.1610375,191.31,2.34,280.7,0.314775,0.65,26.48,0.15589687,14,0.27061564,0.1966625,-1.1214713203372018,0.74,132.4074,288,315,2024-03-29,KHOWAI,36,2024-06-30T00:00:00,5.7,8.999092,341,325,372,360,1.375024,2023-07-01T00:00:00,30.001290322580644,Purba Ramchandraghat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.62182585743815,24.025846515654457]}"
