system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.24,0.12651905,0.64,0.074,11.3,0.15339524,112,6.2,0,0.27768335,0.99,9.9,0.16559286,13.8,0.29692858,0.24490952,-2.452417728356901,1.4,350.6251,209,220,2024-02-02,PITHORAGARH,1548,2024-06-30T00:00:00,6.54,3.1876004,364,353,427,427,19.011139,2023-07-01T00:00:00,29.443066666666663,Basantkot,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.27825977569049,30.085162770097455]}"
1_0,0.42,0.037124,0.89,0.05,12,0.050772,100.8,3.4,0,0.216074,0.59,13.8,0.0396,10.1,0.134632,0.069504,-3.4578851148106144,2.4,260.14212,239,237,2024-04-01,PITHORAGARH,1219,2024-06-30T00:00:00,6.4,3.091347,309,313,452,450,25.302925,2023-07-01T00:00:00,29.57631818181818,Modi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.19256049758549,29.67445302219801]}"
2_0,0.58,0.062348,0.54,0.097,18.3,0.082892,100.8,3.4,0,0.321336,0.87,13.8,0.059054,13.9,0.172926,0.07808,-3.8099987264475463,3.2,330.08276,252,253,2024-04-01,PITHORAGARH,1212,2024-06-30T00:00:00,6.24,3.110533,325,328,423,419,33.915028,2023-07-01T00:00:00,29.463636363636365,Rin,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.23648811497893,29.666368184640934]}"
3_0,0.4,0.09673061,0.73,0.05,9.85,0.11950612,212.8,4.22,0,0.2657388,0.5,23.6,0.1289,11.1,0.27494082,0.21358572,-2.9589845838148467,4.02,263.52924,253,261,2024-01-05,PITHORAGARH,1775,2024-06-30T00:00:00,7.3,2.7006009,372,372,376,367,23.31231,2023-07-01T00:00:00,29.619733333333333,Kanari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25804768179779,29.59441313038296]}"
4_0,0.45,0.12651905,1.24,0.065,14.2,0.15339524,156.8,4.38,0,0.27768335,0.99,9.9,0.16559286,17.8,0.29692858,0.24490952,-2.452417728356901,3.2,350.6251,209,220,2024-02-02,PITHORAGARH,1548,2024-06-30T00:00:00,6.34,3.1876004,364,353,427,427,19.011139,2023-07-01T00:00:00,29.443066666666663,Basantkot,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.27825977569049,30.085162770097455]}"
5_0,0.11,0.12651905,1.12,0.088,18,0.15339524,78.4,6.41,0,0.27768335,0.82,9.9,0.16559286,24.3,0.29692858,0.24490952,-2.452417728356901,0.53,350.6251,209,220,2024-02-02,PITHORAGARH,1548,2024-06-30T00:00:00,6.3,3.1876004,364,353,427,427,19.011139,2023-07-01T00:00:00,29.443066666666663,Basantkot,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.27825977569049,30.085162770097455]}"
6_0,0.28,0.12651905,0.87,0.047,10.2,0.15339524,190.4,6.2,0,0.27768335,0.81,13.2,0.16559286,15.2,0.29692858,0.24490952,-2.452417728356901,2.2,350.6251,209,220,2024-02-02,PITHORAGARH,1548,2024-06-30T00:00:00,6.98,3.1876004,364,353,427,427,19.011139,2023-07-01T00:00:00,29.443066666666663,Basantkot,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.27825977569049,30.085162770097455]}"
7_0,0.16,0.12651905,0.93,0.036,18.2,0.15339524,56.8,4.49,0,0.27768335,0.75,29.8,0.16559286,15.5,0.29692858,0.24490952,-2.452417728356901,0.87,350.6251,209,220,2024-02-02,PITHORAGARH,1548,2024-06-30T00:00:00,6.9,3.1876004,364,353,427,427,19.011139,2023-07-01T00:00:00,29.443066666666663,Basantkot,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.27825977569049,30.085162770097455]}"
9_0,0.18,0.07497692,0.55,0.058,12.4,0.0931641,145.6,3.88,0,0.2850923,0.97,9.9,0.08929487,11.8,0.25202563,0.15552308,-2.8708288014602537,2.4,51.807083,226,231,2024-02-02,PITHORAGARH,1960,2024-06-30T00:00:00,6.37,3.1206682,387,388,387,382,14.671107,2023-07-01T00:00:00,29.22893023255814,Basantkot,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2475373929736,30.072227030006133]}"
10_0,0.33,0.07497692,0.69,0.087,14.3,0.0931641,168,4.3,0,0.2850923,0.81,13.2,0.08929487,11.8,0.25202563,0.15552308,-2.8708288014602537,2.6,51.807083,226,231,2024-02-02,PITHORAGARH,1960,2024-06-30T00:00:00,6.75,3.1206682,387,388,387,382,14.671107,2023-07-01T00:00:00,29.22893023255814,Basantkot,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2475373929736,30.072227030006133]}"
11_0,0.54,0.07497692,0.65,0.046,14.3,0.0931641,179.2,4.2,0,0.2850923,0.96,13.2,0.08929487,15.1,0.25202563,0.15552308,-2.8708288014602537,0.98,51.807083,226,231,2024-02-02,PITHORAGARH,1960,2024-06-30T00:00:00,6.47,3.1206682,387,388,387,382,14.671107,2023-07-01T00:00:00,29.22893023255814,Basantkot,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2475373929736,30.072227030006133]}"
12_0,0.28,0.062007315,0.87,0.047,1.6,0.08263659,291.2,4.2,0,0.28455853,0.99,9.9,0.08187561,21.6,0.22342439,0.15222926,-1.9835647083133134,3.2,82.60456,206,210,2024-02-02,PITHORAGARH,1906,2024-06-30T00:00:00,6.02,3.1206682,391,394,403,396,20.670908,2023-07-01T00:00:00,29.277500000000007,Sarmoli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.24268649043935,30.081928835074624]}"
13_0,0.17,0.09375952,0.76,0.068,6.97,0.114766665,246.4,1.75,0,0.21883096,0.95,13.2,0.12085238,15.5,0.20362857,0.15206428,-5.3704074950716185,1.02,112.066345,228,240,2024-02-02,PITHORAGARH,1273,2024-06-30T00:00:00,7.2,3.1876004,351,341,421,419,57.90268,2023-07-01T00:00:00,29.466772727272726,Madkot,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.29119551578181,30.056865838647692]}"
14_0,1.16,0.05977857,0.87,0.06,18.3,0.08115,156.8,4.4,0,0.23517619,1,21.6,0.078292854,15.5,0.19591428,0.12216429,-3.501382604576763,2.14,100.08773,218,225,2024-03-10,PITHORAGARH,1307,2024-06-30T00:00:00,6.2,3.6361542,359,350,424,426,36.477505,2023-07-01T00:00:00,29.488772727272725,Khela,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.50247927060671,29.854475405135563]}"
15_0,0.52,0.05977857,0.62,0.03,16.2,0.08115,100.8,3.9,0,0.23517619,0.95,9.3,0.078292854,15.5,0.19591428,0.12216429,-3.501382604576763,0.8,100.08773,218,225,2024-03-10,PITHORAGARH,1307,2024-06-30T00:00:00,6.2,3.6361542,359,350,424,426,36.477505,2023-07-01T00:00:00,29.488772727272725,Sobala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.50247927060671,29.854475405135563]}"
16_0,0.28,0.04816813,0.58,0.101,9.83,0.061641756,302.4,6.29,0,0.19769341,0.83,8.9,0.06165824,9.8,0.1750055,0.11266703,-3.3418223067983304,1.65,122.60469,235,237,2024-02-04,PITHORAGARH,1559,2024-06-30T00:00:00,7.15,3.123213,302,304,463,459,22.810968,2023-07-01T00:00:00,29.444511627906966,Barakot,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.29227349412275,29.763116740740607]}"
17_0,0.55,0.06172449,0.46,0.057,24.3,0.08599796,268.8,4.6,0,0.25372246,0.81,8.9,0.098446935,11.5,0.24738571,0.17739388,-4.465467521872658,2.6,123.38226,223,224,2024-02-04,PITHORAGARH,1543,2024-06-30T00:00:00,5.7,3.0739803,317,319,460,457,32.91293,2023-07-01T00:00:00,29.418465116279073,Durlekh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.26882746520724,29.704097426573956]}"
18_0,0.28,0.05426111,0.48,0.067,9.2,0.06688778,156.8,3.6,0,0.17153,0.99,11.8,0.06038,11.5,0.15807112,0.107982226,-0.7383448277084779,2.1,29.938745,233,246,2024-02-04,PITHORAGARH,1389,2024-06-30T00:00:00,6.41,3.123213,313,315,454,439,10.581186,2023-07-01T00:00:00,29.4245238095238,Durlekh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.26451555184346,29.75368443025735]}"
19_0,0.72,0.06525122,0.9,0.087,18.2,0.09105366,134.4,1.2,0,0.30897316,0.66,9.4,0.08356829,11.5,0.2168439,0.14027074,-2.1288901695872138,1.2,232.80222,222,225,2024-04-01,PITHORAGARH,1389,2024-06-30T00:00:00,6.7,3.1516783,326,325,453,450,10.615794,2023-07-01T00:00:00,29.417627906976747,Koonia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.27529533525289,29.841270170459005]}"
20_0,0.77,0.078091115,1.2,0.057,16.4,0.08804,268.8,1.2,0,0.18469112,0.86,12.6,0.08431111,22,0.19567667,0.14332111,-1.5017158417938932,1.2,236.94128,223,233,2024-04-01,PITHORAGARH,1571,2024-06-30T00:00:00,5.9,3.123213,345,344,432,423,14.953354,2023-07-01T00:00:00,29.377000000000002,Koonia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25939515472398,29.79356962887226]}"
