system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.81,0.17196444,1.846,1.42,7.992,0.18194222,96.43,7.284,0,0.28069112,0.49,13.05,0.18463111,14.51,0.27227113,0.22668889,1.2048648889482592,1.378,293.6122,232,221,2024-03-02,UDAM SINGH NAGAR,221,2024-06-30T00:00:00,7.6,3.896847,368,375,400,404,2.3143177,2023-07-01T00:00:00,30.18662857142857,Jainagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.3711410017866,29.039523779382332]}"
1_0,0.51,0.17196444,2.08,1.57,49.66,0.18194222,76.94,9.976,0,0.28069112,0.49,36.45,0.18463111,29.43,0.27227113,0.22668889,1.2048648889482592,1.706,293.6122,232,221,2024-03-02,UDAM SINGH NAGAR,221,2024-06-30T00:00:00,8,3.896847,368,375,400,404,2.3143177,2023-07-01T00:00:00,30.18662857142857,Jainagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.3711410017866,29.039523779382332]}"
2_0,0.65,0.17196444,0.782,1.55,35.5,0.18194222,143.24,3.544,0,0.28069112,0.49,33.3,0.18463111,26.61,0.27227113,0.22668889,1.2048648889482592,1.734,293.6122,232,221,2024-03-02,UDAM SINGH NAGAR,221,2024-06-30T00:00:00,7.3,3.896847,368,375,400,404,2.3143177,2023-07-01T00:00:00,30.18662857142857,Jainagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.3711410017866,29.039523779382332]}"
3_0,0.7,0.17196444,0.74,1.51,43.38,0.18194222,65.74,4.284,0,0.28069112,0.56,5.85,0.18463111,14.51,0.27227113,0.22668889,1.2048648889482592,2.374,293.6122,232,221,2024-03-02,UDAM SINGH NAGAR,221,2024-06-30T00:00:00,7.9,3.896847,368,375,400,404,2.3143177,2023-07-01T00:00:00,30.18662857142857,Jainagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.3711410017866,29.039523779382332]}"
4_0,0.68,0.17196444,1.356,1.58,18.72,0.18194222,82.32,3.722,0,0.28069112,0.49,28.8,0.18463111,27.1,0.27227113,0.22668889,1.2048648889482592,0.294,293.6122,232,221,2024-03-18,UDAM SINGH NAGAR,221,2024-06-30T00:00:00,7.8,3.896847,368,375,400,404,2.3143177,2023-07-01T00:00:00,30.18662857142857,Jainagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.3711410017866,29.039523779382332]}"
5_0,0.71,0.17196444,1.77,1.31,55.16,0.18194222,67.53,28.34,0,0.28069112,0.56,12.15,0.18463111,8.46,0.27227113,0.22668889,1.2048648889482592,1.222,293.6122,232,221,2024-03-02,UDAM SINGH NAGAR,221,2024-06-30T00:00:00,7.7,3.896847,368,375,400,404,2.3143177,2023-07-01T00:00:00,30.18662857142857,Jainagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.3711410017866,29.039523779382332]}"
6_0,0.82,0.18175334,0.442,1.43,32.98,0.19714445,107.07,5.468,0,0.27097556,0.7,27,0.20392445,18.95,0.28112,0.23944,-0.21174291901029207,1.706,270.0,235,225,2024-03-02,UDAM SINGH NAGAR,222,2024-06-30T00:00:00,7.5,3.896847,364,371,401,404,1.060723,2023-07-01T00:00:00,30.168400000000005,Jainagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.36844605593424,29.038445801041387]}"
7_0,0.45,0.16120888,0.548,1.79,38.08,0.17833556,96.2,10.91,0,0.33483556,0.63,17.1,0.17537333,33.64,0.29789335,0.23032,1.0409597566398192,1.622,270.0,243,232,2024-03-02,UDAM SINGH NAGAR,222,2024-06-30T00:00:00,7.9,3.896847,363,370,394,398,2.120765,2023-07-01T00:00:00,30.168400000000005,Jainagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.36871555051947,29.040601757723277]}"
8_0,0.53,0.16120888,1.928,1.76,48.56,0.17833556,66.75,6.406,0,0.33483556,0.7,20.7,0.17537333,29.43,0.29789335,0.23032,1.0409597566398192,2.606,270.0,243,232,2024-03-02,UDAM SINGH NAGAR,222,2024-06-30T00:00:00,7.6,3.896847,363,370,394,398,2.120765,2023-07-01T00:00:00,30.168400000000005,Jainagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.36871555051947,29.040601757723277]}"
9_0,1.01,0.17196444,1.634,1.69,37.44,0.18194222,36.51,3.28,0,0.28069112,0.42,13.55,0.18463111,28.22,0.27227113,0.22668889,1.2048648889482592,2.03,293.6122,232,221,2024-03-02,UDAM SINGH NAGAR,221,2024-06-30T00:00:00,7.8,3.896847,368,375,400,404,2.3143177,2023-07-01T00:00:00,30.18662857142857,Jainagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.3711410017866,29.039523779382332]}"
