system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,2.09,0.07835,0.31,0.6,1.05,0.1057875,123.2,0.26,151.2,0.3000125,0.27,9.9,0.1063725,1.86,0.2333225,0.16874251,-0.885341267804139,0.58,270.0,237,241,2024-02-16,ALIGARH,194,2024-06-30T00:00:00,8,1.9093208,460,458,303,301,1.0503308,2023-07-01T00:00:00,30.300857142857144,Bichpuri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.70970688380754,28.000083164127634]}"
1_0,1.04,0.07082192,1.11,0.23,2.96,0.10277123,112,0.51,152,0.30461782,0.45,10.89,0.099852055,2.72,0.23715617,0.16571644,-3.068873029963079,0.72,186.45557,227,251,2024-01-31,ALIGARH,181,2024-06-30T00:00:00,9.2,2.4372473,494,474,279,275,9.252809,2023-07-01T00:00:00,30.133999999999986,Baharampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.25166049471684,27.897944716323245]}"
2_0,1.54,0.12763157,0.36,0.154,0.77,0.15457599,100.8,0.54,168,0.23637073,0.3,13.86,0.17849046,0.73,0.2554102,0.20991777,-3.056782086252494,0.28,232.86592,184,212,2024-02-05,ALIGARH,185,2024-06-30T00:00:00,8.8,2.0781462,477,456,339,332,9.140009,2023-07-01T00:00:00,30.316111111111113,Mahrawal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.0401072453067,27.94052486079051]}"
3_0,0.95,0.12319342,0.85,0.2,0.95,0.1501421,117,0.48,190.4,0.25406316,0.34,11.88,0.16550659,3.09,0.26687762,0.22593158,-1.1719006203808193,0.3,228.52707,234,232,2024-02-03,ALIGARH,192,2024-06-30T00:00:00,8,1.999055,469,468,297,300,1.4002017,2023-07-01T00:00:00,30.317176470588233,Gidaura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.87409858080142,27.885547965402395]}"
4_0,0.55,0.11639809,0.79,0.434,1.36,0.15252165,78.4,0.46,235.2,0.33859935,0.42,7.92,0.15897708,1.86,0.29343823,0.2278465,-1.1724475803746037,0.51,311.46286,234,240,2024-02-21,ALIGARH,190,2024-06-30T00:00:00,7.8,2.1065826,478,469,288,290,1.4004802,2023-07-01T00:00:00,30.235657142857143,Bajhera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.87894948333566,27.923816196505886]}"
5_0,0.75,0.06072778,0.45,0.197,2.79,0.084752776,112,0.11,89.6,0.26489305,0.16,11.88,0.08025,1.48,0.20014167,0.13667917,-2.7186947224371436,0.33,9.181696,225,255,2024-02-12,ALIGARH,186,2024-06-30T00:00:00,7.9,2.472731,470,450,305,296,6.548044,2023-07-01T00:00:00,30.180378378378386,Kharai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.22821446580133,27.893902297544706]}"
6_0,0.45,0.109069675,0.84,0.504,0.68,0.1402871,100.8,0.74,173.6,0.32392967,0.31,6.93,0.1425671,1.66,0.2784813,0.21838064,3.9697259895329675,0.35,-0.0,242,254,2024-01-04,ALIGARH,187,2024-06-30T00:00:00,8.1,2.3409214,478,468,280,278,0.0,2023-07-01T00:00:00,30.281611111111108,Sahroi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.91263630649014,27.953191106296593]}"
7_0,1.24,0.13664751,0.47,0.32,0.81,0.1587475,123.2,1.38,117.6,0.2417825,0.21,4.95,0.1797125,2.59,0.270895,0.23411,-1.1739007886444133,0.88,131.43614,244,239,2024-02-17,ALIGARH,196,2024-06-30T00:00:00,8.4,1.9093208,436,438,319,323,1.4012196,2023-07-01T00:00:00,30.23516666666667,Bulakipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.72345110765457,28.02514616055457]}"
8_0,0.91,0.08543224,0.25,0.19,2.45,0.114253946,168,0.12,151.2,0.28761315,0.27,6.93,0.120541446,1.34,0.2718079,0.21456316,-1.6660034163250248,0.43,246.1621,198,232,2024-02-13,ALIGARH,185,2024-06-30T00:00:00,7.7,2.4656122,505,481,297,287,2.2936883,2023-07-01T00:00:00,30.184400000000004,Kharai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.23899424921076,27.909802478073622]}"
9_0,1.01,0.12319342,0.4,0.61,1.68,0.1501421,112,0.56,207.2,0.25406316,0.37,13.86,0.16550659,1.71,0.26687762,0.22593158,-1.1719006203808193,0.41,228.52707,234,232,2024-02-03,ALIGARH,192,2024-06-30T00:00:00,9.5,1.999055,469,468,297,300,1.4002017,2023-07-01T00:00:00,30.317176470588233,Gidaura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.87409858080142,27.885547965402395]}"
