system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.38,0.083022855,0.61,0.75,1.95,0.10461714,190.4,1.42,94.5,0.25528,0.42,9,0.103282854,9.95,0.20393428,0.14086285,-2.4005767547689327,0.58,39.978764,240,256,2024-02-07,AYODHYA,112,2024-06-30T00:00:00,7.8,2.3566544,313,308,447,436,4.8300343,2023-07-01T00:00:00,30.298774193548393,Aharan Suvansh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.95370761210181,26.557209154774856]}"
1_0,0.58,0.08705714,0.28,0.75,2.23,0.11179714,190.4,2.29,81,0.2724543,0.36,4.5,0.106108576,12.11,0.22100571,0.15286,-1.577175968212788,0.77,330.79575,240,256,2024-02-07,AYODHYA,113,2024-06-30T00:00:00,7.11,2.3566544,313,308,447,436,2.1241405,2023-07-01T00:00:00,30.298774193548393,Aharan Suvansh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.95343811751657,26.557209154774856]}"
2_0,0.67,0.074954286,0.44,0.69,1.64,0.10144,145.6,1.53,87.75,0.26922858,0.39,9,0.09111143,9.33,0.21832286,0.14814286,-2.539837655063504,0.63,-0.0,240,256,2024-02-07,AYODHYA,110,2024-06-30T00:00:00,7.45,2.3566544,313,308,447,436,5.547545,2023-07-01T00:00:00,30.298774193548393,Aharan Suvansh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.95343811751657,26.557478649360093]}"
3_0,0.54,0.11952987,0.23,0.69,1.62,0.14335714,100.8,2.23,81,0.2162909,0.36,4.5,0.15967402,10.45,0.26138702,0.21835195,-1.5785651782943697,0.24,150.76797,216,233,2024-02-18,AYODHYA,104,2024-06-30T00:00:00,7.41,2.307072,289,280,495,487,2.1247156,2023-07-01T00:00:00,30.306687500000002,Surwara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.03671194435445,26.68710554485854]}"
4_0,0.55,0.0632027,0.41,0.69,2.39,0.088643245,190.4,2.444,65.25,0.24451892,0.29,13.5,0.08527838,10.3,0.21385945,0.15074866,-1.9117135979096256,0.57,200.43822,240,266,2024-02-14,AYODHYA,100,2024-06-30T00:00:00,7.11,2.3945987,303,292,457,441,2.9667444,2023-07-01T00:00:00,30.2975625,Karan Pur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.1625659156596,26.5582871331158]}"
5_0,0.51,0.088064864,0.58,0.75,2.23,0.12132432,145.6,2.248,60.75,0.2921054,0.27,13.5,0.13485405,10.39,0.27731892,0.21536486,-1.846697633081235,0.54,48.188705,253,278,2024-02-16,AYODHYA,99,2024-06-30T00:00:00,7.25,2.3945987,308,299,439,423,2.7802355,2023-07-01T00:00:00,30.309687500000003,Manapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.15717602395488,26.56098207896816]}"
6_0,0.56,0.102025,0.783,0.56,1.187,0.12906945,134.4,1.814,54,0.2631972,0.24,4.5,0.13875833,9.13,0.24954444,0.19417222,-1.1549388933745601,0.875,228.2143,251,281,2024-02-16,AYODHYA,115,2024-06-30T00:00:00,7.37,2.3839226,304,291,445,428,1.3916312,2023-07-01T00:00:00,30.315125,Ganeshpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.65510761166048,26.663929010528257]}"
7_0,0.48,0.08989714,0.48,0.75,1.57,0.117725715,100.8,1.83,36,0.31695428,0.16,4.5,0.11291143,13.03,0.24710286,0.17584857,-2.0004576521275457,0.59,253.39476,254,268,2024-02-25,AYODHYA,109,2024-06-30T00:00:00,7.11,2.2211523,316,311,430,421,3.2420518,2023-07-01T00:00:00,30.32677419354839,Paliya Partapshah,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.94158035576619,26.538075039223113]}"
8_0,0.67,0.09587838,0.43,0.75,1.93,0.11248108,168,3.27,60.75,0.2671216,0.27,9,0.10242973,9.81,0.20851621,0.14386487,-1.5533816683257224,0.66,90.0,252,272,2024-02-10,AYODHYA,102,2024-06-30T00:00:00,7.64,2.3945987,297,289,451,439,4.1417212,2023-07-01T00:00:00,30.275393939393943,Basdeo Pur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.17792710701804,26.594938396707878]}"
9_0,0.33,0.09052432,0.2,0.75,1.18,0.111464866,145.6,0.28,74.25,0.26544324,0.33,22.5,0.11521351,10.56,0.2473919,0.1970081,-1.6440446213666673,0.45,245.90541,247,267,2024-02-14,AYODHYA,99,2024-06-30T00:00:00,7.6,2.39997,316,303,437,429,2.2707121,2023-07-01T00:00:00,30.296000000000003,Chitawan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.3226456992897,26.566371970672876]}"
10_0,0.59,0.0872054,0.31,0.61,2.11,0.11433784,156.8,1.15,60.75,0.28398108,0.27,13.5,0.12761621,8.2,0.27544326,0.20812973,4.164558245752301,0.18,48.188156,246,267,2024-02-12,AYODHYA,93,2024-06-30T00:00:00,7.11,2.39997,291,279,463,454,1.3909216,2023-07-01T00:00:00,30.308941176470586,Bedapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.30755400251648,26.558826122286273]}"
11_0,0.58,0.05947838,0.38,0.68,2.89,0.08122973,123.2,1.28,63,0.23622973,0.28,18,0.078662165,11.03,0.18924865,0.12668107,-1.8476564184257651,0.43,180.0,232,254,2024-02-21,AYODHYA,109,2024-06-30T00:00:00,7.66,2.3857934,294,285,475,461,2.7802885,2023-07-01T00:00:00,30.272129032258064,Paliya Mu Kuchera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.96017548214746,26.670127385988682]}"
12_0,0.58,0.0671027,0.47,0.58,2.92,0.09164595,179,1.46,150,0.2721081,0.23,22.5,0.092221625,9.33,0.22082162,0.14977027,0.2320487573885097,0.17,228.20149,255,272,2024-03-12,AYODHYA,96,2024-06-30T00:00:00,6.98,2.4914675,337,326,407,402,2.780928,2023-07-01T00:00:00,30.327636363636362,Kalyanpur(Barauli),"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.3016251216413,26.612455544748208]}"
